Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,current_position,trades,strategy_ret,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,164.47,164.47,0.0,,,,,0.77,1.6447,1644.7,1266.419,1119.9319066147862,10000000.0,125000.0,111.61392872343195,0.0,0.0,0,0,0,0.0,0.0,1.6,0.8
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-0.007660971605763955,-1.259999999999991,1.587599999999977,1.259999999999991,164.43123076923078,164.46019455252917,-0.02896378329839422,-0.02298712960190034,-0.04298593235555364,-0.04298593235555364,,0.77,1.6321,1632.1000000000001,1256.717,1111.352140077821,10000000.0,125000.0,112.47560110987597,-0.4834868580959363,-0.38678948647674904,0,0,0,-0.0,0.0,1.6,0.8
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.00012254151093693544,-0.020000000000010232,1.5018054054053835,1.225481703415185,164.39303905325445,164.45030977001923,-0.05727071676477635,-0.04673322874194998,-0.08739113774744647,-0.08739113774744647,5.267561099882443e-06,0.75,1.6319,1631.8999999999999,1223.925,1082.3532012734347,10000000.0,125000.0,115.48910268194538,-1.0092724080806879,-0.8074179264645504,-1,-1,-1,-0.0,0.0,1.6,0.8
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.00214473926098413,0.3499999999999943,1.427248356464552,1.1946750003513724,164.3667916977697,164.44322564729535,-0.07643394952563654,-0.06397886412886862,-0.11964047592098433,-0.11964047592098433,-0.00018743120418902065,0.69,1.6354,1635.3999999999999,1128.426,997.900601344181,9999690.484612664,125000.0,125.26297692538103,-1.4986522174631864,-1.198921773970549,-1,-1,0,-3.09515387336394e-05,-309.5153873357922,1.6,0.8
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.0042802983979454146,-0.6999999999999886,1.3765862831421427,1.173280138390718,164.31981349168447,164.43074918311407,-0.11093569142960291,-0.09455175094139354,-0.17681177426040592,-0.17681177426040592,0.0005120969374140162,0.66,1.6284,1628.4,1074.7440000000001,950.4280155642024,10000309.515387338,124996.1310576583,131.51562139449024,-2.325351036171962,-1.8602808289375696,-2,-2,-1,6.19049935220836e-05,309.51538733765483,1.6,0.8
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.0006755097027757451,0.10999999999998522,1.3028302678371617,1.141415904846766,164.27766538424802,164.41922584316765,-0.14156045891962776,-0.12402180337467096,-0.2319207723106347,-0.2319207723106347,-0.00011943806907789894,0.65,1.6295,1629.5,1059.175,936.6598868058012,10000114.962858155,125003.86894234172,133.4570538390729,-3.0951462996659744,-2.4761170397327796,-2,-2,0,-1.945465076690856e-05,114.96285815536976,1.6,0.8
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.001043264805155042,0.17000000000001592,1.2339691722783965,1.110841650406752,164.24204491088653,164.40911513621694,-0.16707022533040572,-0.15039967691995557,-0.28124739584031694,-0.28124739584031694,-0.00024195477933606116,0.62,1.6312,1631.2,1011.344,894.3615139724089,9999814.2907676,125001.43703572695,139.76611815564243,-3.9308856757984474,-3.1447085406387583,-3,-3,-1,-3.0066863398283515e-05,-185.70923239924014,1.6,0.8
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.002206964198136152,0.3599999999999852,1.1742735413444285,1.0836390272338978,164.21859737516695,164.40188466823082,-0.18328729306387004,-0.1691405426138352,-0.31629281468787185,-0.31629281468787185,-0.000620702933438606,0.6,1.6348,1634.8,980.8799999999999,867.4212946586487,9998859.214715248,124997.67863459501,144.10261703776206,-4.557862234676223,-3.646289787740979,-4,-4,-1,-9.550937893257261e-05,-1140.7852847520262,1.6,0.8
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.0025079520430633107,0.4099999999999966,1.1198857823528376,1.0582465602839621,164.20848668670027,164.39790112995667,-0.18941444325639623,-0.1789889524474997,-0.3347093410768245,-0.3347093410768245,-0.0007932472108026933,0.56,1.6388999999999998,1638.8999999999999,917.784,811.6236292889989,9997408.914043158,124985.74018394061,153.9947035468041,-5.154346575347172,-4.123477260277737,-4,-4,0,-0.00014504661391332986,-2591.0859568417072,1.6,0.8
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.002928793703093513,-0.47999999999998977,1.0718054697932242,1.0352803822120964,164.18391786557103,164.39021318342003,-0.20629531784899768,-0.1992651666094589,-0.37262586155968813,-0.37262586155968813,0.0009802946105123824,0.53,1.6341,1634.1000000000001,866.0730000000001,765.8940573045631,9999106.827025117,124967.61142553948,163.16566270972544,-6.079974564416892,-4.863979651533514,-5,-5,-1,0.00016983530398307647,-893.1729748826474,1.6,0.8
