entry_date,exit_date,side,entry_price,min_price,max_price,MAE,MFE,edge_ratio
2017-01-03,2017-02-28,short,163.21,161.43,166.21,3.0,1.7800000000000011,0.5933333333333337
2017-02-28,2017-03-03,long,166.05,160.71,166.05,5.340000000000003,0.0,0.0
2017-03-03,2017-06-12,short,160.71,159.01,165.1,4.389999999999986,1.700000000000017,0.38724373576310306
2017-06-12,2017-07-10,long,165.1,160.49,165.46,4.609999999999985,0.36000000000001364,0.07809110629067566
2017-07-11,2017-08-10,short,160.69,160.69,164.11,3.420000000000016,0.0,0.0
2017-08-11,2017-09-19,long,164.54,160.94,165.43,3.5999999999999943,0.8900000000000148,0.24722222222222673
2017-09-19,2017-11-24,short,161.09,160.8,163.4,2.3100000000000023,0.28999999999999204,0.12554112554112198
2017-11-24,2017-12-26,long,162.86,160.74,163.8,2.1200000000000045,0.9399999999999977,0.4433962264150923
2017-12-27,2018-06-01,short,162.29,156.57,162.8,0.5100000000000193,5.719999999999999,11.215686274509377
2018-06-04,2018-09-17,long,160.81,159.02,163.73,1.789999999999992,2.9199999999999875,1.6312849162011176
2018-09-18,2018-12-03,short,158.74,157.61,162.38,3.6399999999999864,1.1299999999999955,0.31043956043956034
2018-12-03,2019-03-25,long,162.38,162.38,166.75,0.0,4.3700000000000045,
