Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
01/01/2021,0.18134,0.18473,0.17,0.17509,462201570.90000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.17509,0.17509,0.17509,1,1,0.002,0.5,1
02/01/2021,0.17505,0.18457,0.16793,0.17742,660303281.20000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.17742,0.17742,0.17742,1,2,0.002,0.5,1
03/01/2021,0.1774,0.2096,0.17255,0.20615,1201451449.30000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.20615,0.20615,0.20615,1,3,0,0.5,1
04/01/2021,0.20625,0.23992,0.19203,0.22528,1463415575.60000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.22528,0.22528,0.22528,1,4,0,0.5,1
05/01/2021,0.22518,0.26429,0.20696,0.25873,1478887679.33000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.25873,0.25873,0.25873,1,5,0,0.5,1
06/01/2021,0.25889,0.34772,0.25347,0.33309,2059110042.76000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.33309,0.33309,0.33309,1,6,0,0.5,1
07/01/2021,0.33311,0.3553,0.2785,0.29928,1411321698.55000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.29928,0.29928,0.29928,1,7,0,0.5,1
08/01/2021,0.29917,0.32165,0.26175,0.30389,1284205249.40000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30389,0.30389,0.30389,1,8,0,0.5,1
09/01/2021,0.30392,0.33851,0.29583,0.33062,820267450.70000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.33062,0.33062,0.33062,1,9,0,0.5,1
10/01/2021,0.33062,0.3412,0.27948,0.30153,908667596.00000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30153,0.30153,0.30153,1,10,0,0.5,1
11/01/2021,0.30154,0.30397,0.2288,0.2757,1538966424.30000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.2757,0.2757,0.2757,1,11,0,0.5,1
12/01/2021,0.27563,0.31442,0.2628,0.28888,1059013244.80000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.28888,0.28888,0.28888,1,12,0,0.5,1
13/01/2021,0.28875,0.31587,0.27,0.3123,715473111.90000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.3123,0.3123,0.3123,1,13,0,0.5,1
14/01/2021,0.31246,0.32455,0.29646,0.31201,656502674.00000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.31201,0.31201,0.31201,1,14,0,0.5,1
15/01/2021,0.31203,0.33225,0.27739,0.30188,853517402.80000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30188,0.30188,0.30188,1,15,0,0.5,1
16/01/2021,0.30189,0.36696,0.30186,0.35071,1219589043.23000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.35071,0.35071,0.35071,1,16,0,0.5,1
17/01/2021,0.35057,0.3974,0.34076,0.38081,1422650839.29000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.38081,0.38081,0.38081,1,17,0,0.5,1
18/01/2021,0.38077,0.39724,0.36413,0.37123,636785470.40000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.37123,0.37123,0.37123,1,18,0,0.5,1
19/01/2021,0.37132,0.39001,0.362,0.3672,606641543.00000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.3672,0.3672,0.3672,1,19,0,0.5,1
20/01/2021,0.3672,0.3769,0.33033,0.37532,656351514.50000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.37532,0.37532,0.37532,1,20,0,0.5,1
21/01/2021,0.37548,0.37945,0.3,0.30785,802690568.50000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30785,0.30785,0.30785,1,21,0,0.5,1
22/01/2021,0.30786,0.3598,0.28,0.34867,898752288.00000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.34867,0.34867,0.34867,1,22,0,0.5,1
23/01/2021,0.34842,0.35763,0.33541,0.34583,418300948.70000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.34583,0.34583,0.34583,1,23,0,0.5,1
24/01/2021,0.34575,0.36926,0.33613,0.35345,458536220.60000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.35345,0.35345,0.35345,1,24,0,0.5,1
25/01/2021,0.35346,0.36415,0.34034,0.34308,407390809.50000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.34308,0.34308,0.34308,1,25,0,0.5,1
26/01/2021,0.34284,0.35111,0.32404,0.3433,354428194.00000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.3433,0.3433,0.3433,1,26,0,0.5,1
27/01/2021,0.34342,0.34396,0.30404,0.31144,422544056.10000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.31144,0.31144,0.31144,1,27,0,0.5,1
28/01/2021,0.31142,0.35575,0.30431,0.34409,487709261.20000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.34409,0.34409,0.34409,1,28,0,0.5,1
29/01/2021,0.34409,0.36836,0.3305,0.34752,666472809.50000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.34752,0.34752,0.34752,1,29,0,0.5,1
30/01/2021,0.34764,0.37694,0.337,0.364,510716622.40000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.364,0.364,0.364,1,30,0,0.5,1
31/01/2021,0.36395,0.37752,0.338,0.34475,399794774.90000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.34475,0.34475,0.34475,1,31,0,0.5,1
01/02/2021,0.34464,0.42411,0.33214,0.40876,844822325.13000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.40876,0.40876,0.40876,1,32,0,0.5,1
02/02/2021,0.40882,0.4559,0.38868,0.42498,1501769862.49000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.42498,0.42498,0.42498,1,33,0,0.5,1
03/02/2021,0.425,0.44961,0.41509,0.44189,541252929.40000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.44189,0.44189,0.44189,1,34,0,0.5,1
04/02/2021,0.44213,0.45,0.41003,0.43934,536142412.30000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.43934,0.43934,0.43934,1,35,0,0.5,1
05/02/2021,0.43903,0.56,0.43638,0.53917,1277155737.26000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.53917,0.53917,0.53917,1,36,0,0.5,1
06/02/2021,0.53874,0.66706,0.51901,0.63444,1255504052.74000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.63444,0.63444,0.63444,1,37,0,0.5,1
07/02/2021,0.63444,0.70888,0.58,0.66109,1596532267.50000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.66109,0.66109,0.66109,1,38,0,0.5,1
08/02/2021,0.66109,0.7238,0.63191,0.67638,1008667679.66000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.67638,0.67638,0.67638,1,39,0,0.5,1
09/02/2021,0.67674,0.71206,0.6624,0.70562,590482327.70000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.70562,0.70562,0.70562,1,40,0,0.5,1
10/02/2021,0.70562,0.95306,0.70555,0.93966,1693219939.33000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.93966,0.93966,0.93966,1,41,0,0.5,1
11/02/2021,0.94041,0.98,0.86513,0.92796,975100368.22000000,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.92796,0.92796,0.92796,1,42,0,0.5,1
