Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
10/09/1997,933.75,934.25,914.5,915.25,13764,2325,Future,CME,USD,0.25,12.5,50,46700,ES1 Index,21.8080499281038,1,0.001,,1
11/09/1997,916,917.5,900.5,908.5,928,2549,Future,CME,USD,0.25,12.5,50,45762.5,ES1 Index,20.153819943954424,2,0.001,,1
12/09/1997,908,926.25,904,924,1136,2163,Future,CME,USD,0.25,12.5,50,45425,ES1 Index,17.08725767933527,3,0.001,,1
15/09/1997,924.75,930,919.5,921.75,354,2107,Future,CME,USD,0.25,12.5,50,46200,ES1 Index,15.437899792394111,4,0.001,,1
16/09/1997,922.5,949.25,921,946.25,699,2264,Future,CME,USD,0.25,12.5,50,46087.5,ES1 Index,12.85009727589648,5,0.001,,1
17/09/1997,944.25,952.5,942.25,945.75,687,2290,Future,CME,USD,0.25,12.5,50,47312.5,ES1 Index,12.60078535912222,6,0.001,,1
18/09/1997,946.25,959.75,945.25,948,687,2547,Future,CME,USD,0.25,12.5,50,47287.5,ES1 Index,11.982478527694887,7,0.001,,1
19/09/1997,957.75,963.25,953,961,22081,5836,Future,CME,USD,0.25,12.5,50,47400,ES1 Index,11.574694020433935,8,0.001,,1
22/09/1997,960.25,972,960.25,966.25,10148,5993,Future,CME,USD,0.25,12.5,50,48050,ES1 Index,12.426425136243694,9,0.001,,1
23/09/1997,965.25,967.25,956.5,962,24778,5679,Future,CME,USD,0.25,12.5,50,48312.5,ES1 Index,22.303190167925973,10,0.001,,1
24/09/1997,961.5,970.5,952,954.5,28694,6194,Future,CME,USD,0.25,12.5,50,48100,ES1 Index,23.59014183227117,11,0.001,,1
25/09/1997,953.75,957.5,945.5,946.5,12049,6132,Future,CME,USD,0.25,12.5,50,47725,ES1 Index,24.708116918670072,12,0.001,,1
26/09/1997,946.25,956.5,946.25,953.25,23201,5666,Future,CME,USD,0.25,12.5,50,47325,ES1 Index,27.1257680382818,13,0.001,,1
29/09/1997,953.25,964.5,950.25,961.75,26391,5722,Future,CME,USD,0.25,12.5,50,47662.5,ES1 Index,27.97686171940432,14,0.001,,1
30/09/1997,961,965.25,952.75,954.5,29254,5864,Future,CME,USD,0.25,12.5,50,48087.5,ES1 Index,28.05324921763379,15,0.001,,1
01/10/1997,955.5,966.5,954.5,963.5,23665,5725,Future,CME,USD,0.25,12.5,50,47725,ES1 Index,28.203970612900193,16,0.001,,1
02/10/1997,963.25,969.5,961,969,22923,5132,Future,CME,USD,0.25,12.5,50,48175,ES1 Index,28.21761787134658,17,0.001,,1
03/10/1997,969.25,985.5,961.75,975.5,8704,6276,Future,CME,USD,0.25,12.5,50,48450,ES1 Index,28.190745378581333,18,0.001,,1
06/10/1997,976.75,981,976.5,980.25,20863,6372,Future,CME,USD,0.25,12.5,50,48775,ES1 Index,28.200554072571087,19,0.001,,1
07/10/1997,981.5,992.25,977.5,989.5,16119,7345,Future,CME,USD,0.25,12.5,50,49012.5,ES1 Index,28.065392389916926,20,0.001,,1
08/10/1997,989.5,991.75,974.75,982.25,25479,7885,Future,CME,USD,0.25,12.5,50,49475,ES1 Index,27.231805852715834,21,0.001,,1
09/10/1997,982.25,983.25,969.25,978,6506,8003,Future,CME,USD,0.25,12.5,50,49112.5,ES1 Index,27.370718843318855,22,0.001,,1
10/10/1997,978.75,981,964,976.75,3805,8061,Future,CME,USD,0.25,12.5,50,48900,ES1 Index,26.93800753582215,23,0.001,,1
13/10/1997,976.75,981.75,974,976.25,11923,8576,Future,CME,USD,0.25,12.5,50,48837.5,ES1 Index,26.04294530194332,24,0.001,,1
14/10/1997,976.25,981.5,968.5,977.5,9715,9618,Future,CME,USD,0.25,12.5,50,48812.5,ES1 Index,21.8080499281038,25,0.001,,1
15/10/1997,975.75,976.75,968,973.5,12998,10107,Future,CME,USD,0.25,12.5,50,48875,ES1 Index,20.153819943954424,26,0.001,,1
16/10/1997,973.5,981.25,955.25,959.75,13452,11013,Future,CME,USD,0.25,12.5,50,48675,ES1 Index,17.08725767933527,27,0.001,,1
17/10/1997,959,960,935.5,948.75,11527,11763,Future,CME,USD,0.25,12.5,50,47987.5,ES1 Index,15.437899792394111,28,0.001,,1
20/10/1997,948.5,963,945,962.25,10576,11917,Future,CME,USD,0.25,12.5,50,47437.5,ES1 Index,12.85009727589648,29,0.001,,1
21/10/1997,963.5,963.5,962,979.5,10172,12755,Future,CME,USD,0.25,12.5,50,48112.5,ES1 Index,12.60078535912222,30,0.001,,1
22/10/1997,979,980.5,970.5,974.25,23820,12717,Future,CME,USD,0.25,12.5,50,48975,ES1 Index,11.982478527694887,31,0.001,,1
23/10/1997,973,974.25,947.5,955.5,14850,13601,Future,CME,USD,0.25,12.5,50,48712.5,ES1 Index,11.574694020433935,32,0.001,,1
24/10/1997,956,969,941.5,944,14950,13590,Future,CME,USD,0.25,12.5,50,47775,ES1 Index,12.426425136243694,33,0.001,,1
27/10/1997,942.5,944,874,874,32252,14940,Future,CME,USD,0.25,12.5,50,47200,ES1 Index,22.303190167925973,34,0.001,,1
28/10/1997,862,933,844,924.5,15742,14796,Future,CME,USD,0.25,12.5,50,43700,ES1 Index,23.59014183227117,35,0.001,,1
29/10/1997,924,942,916.25,924.25,30380,15354,Future,CME,USD,0.25,12.5,50,46225,ES1 Index,24.708116918670072,36,0.001,,1
30/10/1997,924.5,928.5,902,903,14343,15041,Future,CME,USD,0.25,12.5,50,46212.5,ES1 Index,27.1257680382818,37,0.001,,1
31/10/1997,902,926.25,889.75,924,25784,14863,Future,CME,USD,0.25,12.5,50,45150,ES1 Index,27.97686171940432,38,0.001,,1
03/11/1997,923.75,948,921.25,945.75,22724,15073,Future,CME,USD,0.25,12.5,50,46200,ES1 Index,28.05324921763379,39,0.001,,1
04/11/1997,946,946.75,936.25,942,22117,15299,Future,CME,USD,0.25,12.5,50,47287.5,ES1 Index,28.203970612900193,40,0.001,,1
05/11/1997,941.5,956,938.25,947,19828,15517,Future,CME,USD,0.25,12.5,50,47100,ES1 Index,28.21761787134658,41,0.001,,1
06/11/1997,946.5,947.5,937.25,942.25,13406,15339,Future,CME,USD,0.25,12.5,50,47350,ES1 Index,28.190745378581333,42,0.001,,1
07/11/1997,942.25,943,916.5,931.25,23383,15860,Future,CME,USD,0.25,12.5,50,47112.5,ES1 Index,28.200554072571087,43,0.001,,1
10/11/1997,930,940.5,922.75,926.25,16574,15564,Future,CME,USD,0.25,12.5,50,46562.5,ES1 Index,28.065392389916926,44,0.001,,1
11/11/1997,926,932.75,922.5,926.5,20725,15508,Future,CME,USD,0.25,12.5,50,46312.5,ES1 Index,27.231805852715834,45,0.001,,1
12/11/1997,926.5,929.5,905.5,908.25,28062,16443,Future,CME,USD,0.25,12.5,50,46325,ES1 Index,27.370718843318855,46,0.001,,1
13/11/1997,907,922.5,902.5,919.25,25268,16425,Future,CME,USD,0.25,12.5,50,45412.5,ES1 Index,26.93800753582215,47,0.001,,1
14/11/1997,920,934.75,915,932.5,9785,16821,Future,CME,USD,0.25,12.5,50,45962.5,ES1 Index,26.04294530194332,48,0.001,,1
17/11/1997,932,954.5,932,950,20674,16590,Future,CME,USD,0.25,12.5,50,46625,ES1 Index,25.068418877145245,49,0.001,,1
18/11/1997,950,954.5,940,942.5,22133,16724,Future,CME,USD,0.25,12.5,50,47500,ES1 Index,23.823408481295864,50,0.001,,1
19/11/1997,942.25,951.5,936.25,947.75,21385,16891,Future,CME,USD,0.25,12.5,50,47125,ES1 Index,22.777684620406006,51,0.001,,1
20/11/1997,948,965.5,947,963,9752,17424,Future,CME,USD,0.25,12.5,50,47387.5,ES1 Index,22.919392262158265,52,0.001,,1
21/11/1997,962.5,971,957.5,969.5,7706,17388,Future,CME,USD,0.25,12.5,50,48150,ES1 Index,23.704900161499936,53,0.001,,1
24/11/1997,968.5,969,947,949.75,18384,16888,Future,CME,USD,0.25,12.5,50,48475,ES1 Index,23.30851507496806,54,0.001,,1
25/11/1997,950,957.5,944.75,951.75,169,16756,Future,CME,USD,0.25,12.5,50,47487.5,ES1 Index,21.85856525483807,55,0.001,,1
26/11/1997,952,959.75,948.75,955,2108,17088,Future,CME,USD,0.25,12.5,50,47587.5,ES1 Index,20.795747762463716,56,0.001,,1
28/11/1997,954.75,962.25,953.75,955,12532,16750,Future,CME,USD,0.25,12.5,50,47750,ES1 Index,20.77642393836536,57,0.001,,1
01/12/1997,955.5,979.75,955,979.5,20505,16968,Future,CME,USD,0.25,12.5,50,47750,ES1 Index,22.49121587790843,58,0.001,,1
02/12/1997,980,982,972,975,22124,16908,Future,CME,USD,0.25,12.5,50,48975,ES1 Index,19.505036742681206,59,0.001,,1
03/12/1997,974.75,983.75,967.75,977.5,24283,17130,Future,CME,USD,0.25,12.5,50,48750,ES1 Index,20.446918064425798,60,0.001,,1
