Date,PX_CLOSE,PX_OPEN,PX_HIGH,PX_LOW
21/03/2019,15.93,16.2,16.35,15.75
20/03/2019,16.13,15.87,16.2,15.66
19/03/2019,15.13,15,15.4,14.75
18/03/2019,15.02,14.9,15.35,14.85
15/03/2019,14.88,15.3,15.4,14.79
14/03/2019,15.32,15.45,15.7,15.2
13/03/2019,15.48,15.65,17.52,15.35
12/03/2019,15.68,15.9,16.05,15.6
11/03/2019,15.93,17.05,17.2,15.9
08/03/2019,16.98,16.85,17.7,16.85
07/03/2019,16.88,16.46,17.3,16.4
06/03/2019,16.48,16.1,16.55,16
05/03/2019,16.08,15.92,16.25,15.8
04/03/2019,15.88,15.55,16.53,15.35
01/03/2019,15.63,16.31,16.36,15.6
28/02/2019,16.23,16.3,16.5,16.05
27/02/2019,16.33,16.41,16.78,16.17
26/02/2019,16.38,16.15,16.45,16.05
25/02/2019,16.13,15.9,16.23,15.45
22/02/2019,15.93,16.45,16.5,15.9
21/02/2019,16.48,16.17,16.58,16.05
20/02/2019,16.23,16.6,16.8,16.15
19/02/2019,16.63,16.63,16.92,16.45
15/02/2019,16.63,17.05,17.45,16.6
14/02/2019,17.13,16.87,17.27,16.7
13/02/2019,16.67,16.75,16.85,16.45
12/02/2019,16.73,17.05,17.05,16.45
11/02/2019,16.98,17.05,17.4,16.8
08/02/2019,17.08,17.4,17.88,17.05
07/02/2019,17.38,16.8,17.95,16.7
06/02/2019,16.83,16.95,17.08,16.55
05/02/2019,16.98,17.15,17.2,16.5
04/02/2019,17.08,17.52,17.62,16.95
01/02/2019,17.52,17.78,18.05,17.45
31/01/2019,17.77,18.42,18.46,17.67
30/01/2019,18.38,18.8,19.1,18.35
29/01/2019,18.88,19.15,19.37,18.75
28/01/2019,19.13,18.55,19.5,18.53
25/01/2019,18.52,19.2,19.25,18.5
24/01/2019,19.23,19.6,19.8,19.1
23/01/2019,19.58,19.56,20.45,19.26
22/01/2019,19.73,18.6,19.82,18.56
18/01/2019,18.63,18.78,18.92,18.25
17/01/2019,18.77,19,19.27,18.75
16/01/2019,19.02,18.8,19.15,18.3
15/01/2019,18.83,19.55,19.55,18.55
14/01/2019,19.48,19.5,20.27,19.15
11/01/2019,19.48,20.05,20.35,19.4
10/01/2019,20.02,20.3,20.8,20
09/01/2019,20.27,20.7,20.72,20
08/01/2019,20.63,20.9,21.35,20.58
07/01/2019,20.92,21.16,21.65,20.72
04/01/2019,21.23,22.8,23.02,21.2
03/01/2019,22.77,22.4,23.17,22.2
02/01/2019,21.88,22.25,23.47,21.75
31/12/2018,22.27,23,23,22.22
28/12/2018,22.98,23.05,23.81,22.75
27/12/2018,22.92,22.6,24.4,22.44
26/12/2018,22.63,23.25,23.8,22.25
24/12/2018,23.33,22.88,23.63,22.6
21/12/2018,22.92,22.13,23.15,21.91
20/12/2018,22.08,21.95,22.97,21.62
19/12/2018,22.33,22.05,22.55,20.85
18/12/2018,21.98,21.7,22.6,21.27
17/12/2018,21.67,20.9,22.35,20.58
14/12/2018,20.88,20.15,21.15,20.11
13/12/2018,20.23,20.5,20.68,20
