Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ret_px,ret_net_for_var,ret_pct_for_sig,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,trades,pnl_usd,carry_pnl_usd,trade_pnl_usd,strategy_ret,current_position
2017-01-02,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,,0.6485,,,,,,68.285,68.285,0.0,,,,,0.84,0.68285,682.8499999999999,573.5939999999999,884.4934464148033,10000000.0,125000.0,141.32382835245838,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-03,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,,0.6485,-0.010910155963974377,-0.7449999999999903,-0.010910155963974377,0.5550249999999856,0.7449999999999903,67.987,68.19735294117648,-0.21035294117648107,-0.2823529411764883,-2.117647058823662,-2.117647058823662,,0.83,0.6754000000000001,675.4000000000001,560.582,864.4286815728605,10000000.0,125000.0,144.6041792280166,-30.622061483581906,-21.923900766259006,-22,-22,0.0,-0.0,0.0,0.0,0.0
2017-01-04,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,,0.6485,0.015472312703582958,1.0449999999999875,0.015472312703582958,0.5840520270270119,0.7642329664618059,68.22619999999999,68.24295847750865,-0.016758477508659553,-0.021928493331355253,-0.16446369998516439,-0.16446369998516439,-0.032764897489942435,0.86,0.68585,685.8499999999999,589.8309999999999,909.5312259059367,9964548.95913647,125000.0,137.4334343227128,-2.260281111038143,-1.6182509073995066,-2,20,-35451.040863530805,-35451.040863530805,0.0,-0.0035451040863530804,-22.0
2017-01-05,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,,0.6485,-0.01210177152438574,-0.8299999999999983,-0.01210177152438574,0.5897194850255517,0.7679319533822979,68.03772,68.18555159780175,-0.1478315978017548,-0.19250611613521454,-1.443795871014109,-1.443795871014109,0.001990302121275582,0.85,0.67755,677.55,575.9174999999999,888.0763299922897,9967108.712413263,124556.86198920588,140.25468057490878,-20.249912870445606,-14.49794882474092,-14,-12,2559.753276792593,2559.753276792593,0.0,0.0002568860153419751,-2.0
2017-01-06,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,,0.6485,0.018375027673234623,1.2450000000000045,0.018375027673234623,0.6416278912403873,0.8010167858668052,68.422632,68.2813690568839,0.14126294311608945,0.1763545353961895,1.3226590154714213,1.3226590154714213,-0.02652978908438614,0.92,0.6900000000000001,690.0000000000001,634.8000000000002,978.8743253662301,9940231.30300694,124588.85890516579,127.27768588531819,16.83449787045558,12.052678457312505,12,26,-26877.409406322386,-26877.409406322386,0.0,-0.002696610439580001,-14.0
2017-01-09,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,,0.6485,0.007536231884057942,0.519999999999996,0.007536231884057942,0.6215615187409067,0.7883917292443565,68.8615792,68.42709034430932,0.43448885569067386,0.5511078307570716,4.133308730678037,4.133308730678037,0.009967865044132412,1.04,0.6951999999999999,695.1999999999999,723.0079999999999,1114.8928296067847,9949853.508095605,124252.89128758675,111.44828272992832,46.0650160026687,32.98030213217733,33,21,9622.20508866608,9622.20508866608,0.0,0.000968006155526315,12.0
2017-01-10,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,,0.6485,-0.00589758342922897,-0.4099999999999966,-0.00589758342922897,0.5970500852954521,0.7726901612518773,68.96094751999999,68.50743265674352,0.4535148632564727,0.5869297759941821,4.401973319956365,4.401973319956365,-0.024376533077934217,1.09,0.6911,691.1,753.2990000000001,1161.602158828065,9928989.976869699,124373.16885119508,107.07036648130422,47.13208966086515,33.74427476691098,34,1,-20863.531225905765,-20863.531225905765,0.0,-0.0020968681809164676,33.0
2017-01-11,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,,0.6485,0.0025321950513672586,0.17499999999999716,0.0025321950513672586,0.5664325131173195,0.752617109237705,69.09056851199999,68.59891116771487,0.491657344285116,0.6532635761936046,4.899476821452035,4.899476821452035,0.01114665505704421,1.15,0.69285,692.8499999999999,796.7774999999998,1228.646877409406,9938164.996144949,124112.37471087124,101.01549679803963,49.49230851694575,35.434076219863705,35,1,9175.01927525043,9175.01927525043,0.0,0.0009240637060390132,34.0
2017-01-12,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,,0.6485,0.008587717399148431,0.5949999999999989,0.008587717399148431,0.5549510259217887,0.7449503513132864,69.40634110719999,68.74962750092489,0.6567136062751047,0.8815535224829043,6.611651418621783,6.611651418621783,0.04207532234630809,1.27,0.6988,698.8,887.476,1368.5057825751735,9970277.563608326,124227.06245181186,90.77569421595625,60.01772474393043,42.96976028893613,43,8,32112.567463376963,32112.567463376963,0.0,0.0032312371022048384,35.0
2017-01-13,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,,0.6485,0.0,0.0,0.0,0.5249536731692596,0.7245368680538344,69.59580466431999,68.88261250081608,0.7131921635039049,0.9843421293654768,7.382565970241076,7.382565970241076,0.0,1.38,0.6988,698.8,964.3439999999998,1487.0377794911333,9970277.563608326,124628.46954510408,83.80988786159296,61.87320260967168,44.298191838990704,44,1,0.0,0.0,0.0,0.0,43.0
2017-01-16,69.815,70.1,69.31,69.93,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69930,69.93,70.195,1.0242032675789208,8556,0.002,,0.6485,0.0007155123068118829,0.05000000000001137,0.0007155123068118829,0.4967129340790294,0.7047786419004405,69.72948279859199,69.0058345595436,0.7236482390483872,1.026773792544372,7.700803444082791,7.700803444082791,0.005282316807558099,1.46,0.6993,699.3000000000001,1020.9780000000001,1574.3685427910564,9973670.0077101,124628.46954510408,79.16092462325338,60.96027209755279,43.644578170135794,44,0,3392.4441017740946,3392.4441017740946,0.0,0.0003402557331158533,44.0
2017-01-17,69.895,70.345,69.455,70.04,110563,127638,AD1 Curncy,Future,CME,USD,0.005,5,1000,70040,70.04,70.31,1.0882852337443436,8557,0.002,,0.6485,0.0015730015730015534,0.10999999999999943,0.0015730015730015534,0.4705176403450278,0.6859428841711442,69.8536896791552,69.12750108195023,0.7261885972049669,1.0586721051599701,7.9400407886997755,7.9400407886997755,0.01211337593091801,1.55,0.7004,700.4,1085.62,1674.047802621434,9981133.384734001,124670.87509637624,74.47270914316243,59.131634824168444,42.33536317359954,42,-2,7463.377023901272,7463.377023901272,0.0,0.0007483079967686662,44.0
2017-01-18,70.035,70.785,69.5,69.595,115479,127334,AD1 Curncy,Future,CME,USD,0.005,5,1000,69595,69.595,69.865,1.118435365433618,8558,0.002,,0.6485,-0.006353512278697959,-0.4450000000000074,-0.006353512278697959,0.4557883084344861,0.675120958373006,69.75021380749311,69.18250095466196,0.5677128528311499,0.8409053900493594,6.306790425370195,6.306790425370195,-0.05044714664436665,1.61,0.69595,695.9499999999999,1120.4795,1727.8018504240554,9952313.03006939,124764.16730917501,72.20976599750375,45.5411860811279,32.60526548663943,33,-9,-28820.354664611117,-28820.354664611117,0.0,-0.002887483169866403,42.0
