Date,PX_CLOSE_1D,near,far,FX_TO_USD,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-01-02,68.285,68.285,68.525,0.6485,0.5756596216396209,0.84,0.68285,1000.0,682.8499999999999,573.5939999999999,371.97570899999994,,125000.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,10000000.0,0,0,0
2017-01-03,67.54,67.54,67.795,0.6485,0.5590872024883597,0.83,0.6754000000000001,1000.0,675.4000000000001,560.582,363.537427,7.701342281879158,125000.0,343.8435514921549,264.8056881458026,265,265.0,265.0,68.285,-128030.11249999833,-0.0,-128030.11249999833,9871969.887500001,265,0,265
2017-01-04,68.585,68.585,68.84,0.6485,0.5896780901358368,0.86,0.68585,1000.0,685.8499999999999,589.8309999999999,382.50540349999994,7.507527484143097,123399.62359375002,322.6088375866566,242.1994714809281,242,242.0,-23.0,67.54,-15586.697499999813,179585.86249999783,163999.16499999803,10035969.052499998,242,265,-23
2017-01-05,67.755,67.755,68.01,0.6485,0.5772185461211865,0.85,0.67755,1000.0,677.55,575.9174999999999,373.48249874999993,7.4713651056318655,125449.61315624998,335.8915439842949,250.95683610010718,251,251.0,9.0,68.585,-4844.29499999999,-130257.70999999973,-135102.0049999997,9900867.0475,251,242,9
2017-01-06,69.0,69.0,69.255,0.6485,0.6339311871064877,0.92,0.6900000000000001,1000.0,690.0000000000001,634.8000000000002,411.6678000000001,7.162771244289432,123760.83809375,300.6327871496143,215.33638828858426,215,215.0,-36.0,67.755,-29065.770000000102,202653.00750000073,173587.23750000063,10074454.285,215,251,-36
2017-01-09,69.52,69.52,69.775,0.6485,0.7222159187663528,1.04,0.6951999999999999,1000.0,695.1999999999999,723.0079999999999,468.8706879999999,7.277473605030577,125930.6785625,268.5829628200175,195.4605422683586,195,195.0,-20.0,69.0,-6744.399999999948,72502.29999999944,65757.89999999948,10140212.185,195,215,-20
2017-01-10,69.11,69.11,69.365,0.6485,0.7499626657282047,1.09,0.6911,1000.0,691.1,753.2990000000001,488.5144015,7.4253566147448575,126752.65231250001,259.465538627524,192.66241535462225,193,193.0,-2.0,69.52,531.7699999999955,-51847.57499999956,-51315.804999999564,10088896.38,193,195,-2
2017-01-11,69.285,69.285,69.545,0.6485,0.7965732860108475,1.15,0.69285,1000.0,692.8499999999999,796.7774999999998,516.7102087499999,7.77287671007817,126111.20475000002,244.0656341106209,189.70920831089052,190,190.0,-3.0,69.11,-340.46249999999446,21903.087499999645,21562.62499999965,10110459.005,190,193,-3
2017-01-12,69.88,69.88,70.14,0.6485,0.8876954244856439,1.27,0.6988,1000.0,698.8,887.476,575.528186,7.852872328588133,126380.73756250001,219.5908743251369,172.44191005983419,172,172.0,-18.0,69.285,-6945.434999999987,73312.92499999986,66367.48999999987,10176826.495000001,172,190,-18
2017-01-13,69.88,69.88,70.14,0.6485,0.9648293458704054,1.38,0.6988,1000.0,698.8,964.3439999999998,625.3770839999999,8.074123288872375,127210.33118750002,203.41380335500116,164.23881269467205,164,164.0,-8.0,69.88,-0.0,0.0,0.0,10176826.495000001,164,172,-8
2017-01-16,69.93,69.93,70.195,0.6485,1.0242032675789208,1.46,0.6993,1000.0,699.3000000000001,1020.9780000000001,662.104233,8.460103138088536,127210.33118750002,192.13036988316614,162.54427451706852,163,163.0,-1.0,69.88,-32.42500000000737,5317.7000000012085,5285.275000001201,10182111.770000001,163,164,-1
2017-01-17,70.04,70.04,70.31,0.6485,1.0882852337443436,1.55,0.7004,1000.0,700.4,1085.62,704.0245699999999,8.856422510076197,127276.39712500002,180.78402736001107,160.10997293734331,160,160.0,-3.0,69.93,-214.0049999999989,11627.60499999994,11413.59999999994,10193525.370000001,160,163,-3
2017-01-18,69.595,69.595,69.865,0.6485,1.118435365433618,1.61,0.69595,1000.0,695.9499999999999,1120.4795,726.6309557499999,8.998387510647326,127419.06712500002,175.3559576793464,157.79208594994319,158,158.0,-2.0,70.04,577.1650000000095,-46173.20000000076,-45596.03500000075,10147929.335,158,160,-2
2017-01-19,69.32,69.32,69.595,0.6485,1.1180218766431145,1.61,0.6931999999999999,1000.0,693.1999999999999,1116.052,723.7597219999999,9.378887786244597,126849.11668750002,175.26412817913075,164.3782591146057,164,164.0,6.0,69.595,-1070.0250000000221,-28177.32500000058,-29247.350000000602,10118681.985,164,158,6
2017-01-20,69.84,69.84,70.115,0.6485,1.128697885464725,1.62,0.6984,1000.0,698.4,1131.4080000000001,733.7180880000001,9.476389722186394,126483.52481249999,172.38708828519432,163.3607231663454,163,163.0,-1.0,69.32,-337.2200000000066,55304.080000001086,54966.86000000108,10173648.845,163,164,-1
2017-01-23,70.335,70.335,70.61,0.6485,1.156741183952782,1.64,0.7033499999999999,1000.0,703.3499999999999,1153.4939999999997,748.0408589999997,9.587223176852687,127170.61056250002,170.00489884002454,162.98749063375797,163,163.0,0.0,69.84,0.0,52324.22249999898,52324.22249999898,10225973.067499999,163,163,0
2017-01-24,70.635,70.635,70.915,0.6485,1.17904700216704,1.67,0.70635,1000.0,706.35,1179.6045,764.9735182499999,9.975170443218358,127824.66334375,167.09684753031647,166.68195346393773,167,167.0,4.0,70.335,778.2000000000295,31711.650000001202,32489.850000001232,10258462.9175,167,163,4
2017-01-25,71.155,71.155,71.405,0.6485,1.2341036558243448,1.73,0.71155,1000.0,711.5500000000001,1230.9815,798.2915027500001,8.984963152097501,128230.78646875001,160.63153124768746,144.32683893254702,144,144.0,-23.0,70.635,-7756.05999999994,56315.73999999956,48559.67999999962,10307022.5975,144,167,-23
2017-01-26,71.255,71.255,71.51,0.6485,1.2422055989189549,1.74,0.71255,1000.0,712.5500000000001,1239.8370000000002,804.0342945000001,9.416010795195966,128837.78246875001,160.2391631178737,150.8813689731066,151,151.0,7.0,71.155,453.9499999999742,9338.399999999468,9792.349999999442,10316814.9475,151,144,7
2017-01-27,71.235,71.235,71.48,0.6485,1.2218961698874091,1.72,0.71235,1000.0,712.35,1225.242,794.5694369999999,9.30135722332886,128960.18684375001,162.3019724124501,150.96286234590644,151,151.0,0.0,71.255,-0.0,-1958.4699999996103,-1958.4699999996103,10314856.477500001,151,151,0
2017-01-30,70.695,70.695,70.945,0.6485,1.1875269470565546,1.68,0.70695,1000.0,706.9499999999999,1187.676,770.2078859999999,9.535039696143434,128935.70596875002,167.4037728156292,159.62016190812014,160,160.0,9.0,71.235,-3151.7100000000364,-52878.69000000061,-56030.40000000065,10258826.0775,160,151,9
