Date,PX_CLOSE_1D,FX_TO_USD,stdev_signal,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-01-02,68.285,0.6485,,0.5756596216396209,0.84,0.68285,1000.0,682.8499999999999,573.5939999999999,371.97570899999994,,125000.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,10000000.0,0,0,0
2017-01-03,67.54,0.6485,0.7449999999999903,0.5590872024883597,0.83,0.6754000000000001,1000.0,675.4000000000001,560.582,363.537427,-0.11952078928824154,125000.0,343.8435514921549,-4.109645266601448,-4,-4.0,-4.0,68.285,1932.5299999999747,-0.0,1932.5299999999747,10001932.53,-4,0,-4
2017-01-04,68.585,0.6485,0.7642329664618059,0.5896780901358368,0.86,0.68585,1000.0,685.8499999999999,589.8309999999999,382.50540349999994,-0.06072715663849406,125024.156625,326.85592276868323,-1.9849030820193345,-2,-2.0,2.0,67.54,1355.3649999999836,-2710.7299999999673,-1355.3649999999836,10000577.165,-2,-4,2
2017-01-05,67.755,0.6485,0.7679319533822979,0.5772185461211865,0.85,0.67755,1000.0,677.55,575.9174999999999,373.48249874999993,-0.13821511998565372,125007.2145625,334.70702102744787,-4.626157107134943,-5,-5.0,-3.0,68.585,1614.7649999999967,1076.5099999999977,2691.274999999994,10003268.44,-5,-2,-3
2017-01-06,69.0,0.6485,0.8010167858668052,0.6339311871064877,0.92,0.6900000000000001,1000.0,690.0000000000001,634.8000000000002,411.6678000000001,-0.015576294683723332,125040.8555,303.74213261275224,-0.47311769654388003,0,0.0,5.0,67.755,4036.9125000000145,-4036.9125000000145,0.0,10003268.44,0,-5,5
2017-01-09,69.52,0.6485,0.7883917292443565,0.7222159187663528,1.04,0.6951999999999999,1000.0,695.1999999999999,723.0079999999999,468.8706879999999,0.17289364859554088,125040.8555,266.6851622424305,4.610817072638759,5,5.0,5.0,69.0,1686.099999999987,0.0,1686.099999999987,10004954.54,5,0,5
2017-01-10,69.11,0.6485,0.7726901612518773,0.7499626657282047,1.09,0.6911,1000.0,691.1,753.2990000000001,488.5144015,0.2909017463743213,125061.93174999999,256.00459549604494,7.447218390965119,7,7.0,2.0,69.52,-531.7699999999955,-1329.4249999999888,-1861.1949999999842,10003093.344999999,7,5,2
2017-01-11,69.285,0.6485,0.752617109237705,0.7965732860108475,1.15,0.69285,1000.0,692.8499999999999,796.7774999999998,516.7102087499999,0.4348832862183156,125038.66681249999,241.98992916162317,10.523737562554409,11,11.0,4.0,69.11,453.9499999999926,794.412499999987,1248.3624999999795,10004341.7075,11,7,4
2017-01-12,69.88,0.6485,0.7449503513132864,0.8876954244856439,1.27,0.6988,1000.0,698.8,887.476,575.528186,0.6616882278236048,125054.27134375,217.28609368881544,14.377565026366605,14,14.0,3.0,69.285,1157.5724999999977,4244.432499999992,5402.004999999989,10009743.7125,14,11,3
2017-01-13,69.88,0.6485,0.7245368680538344,0.9648293458704054,1.38,0.6988,1000.0,698.8,964.3439999999998,625.3770839999999,0.8911015961503044,125121.79640625001,200.07416262513712,17.828640566369526,18,18.0,4.0,69.88,0.0,0.0,0.0,10009743.7125,18,14,4
2017-01-16,69.93,0.6485,0.7047786419004405,1.0242032675789208,1.46,0.6993,1000.0,699.3000000000001,1020.9780000000001,662.104233,1.124093490617809,125121.79640625001,188.97598017055722,21.242666919284353,21,21.0,3.0,69.88,97.27500000002212,583.6500000001326,680.9250000001548,10010424.637500001,21,18,3
2017-01-17,70.04,0.6485,0.6859428841711442,1.0882852337443436,1.55,0.7004,1000.0,700.4,1085.62,704.0245699999999,1.3706987212355881,125130.30796875001,177.7357116510153,24.362211267794386,24,24.0,3.0,69.93,214.0049999999989,1498.0349999999924,1712.0399999999913,10012136.6775,24,21,3
2017-01-18,69.595,0.6485,0.675120958373006,1.118435365433618,1.61,0.69595,1000.0,695.9499999999999,1120.4795,726.6309557499999,1.5152999811922476,125151.70846875,172.23558599918624,26.098858022520268,26,26.0,2.0,70.04,-577.1650000000095,-6925.980000000115,-7503.145000000124,10004633.5325,26,24,2
2017-01-19,69.32,0.6485,0.6597264133040306,1.1180218766431145,1.61,0.6931999999999999,1000.0,693.1999999999999,1116.052,723.7597219999999,1.6154389115865413,125057.91915625002,172.78927709692312,27.91305217272788,28,28.0,2.0,69.595,-356.67500000000734,-4636.775000000095,-4993.450000000103,9999640.082500001,28,26,2
