,price,swing_high,swing_low,fib_382,fib_500,fib_618,trend,forecast
2020-01-01,120.46308877376582,,,,,,0.0,0.0
2020-01-02,121.41779709400089,,,,,,0.0,0.0
2020-01-03,120.71851330709131,,,,,,0.0,0.0
2020-01-06,120.9999979254366,,,,,,0.0,0.0
2020-01-07,120.67467664087569,,,,,,0.0,0.0
2020-01-08,120.43111394899334,,,,,,0.0,0.0
2020-01-09,120.1349169868739,,,,,,0.0,0.0
2020-01-10,119.702921602034,,,,,,0.0,0.0
2020-01-13,119.72718241600641,,,,,,0.0,0.0
2020-01-14,119.31170735780088,,,,,,0.0,0.0
2020-01-15,119.44693577069081,,,,,,0.0,0.0
2020-01-16,119.42181671596624,,,,,,0.0,0.0
2020-01-17,119.30234269253303,,,,,,0.0,0.0
2020-01-20,118.84856086151224,,,,,,0.0,0.0
2020-01-21,118.56017519622807,,,,,,0.0,0.0
2020-01-22,118.93787080914095,,,,,,0.0,0.0
2020-01-23,119.18832940295314,,,,,,0.0,0.0
2020-01-24,118.69955178055386,,,,,,0.0,0.0
2020-01-27,118.74921793326848,,,,,,0.0,0.0
2020-01-28,119.12491149495438,,,,,,0.0,0.0
2020-01-29,118.29020885439368,,,,,,0.0,0.0
2020-01-30,118.56188895058365,,,,,,0.0,0.0
2020-01-31,118.23057707111073,,,,,,0.0,0.0
2020-02-03,118.51587640540731,,,,,,0.0,0.0
2020-02-04,118.13424682713605,,,,,,0.0,0.0
2020-02-05,117.2318057768038,,,,,,0.0,0.0
2020-02-06,116.41803455786221,,,,,,0.0,0.0
2020-02-07,116.44207703119291,,,,,,0.0,0.0
2020-02-10,116.57193828205364,,,,,,0.0,0.0
2020-02-11,116.11977996950144,,,,,,0.0,0.0
2020-02-12,116.43907619889012,,,,,,0.0,0.0
2020-02-13,115.60831616775565,,,,,,0.0,0.0
2020-02-14,115.57527626843199,,,,,,0.0,0.0
2020-02-17,114.96976816855076,,,,,,0.0,0.0
2020-02-18,114.64385011464968,,,,,,0.0,0.0
2020-02-19,114.66754945030789,,,,,,0.0,0.0
2020-02-20,114.23734276766591,,,,,,0.0,0.0
2020-02-21,114.045064995551,,,,,,0.0,0.0
2020-02-24,114.54821140015822,,,,,,0.0,0.0
2020-02-25,114.25976546539664,,,,,,0.0,0.0
2020-02-26,114.67761152142921,,,,,,0.0,0.0
2020-02-27,114.1127580941004,,,,,,0.0,0.0
2020-02-28,114.37766018305804,,,,,,0.0,0.0
2020-03-02,115.09844449338699,,,,,,0.0,0.0
2020-03-03,113.86262224332336,,,,,,0.0,0.0
2020-03-04,113.46417461558812,,,,,,0.0,0.0
2020-03-05,113.75271067917838,,,,,,0.0,0.0
2020-03-06,113.65118798615688,,,,,,0.0,0.0
2020-03-09,113.83676092284254,,,,,,0.0,0.0
2020-03-10,113.53476832948463,121.41779709400089,113.46417461558812,118.37951330724721,117.4409858547945,116.5024584023418,0.0,0.0
2020-03-11,113.57806322322108,121.41779709400089,113.46417461558812,118.37951330724721,117.4409858547945,116.5024584023418,0.0,0.0
2020-03-12,113.50022460552503,120.9999979254366,113.46417461558812,118.12131342107449,117.23208627051235,116.34285911995025,0.0,0.0
2020-03-13,114.08411563635494,120.9999979254366,113.46417461558812,118.12131342107449,117.23208627051235,116.34285911995025,0.0,0.0
2020-03-16,114.21132605800555,120.67467664087569,113.46417461558812,117.92026486721583,117.0694256282319,116.21858638924797,0.0,0.0
2020-03-17,114.38012738904315,120.43111394899334,113.46417461558812,117.76974312363255,116.94764428229072,116.12554544094891,0.0,0.0
2020-03-18,114.17418890598192,120.1349169868739,113.46417461558812,117.58669340104274,116.799545801231,116.01239820141929,0.0,0.0
2020-03-19,113.93038579394567,119.72718241600641,113.46417461558812,117.33471343624663,116.59567851579726,115.8566435953479,0.0,0.0
2020-03-20,113.71410670003586,119.72718241600641,113.46417461558812,117.33471343624663,116.59567851579726,115.8566435953479,0.0,0.0
2020-03-23,113.911332771225,119.44693577069081,113.46417461558812,117.16152100944159,116.45555519313947,115.74958937683735,0.0,0.0
2020-03-24,113.70084053081487,119.44693577069081,113.46417461558812,117.16152100944159,116.45555519313947,115.74958937683735,0.0,0.0
2020-03-25,113.84572795926309,119.42181671596624,113.46417461558812,117.1459974336218,116.44299566577718,115.73999389793256,0.0,0.0
2020-03-26,114.8834283585858,119.30234269253303,113.46417461558812,117.07216248714008,116.38325865406057,115.69435482098108,0.0,0.0
2020-03-27,115.31899071030165,119.18832940295314,113.46417461558812,117.0017022741797,116.32625200927063,115.65080174436156,0.0,0.0
2020-03-30,115.15597894421774,119.18832940295314,113.46417461558812,117.0017022741797,116.32625200927063,115.65080174436156,0.0,0.0
2020-03-31,115.7565859052997,119.18832940295314,113.46417461558812,117.0017022741797,116.32625200927063,115.65080174436156,0.0,0.0
2020-04-01,115.55254821878893,119.18832940295314,113.46417461558812,117.0017022741797,116.32625200927063,115.65080174436156,0.0,0.0
2020-04-02,114.53348595119999,119.12491149495438,113.46417461558812,116.96251000703647,116.29454305527125,115.62657610350603,0.0,0.0
2020-04-03,114.0294427957413,119.12491149495438,113.46417461558812,116.96251000703647,116.29454305527125,115.62657610350603,0.0,0.0
2020-04-06,113.09404683522837,119.12491149495438,113.09404683522837,116.82112119493904,116.10947916509137,115.3978371352437,0.0,0.0
2020-04-07,112.91829009320772,118.56188895058365,112.91829009320772,116.40603418706604,115.74008952189568,115.07414485672533,0.0,0.0
2020-04-08,112.92749928280249,118.56188895058365,112.91829009320772,116.40603418706604,115.74008952189568,115.07414485672533,0.0,0.0
2020-04-09,113.76571793894013,118.51587640540731,112.91829009320772,116.37759843414706,115.7170832493075,115.05656806446797,0.0,0.0
2020-04-10,113.92918162582221,118.51587640540731,112.91829009320772,116.37759843414706,115.7170832493075,115.05656806446797,0.0,0.0
2020-04-13,113.81963136141778,118.13424682713605,112.91829009320772,116.14175135477542,115.52626846017188,114.91078556556835,0.0,0.0
2020-04-14,114.23433415200952,117.2318057768038,112.91829009320772,115.58404278567009,115.07504793500576,114.56605308434142,0.0,0.0
2020-04-15,113.12876649750558,116.57193828205364,112.91829009320772,115.1762446739145,114.74511418763068,114.31398370134686,0.0,0.0
2020-04-16,113.24657377655987,116.57193828205364,112.91829009320772,115.1762446739145,114.74511418763068,114.31398370134686,0.0,0.0
2020-04-17,113.63200637350334,116.57193828205364,112.91829009320772,115.1762446739145,114.74511418763068,114.31398370134686,0.0,0.0
2020-04-20,112.89271325061343,116.43907619889012,112.89271325061343,115.08436555264842,114.66589472475178,114.24742389685512,0.0,0.0
2020-04-21,113.4645902722169,116.43907619889012,112.89271325061343,115.08436555264842,114.66589472475178,114.24742389685512,-1.0,0.0
2020-04-22,113.6338384759641,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-04-23,113.4261945190137,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-04-24,113.74258545206685,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-04-27,114.87793188096904,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-04-28,114.96886500849828,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-04-29,115.09297530164845,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-04-30,114.86329485187834,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-05-01,114.43837266714594,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,-10.0
2020-05-04,114.85354057541807,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-05-05,114.42549866246362,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,-10.0
2020-05-06,114.46128178107332,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,-10.0
2020-05-07,114.22245305769077,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,0.0
2020-05-08,114.46194297056397,115.7565859052997,112.89271325061343,114.66258655120954,114.32464957795656,113.98671260470358,-1.0,-10.0
