,daily_cash_risk
2020-01-01,125988.1576697424
2020-01-02,125988.1576697424
2020-01-03,125988.1576697424
2020-01-06,125988.1576697424
2020-01-07,125988.1576697424
2020-01-08,125988.1576697424
2020-01-09,125988.1576697424
2020-01-10,125988.1576697424
2020-01-13,125988.1576697424
2020-01-14,125988.1576697424
2020-01-15,125988.1576697424
2020-01-16,125988.1576697424
2020-01-17,125988.1576697424
2020-01-20,125988.1576697424
2020-01-21,125988.1576697424
2020-01-22,125988.1576697424
2020-01-23,125988.1576697424
2020-01-24,125988.1576697424
2020-01-27,125988.1576697424
2020-01-28,125988.1576697424
2020-01-29,125988.1576697424
2020-01-30,125988.1576697424
2020-01-31,125988.1576697424
2020-02-03,125988.1576697424
2020-02-04,125988.1576697424
2020-02-05,125988.1576697424
2020-02-06,125988.1576697424
2020-02-07,125988.1576697424
2020-02-10,125988.1576697424
2020-02-11,125988.1576697424
2020-02-12,125988.1576697424
2020-02-13,125988.1576697424
2020-02-14,125988.1576697424
2020-02-17,125988.1576697424
2020-02-18,125988.1576697424
2020-02-19,125988.1576697424
2020-02-20,125988.1576697424
2020-02-21,125988.1576697424
2020-02-24,125988.1576697424
2020-02-25,125988.1576697424
2020-02-26,125988.1576697424
2020-02-27,125988.1576697424
2020-02-28,125988.1576697424
2020-03-02,125988.1576697424
2020-03-03,125988.1576697424
2020-03-04,125988.1576697424
2020-03-05,125988.1576697424
2020-03-06,125988.1576697424
2020-03-09,125988.1576697424
2020-03-10,125988.1576697424
2020-03-11,125988.1576697424
2020-03-12,125988.1576697424
2020-03-13,125988.1576697424
2020-03-16,125988.1576697424
2020-03-17,125988.1576697424
2020-03-18,125988.1576697424
2020-03-19,125988.1576697424
2020-03-20,125988.1576697424
2020-03-23,125988.1576697424
2020-03-24,125988.1576697424
2020-03-25,125988.1576697424
2020-03-26,125988.1576697424
2020-03-27,125988.1576697424
2020-03-30,125988.1576697424
2020-03-31,125988.1576697424
2020-04-01,125988.1576697424
2020-04-02,125988.1576697424
2020-04-03,125988.1576697424
2020-04-06,125988.1576697424
2020-04-07,125988.1576697424
2020-04-08,125988.1576697424
2020-04-09,125988.1576697424
2020-04-10,125988.1576697424
2020-04-13,125988.1576697424
2020-04-14,125988.1576697424
2020-04-15,125988.1576697424
2020-04-16,125988.1576697424
2020-04-17,125988.1576697424
2020-04-20,125988.1576697424
2020-04-21,125988.1576697424
2020-04-22,125988.1576697424
2020-04-23,125988.1576697424
2020-04-24,125988.1576697424
2020-04-27,126635.89309669829
2020-04-28,126635.89309669829
2020-04-29,126635.89309669829
2020-04-30,126635.89309669829
2020-05-01,126635.89309669829
2020-05-04,126654.83969987312
2020-05-05,126654.83969987312
2020-05-06,126469.85884578836
2020-05-07,125530.97947442667
2020-05-08,125530.97947442667
2020-05-11,125684.36034570732
2020-05-12,125249.21137982568
2020-05-13,125249.21137982568
2020-05-14,125249.21137982568
2020-05-15,125249.21137982568
2020-05-18,125249.21137982568
2020-05-19,125249.21137982568
2020-05-20,125249.21137982568
2020-05-21,126236.75761703619
2020-05-22,127146.10601355055
2020-05-25,127146.10601355055
2020-05-26,127146.10601355055
2020-05-27,127146.10601355055
2020-05-28,127146.10601355055
2020-05-29,127146.10601355055
2020-06-01,127146.10601355055
2020-06-02,128653.97694632513
2020-06-03,128653.97694632513
2020-06-04,128653.97694632513
2020-06-05,128653.97694632513
2020-06-08,128653.97694632513
2020-06-09,128653.97694632513
2020-06-10,128653.97694632513
2020-06-11,128653.97694632513
2020-06-12,128653.97694632513
2020-06-15,128653.97694632513
2020-06-16,128653.97694632513
2020-06-17,127569.66899092053
2020-06-18,127569.66899092053
2020-06-19,125618.50939301877
2020-06-22,125618.50939301877
2020-06-23,125618.50939301877
2020-06-24,125618.50939301877
2020-06-25,125618.50939301877
2020-06-26,125618.50939301877
2020-06-29,125618.50939301877
2020-06-30,125618.50939301877
2020-07-01,125618.50939301877
2020-07-02,125697.98012351632
2020-07-03,124391.72429080229
2020-07-06,124391.72429080229
2020-07-07,123298.22711353928
2020-07-08,123298.22711353928
2020-07-09,122366.68187863976
2020-07-10,122366.68187863976
2020-07-13,122366.68187863976
2020-07-14,120766.31481812832
2020-07-15,120487.10250692243
2020-07-16,121874.93035766596
2020-07-17,119930.70138607523
2020-07-20,119930.70138607523
2020-07-21,119743.38905485421
2020-07-22,119535.51141721517
2020-07-23,117462.87916172628
2020-07-24,117462.87916172628
2020-07-27,117462.87916172628
2020-07-28,117462.87916172628
2020-07-29,117462.87916172628
2020-07-30,117462.87916172628
2020-07-31,117269.78145450124
2020-08-03,117269.78145450124
2020-08-04,117269.78145450124
2020-08-05,117269.78145450124
2020-08-06,117269.78145450124
2020-08-07,117269.78145450124
2020-08-10,117269.78145450124
2020-08-11,117269.78145450124
2020-08-12,117269.78145450124
2020-08-13,116873.61938905665
2020-08-14,116849.68554885805
2020-08-17,117925.00658339921
2020-08-18,117925.00658339921
2020-08-19,117371.66797289604
2020-08-20,116277.97040915323
2020-08-21,116277.97040915323
2020-08-24,114240.62651574824
2020-08-25,114240.62651574824
2020-08-26,114240.62651574824
2020-08-27,114240.62651574824
2020-08-28,114240.62651574824
2020-08-31,114240.62651574824
2020-09-01,114240.62651574824
2020-09-02,114240.62651574824
2020-09-03,114240.62651574824
2020-09-04,114240.62651574824
2020-09-07,114240.62651574824
2020-09-08,114240.62651574824
2020-09-09,114240.62651574824
2020-09-10,114240.62651574824
2020-09-11,114240.62651574824
2020-09-14,114240.62651574824
2020-09-15,114240.62651574824
2020-09-16,114240.62651574824
2020-09-17,114240.62651574824
2020-09-18,114240.62651574824
2020-09-21,114240.62651574824
2020-09-22,114240.62651574824
2020-09-23,114240.62651574824
2020-09-24,114240.62651574824
2020-09-25,114948.87263598511
2020-09-28,114948.87263598511
2020-09-29,114504.26641390701
2020-09-30,114738.26152752139
2020-10-01,114481.4559110992
2020-10-02,115553.30927386503
2020-10-05,115553.30927386503
2020-10-06,115704.72989074276
2020-10-07,116595.80095727077
2020-10-08,116595.80095727077
2020-10-09,117221.41065303217
2020-10-12,118570.02642650483
2020-10-13,118570.02642650483
2020-10-14,118570.02642650483
