,AD1,RX1
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,731.1270728391827,425.1057796300974
2020-02-06,740.5164119197883,383.1667322020917
2020-02-07,736.5321424373651,372.3591672875396
2020-02-10,679.9708433781253,366.8429701036793
2020-02-11,678.1784699747035,368.6528782751217
2020-02-12,676.2352631916114,382.5809463266203
2020-02-13,715.9214756093429,402.2311478185783
2020-02-14,697.1653136057226,399.92132841851367
2020-02-17,700.3562946621832,405.3819161680441
2020-02-18,717.5003442873037,402.8957888611384
2020-02-19,723.5255046167881,400.0991699990673
2020-02-20,730.7239813144236,399.96773831926873
2020-02-21,754.899237670458,398.8868745982555
2020-02-24,730.0184441731947,421.78172710176665
2020-02-25,710.4240602749403,420.8385391862599
2020-02-26,734.7672965318502,425.352099652307
2020-02-27,730.8664239072868,421.61231620215074
2020-02-28,724.9166697120208,428.46867525807545
2020-03-02,716.3167627852531,465.35089903837724
2020-03-03,713.1354249372099,495.975234077438
2020-03-04,658.3691266104192,480.6255201674807
2020-03-05,655.7832251412075,482.96813814795036
2020-03-06,696.5774545632827,482.03789784530795
2020-03-09,683.4488386123952,479.6657756581877
2020-03-10,714.1528062307448,477.5351296371517
2020-03-11,720.1665158672943,457.3339190052289
2020-03-12,705.183982762594,436.87970385825304
2020-03-13,697.1478085135277,460.4663055772895
2020-03-16,713.3839082682482,460.97933187436746
2020-03-17,748.0647486751333,458.50380669036565
2020-03-18,771.720247394452,451.3625548242828
2020-03-19,704.1178351825529,425.9812807693866
2020-03-20,701.4258370002498,426.156223035733
2020-03-23,697.0351181801935,415.71455098428066
2020-03-24,710.5485421760231,412.3790810106493
2020-03-25,690.2069216248748,414.3585290860329
2020-03-26,686.6086198253828,461.6546050235967
2020-03-27,638.1169501180258,468.03749137307807
