,AD1,RX1
2020-01-01,,
2020-01-02,,
2020-01-03,,
2020-01-06,,
2020-01-07,,
2020-01-08,,
2020-01-09,,
2020-01-10,,
2020-01-13,,
2020-01-14,,
2020-01-15,,
2020-01-16,,
2020-01-17,,
2020-01-20,,
2020-01-21,,
2020-01-22,,
2020-01-23,,
2020-01-24,,
2020-01-27,,
2020-01-28,,
2020-01-29,,
2020-01-30,,
2020-01-31,,
2020-02-03,,
2020-02-04,,
2020-02-05,172.32046568935428,296.36895969603154
2020-02-06,170.13553736522624,328.80766277823176
2020-02-07,171.05588529078548,338.3511639783345
2020-02-10,185.2846469766669,343.4389314701462
2020-02-11,185.77434001176982,341.7528116401109
2020-02-12,186.30817487263104,329.3111141038966
2020-02-13,175.9804140007254,313.2232756041258
2020-02-14,180.71489675545476,315.03235440820765
2020-02-17,179.8915189739428,310.7887960584709
2020-02-18,175.59316685051488,312.7065637143339
2020-02-19,174.13091434347078,314.8923244955397
2020-02-20,172.4155233596075,314.9957999091769
2020-02-21,166.894005693434,315.84934399416665
2020-02-24,172.58215689664422,298.70463695868983
2020-02-25,177.3421885809778,299.37409704290656
2020-02-26,171.46674636230378,296.19733339209597
2020-02-27,172.3819203462608,298.82466149147024
2020-02-28,173.7967451069821,294.0428669467077
2020-03-02,175.88330221376208,270.73796984187675
2020-03-03,176.6679276672245,254.02106599958077
2020-03-04,191.36401234120163,262.13372445524755
2020-03-05,192.11860389172628,260.8622551228167
2020-03-06,180.86740655241323,261.3656690332958
2020-03-09,184.34175398634943,262.658217582574
2020-03-10,176.41624673394517,263.83013489598704
2020-03-11,174.94309287347977,275.4839569822109
2020-03-12,178.65998200381324,288.3818052362983
2020-03-13,180.71943443152583,273.60993875934145
2020-03-16,176.60639132662922,273.30543683480903
2020-03-17,168.41878713423517,274.78105051987944
2020-03-18,163.25625522346266,279.12851060228087
2020-03-19,178.93050193378232,295.7598452265056
2020-03-20,179.61721827720118,295.6384322450182
2020-03-23,180.74865151510582,303.0641034128882
2020-03-24,177.31111977783996,305.51539462422164
2020-03-25,182.53679255076574,304.05590527517194
2020-03-26,183.49341099414613,272.90566648480143
