Date,PX_CLOSE_1D,FX_TO_USD,stdev_signal,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-01-02,164.47,1.1308,,1.265908764,0.77,1.6447,1000.0,1644.7,1266.419,1432.0666052000001,,125000.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.0,10000000.0,0,0,0
2017-01-03,163.21,1.1308,1.259999999999991,1.257936405,0.77,1.6321,1000.0,1632.1000000000001,1256.717,1421.0955836,-0.04298593235555364,125000.0,87.96030431911053,-0.37810556914351984,0,0.0,0.0,164.47,-0.0,-0.0,-0.0,10000000.0,0,0,0
2017-01-04,163.19,1.1308,1.225481703415185,1.225921694,0.75,1.6319,1000.0,1631.8999999999999,1223.925,1384.01439,-0.08739113774744647,125000.0,90.31698001348093,-0.7892903641291482,-1,-1.0,-1.0,163.21,22.61600000001157,-0.0,22.61600000001157,10000022.616,-1,0,-1
2017-01-05,163.54,1.1308,1.1946750003513724,1.135498129,0.69,1.6354,1000.0,1635.3999999999999,1128.426,1276.0241208,-0.11964047592098433,125000.28270000001,97.96075220085292,-1.1720071014887656,-1,-1.0,0.0,163.19,0.0,-395.7799999999936,-395.7799999999936,9999626.836000001,-1,-1,0
2017-01-06,162.84,1.1308,1.173280138390718,1.075610214,0.66,1.6284,1000.0,1628.4,1074.7440000000001,1215.3205152000003,-0.17681177426040592,124995.33545000001,102.8496877051648,-1.8185035765278843,-2,-2.0,-1.0,163.54,791.5599999999872,791.5599999999872,1583.1199999999744,10001209.956,-2,-1,-1
2017-01-09,162.95,1.1308,1.141415904846766,1.055782174,0.65,1.6295,1000.0,1629.5,1059.175,1197.71509,-0.2319207723106347,125015.12445,104.37801568484873,-2.4207430009881663,-2,-2.0,0.0,162.84,0.0,-248.7759999999666,-248.7759999999666,10000961.18,-2,-2,0
2017-01-10,163.12,1.1308,1.110841650406752,1.004879761,0.62,1.6312,1000.0,1631.2,1011.344,1143.6277952,-0.28124739584031694,125012.01475,109.31180168468853,-3.0743659558431817,-3,-3.0,-1.0,162.95,-192.236000000018,-384.472000000036,-576.708000000054,10000384.472,-3,-2,-1
2017-01-11,163.48,1.1308,1.0836390272338978,0.978354401,0.6,1.6348,1000.0,1634.8,980.8799999999999,1109.1791039999998,-0.31629281468787185,125004.80589999999,112.7002892943068,-3.5646291717033725,-4,-4.0,-1.0,163.12,-407.0879999999833,-1221.2639999999499,-1628.3519999999332,9998756.12,-4,-3,-1
2017-01-12,163.89,1.1308,1.0582465602839621,0.910149621,0.56,1.6388999999999998,1000.0,1638.8999999999999,917.784,1037.8301472,-0.3347093410768245,124984.4515,120.42861911190393,-4.0308583749737235,-4,-4.0,0.0,163.48,0.0,-1854.5119999999847,-1854.5119999999847,9996901.608,-4,-4,0
2017-01-13,163.41,1.1308,1.0352803822120964,0.872885445,0.53,1.6341,1000.0,1634.1000000000001,866.0730000000001,979.3553484000001,-0.37262586155968813,124961.2701,127.59543336762562,-4.754535828969328,-5,-5.0,-1.0,163.89,542.7839999999884,2171.1359999999536,2713.919999999942,9999615.527999999,-5,-4,-1
2017-01-16,163.58,1.1308,1.007686558983374,0.754192062,0.46,1.6358000000000001,1000.0,1635.8000000000002,752.4680000000001,850.8908144000001,-0.4056123351238118,124995.1941,146.8992166617047,-5.958413429801281,-6,-6.0,-1.0,163.41,-192.236000000018,-961.18000000009,-1153.416000000108,9998462.112,-6,-5,-1
2017-01-17,163.9,1.1308,0.982893233877102,0.688355044,0.42,1.639,1000.0,1639.0,688.38,778.420104,-0.4242119191536971,124980.7764,160.55697400127784,-6.811018207459232,-7,-7.0,-1.0,163.58,-361.8559999999923,-2171.1359999999536,-2532.991999999946,9995929.12,-7,-6,-1
2017-01-18,163.42,1.1308,0.9624513862352625,0.661785967,0.4,1.6341999999999999,1000.0,1634.1999999999998,653.68,739.181344,-0.4627747996056771,124949.114,169.03715849192213,-7.822613714701234,-8,-8.0,-1.0,163.9,542.7840000000206,3799.488000000144,4342.272000000165,10000271.391999999,-8,-7,-1
2017-01-19,163.03,1.1308,0.9404591098531844,0.548840292,0.34,1.6303,1000.0,1630.3000000000002,554.3020000000001,626.8047016000002,-0.5203943632796514,125003.3924,199.42957045617663,-10.378202433667642,-10,-10.0,-2.0,163.42,882.0239999999692,3528.0959999998768,4410.119999999846,10004681.511999998,-10,-8,-2
2017-01-20,162.29,1.1308,0.9307279453536815,0.539440142,0.33,1.6229,1000.0,1622.9,535.557,605.6078556,-0.6053618969762184,125058.51889999998,206.50082019840957,-12.500772824245422,-13,-13.0,-3.0,163.03,2510.376000000031,8367.920000000104,10878.296000000135,10015559.807999998,-13,-10,-3
2017-01-23,163.13,1.1308,0.9260510141394203,0.539948454,0.33,1.6313,1000.0,1631.3,538.3290000000001,608.7424332,-0.6461479883319801,125194.49759999999,205.66086865652719,-13.288735656102261,-13,-13.0,0.0,162.29,0.0,-12348.33600000005,-12348.33600000005,10003211.472,-13,-13,0
2017-01-24,162.76,1.1308,0.9047736289619289,0.551983393,0.34,1.6276,1000.0,1627.6,553.384,625.7666272,-0.7159002995340604,125040.1434,199.81913059105366,-14.305057544277085,-14,-14.0,-1.0,163.13,418.39600000000513,5439.1480000000665,5857.544000000072,10009069.015999999,-14,-13,-1
2017-01-25,161.76,1.1308,0.9101757506000404,0.647763589,0.4,1.6176,1000.0,1617.6,647.04,731.672832,-0.8108644049356176,125113.3627,170.99632134489312,-13.86548303535064,-14,-14.0,0.0,162.76,-0.0,15831.2,15831.2,10024900.215999998,-14,-14,0
2017-01-26,161.43,1.1308,0.888553278974313,0.757355707,0.47,1.6143,1000.0,1614.3000000000002,758.721,857.9617068,-0.9440959421555509,125311.25269999998,146.0569297053853,-13.78917546585528,-14,-14.0,0.0,161.76,-0.0,5224.295999999748,5224.295999999748,10030124.511999998,-14,-14,0
2017-01-27,161.85,1.1308,0.8697039343263345,0.812758062,0.5,1.6185,1000.0,1618.5,809.25,915.0999,-1.055084615727101,125376.55639999999,137.0086002632062,-14.45556663600129,-14,-14.0,0.0,161.43,0.0,-6649.103999999803,-6649.103999999803,10023475.407999998,-14,-14,0
2017-01-30,162.07,1.1308,0.8474169443220856,0.842975484,0.52,1.6207,1000.0,1620.7,842.764,952.9975312,-1.1607626661762542,125293.44259999998,131.47299809080553,-15.260894779406902,-15,-15.0,-1.0,161.85,-248.77599999999873,-3482.8639999999823,-3731.6399999999812,10019743.767999997,-15,-14,-1
2017-01-31,162.13,1.1308,0.8243136655907327,0.846005319,0.52,1.6213,1000.0,1621.3,843.076,953.3503408,-1.2669253805140348,125246.79709999997,131.37541545839238,-16.64428482198132,-17,-17.0,-2.0,162.07,-135.69600000000514,-1017.7200000000386,-1153.4160000000438,10018590.351999998,-17,-15,-2
2017-02-01,161.61,1.1308,0.8107896663761521,0.875672503,0.54,1.6161,1000.0,1616.1000000000001,872.6940000000002,986.8423752000002,-1.3873082276701332,125232.37939999998,126.90210974637112,-17.605234095983885,-18,-18.0,-1.0,162.13,588.0159999999795,9996.27199999965,10584.28799999963,10029174.639999997,-18,-17,-1
