Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast_combined,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-01-02,164.47,1.0,1000.0,,1.6447,1644.7,,,,125000.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10000000.0
2017-01-03,163.21,1.0,1000.0,0.77,1.6321,1632.1000000000001,1256.717,1256.717,-14.99474017167339,125000.0,99.46551212405019,-149.1459510342562,-106,-106.0,-106.0,0.0,-0.0,0.0,10000000.0
2017-01-04,163.19,1.0,1000.0,0.75,1.6319,1631.8999999999999,1223.925,1223.925,-15.821103709742443,125000.0,102.13044099924424,-161.58162989707748,-115,-115.0,-9.0,0.0,2120.0000000010846,2120.0000000010846,10060640.0
2017-01-05,163.54,1.0,1000.0,0.73,1.6354,1635.3999999999999,1193.8419999999999,1193.8419999999999,-15.7257828374148,125758.0,105.33889744204008,-165.65366255062315,-118,-118.0,-3.0,0.0,-40249.999999999345,-40249.999999999345,9958970.0
2017-01-06,162.84,1.0,1000.0,0.72,1.6284,1628.4,1172.448,1172.448,-16.442747434761635,124487.125,106.17709697999399,-174.58431889982336,-125,-125.0,-7.0,0.0,82599.99999999866,82599.99999999866,10116269.999999998
2017-01-09,162.95,1.0,1000.0,0.7,1.6295,1629.5,1140.6499999999999,1140.6499999999999,-16.53259594019331,126453.37499999999,110.86080305089203,-183.2816862445748,-131,-131.0,-6.0,0.0,-13749.999999998152,-13749.999999998152,10143600.0
2017-01-10,163.12,1.0,1000.0,0.68,1.6312,1631.2,1109.2160000000001,1109.2160000000001,-16.30326544426993,126795.0,114.3104679341084,-186.3633901788475,-133,-133.0,-2.0,0.0,-22270.000000002085,-22270.000000002085,10078279.999999998
2017-01-11,163.48,1.0,1000.0,0.66,1.6348,1634.8,1078.968,1078.968,-15.698436990039474,125978.49999999999,116.75832832855096,-183.29232603280983,-131,-131.0,2.0,0.0,-47879.999999998035,-47879.999999998035,10048775.0
2017-01-12,163.89,1.0,1000.0,0.65,1.6388999999999998,1638.8999999999999,1065.2849999999999,1065.2849999999999,-14.889182020524204,125609.6875,117.91181467870102,-175.56104711214974,-125,-125.0,6.0,0.0,-53709.999999999556,-53709.999999999556,10062300.0
2017-02-01,161.61,1.0,1000.0,0.72,1.6161,1616.1000000000001,1163.592,1163.592,-18.61863476393507,125778.75,108.09523441206196,-201.25856892401274,-144,-144.0,-19.0,0.0,284999.99999999657,284999.99999999657,10538559.999999998
2017-02-02,162.37,1.0,1000.0,0.7,1.6237000000000001,1623.7,1136.59,1136.59,-17.37840743111063,131731.99999999997,115.90107250635671,-201.41760597181616,-144,-144.0,0.0,0.0,-109439.99999999869,-109439.99999999869,10336809.999999998
2017-02-03,162.49,1.0,1000.0,0.68,1.6249000000000002,1624.9000000000003,1104.9320000000002,1104.9320000000002,-16.716853597723972,129210.12499999999,116.93943609199476,-195.48594329502754,-139,-139.0,5.0,0.0,-17280.000000000655,-17280.000000000655,10054929.999999998
2017-02-06,163.19,1.0,1000.0,0.67,1.6319,1631.8999999999999,1093.373,1093.373,-15.125740928575793,125686.62499999999,114.95310840856686,-173.875093672247,-124,-124.0,15.0,0.0,-97299.99999999841,-97299.99999999841,9910630.0
2017-02-07,163.38,1.0,1000.0,0.65,1.6338,1633.8,1061.97,1061.97,-14.220024094486629,123882.875,116.6538367373843,-165.8820369119914,-118,-118.0,6.0,0.0,-23559.999999999716,-23559.999999999716,9932580.0
