Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,usdjpy,assetClass
02/04/1990,62.97,63.36,62.89,63.3,32472,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79125,63.13,63.3,0.2967338875153968,1,0.002,,0.006938181,144.13,fx
03/04/1990,63.44,63.49,63,63.05,25915,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,78813,62.89,63.05,0.2958180747238635,2,0.002,,0.006938181,,fx
04/04/1990,63.34,63.64,63.21,63.24,38998,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79050,63.08,63.24,0.2892709226083154,3,0.002,,0.006938181,,fx
05/04/1990,63.75,63.88,63.63,63.84,22722,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79800,63.68,63.84,0.31678962525099424,4,0.002,,0.006938181,,fx
06/04/1990,63.85,63.95,63.67,63.7,24536,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79625,63.55,63.7,0.32653585816364006,5,0.002,,0.006938181,,fx
09/04/1990,64.05,64.17,63.4,63.46,33286,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79325,63.32,63.46,0.5420956250207741,6,0.002,,0.006938181,,fx
10/04/1990,63.5,63.65,63.28,63.65,26570,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79563,63.51,63.65,0.6988342674292153,7,0.002,,0.006938181,,fx
11/04/1990,63.37,63.61,63.34,63.57,25422,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79463,63.43,63.57,0.9080789246168663,8,0.002,,0.006938181,,fx
12/04/1990,63.41,63.54,63.41,63.57,25422,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79463,63.43,63.57,1.022582189035836,9,0.002,,0.006938181,,fx
13/04/1990,63.41,63.54,63.41,63.53,11891,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79413,63.4,63.53,1.0997974055858288,10,0.002,,0.006938181,,fx
16/04/1990,62.94,63.07,62.82,62.99,13089,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,78738,62.87,62.99,1.136856044830061,11,0.002,,0.006938181,,fx
17/04/1990,62.74,62.9,62.82,62.86,24490,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,78575,62.73,62.86,1.1373617132058942,12,0.002,,0.006938181,,fx
18/04/1990,62.84,63.45,62.84,63.41,29358,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79263,63.26,63.41,1.1776619492310345,13,0.002,,0.006938181,,fx
19/04/1990,64.02,64.34,63.92,64.09,48688,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,80113,63.92,64.09,1.222004773585861,14,0.002,,0.006938181,,fx
20/04/1990,63.76,63.92,63.52,63.84,26155,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79800,63.67,63.84,1.2848123079526532,15,0.002,,0.006938181,,fx
23/04/1990,63.85,63.9,63.71,63.76,18657,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79700,63.58,63.76,1.3325601925116233,16,0.002,,0.006938181,,fx
24/04/1990,63.38,63.4,63.2,63.21,22513,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79013,63.04,63.21,1.4036223376202748,17,0.002,,0.006938181,,fx
25/04/1990,63.18,63.39,63.18,63.33,21613,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79163,63.14,63.33,1.4039685419077585,18,0.002,,0.006938181,,fx
26/04/1990,63.28,63.51,63.14,63.15,23222,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,78938,62.93,63.15,1.3908190632381305,19,0.002,,0.006938181,,fx
27/04/1990,63.33,63.4,63.08,63.09,22583,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,78863,62.88,63.09,1.3459411824691991,20,0.002,,0.006938181,,fx
30/04/1990,63.17,63.3,63.09,63.28,22583,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79100,63.07,63.28,1.2906167776170354,21,0.002,,0.006938181,,fx
01/05/1990,63.34,63.49,63.25,63.29,18834,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79113,63.07,63.29,1.225972675062503,22,0.002,,0.006938181,,fx
02/05/1990,63.58,63.68,63.51,63.54,21405,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79425,63.31,63.54,1.1515081415256716,23,0.002,,0.006938181,,fx
