Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,return,square_return,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,trades,execution_price,delta_price,carry_pnl_eur,trade_pnl_eur,carry_pnl_usd,trade_pnl_usd,pnl_usd,strategy_ret,sharpe_usd,tickValue,tickSize
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,164.47,164.47,0.0,,,,,0.7696897695628382,1.6447,1644.7,1265.908764,1952.056690824981,125000.0,64.03502551310245,,,,,,,,,,,,0.1231888297628129,10,0.01
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-0.007660971605763955,5.8690485944321555e-05,5.8690485944321555e-05,0.007660971605763955,163.966,164.32176470588234,-0.35576470588233633,-46.43858823529203,-348.2894117646902,-20.0,,0.7707471386557195,1.6321,1632.1000000000001,1257.936405,1939.7631534309946,125000.0,64.44085700818874,-128.8817140163775,,,164.47,-1.259999999999991,,,,,,,0.1231888297628129,10,0.01
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.00012254151093693544,1.501642190270707e-08,5.5518838943109724e-05,0.00745109649267205,163.6556,164.188615916955,-0.5330159169550086,-71.5352320935872,-536.514240701904,-20.0,0.0024508302187387088,0.7512235394325633,1.6319,1631.8999999999999,1225.921694,1890.3958272937548,125000.0,66.12371768665348,-132.24743537330696,-129.0,,163.21,-0.020000000000010232,,,,,,,0.1231888297628129,10,0.01
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.00214473926098413,4.599906497606752e-06,5.276646421632578e-05,0.007264052878133927,163.60935999999998,164.11230816201913,-0.5029481620191518,-69.2379544115261,-519.2846580864458,-20.0,-0.042894785219682596,0.694324403204109,1.6354,1635.3999999999999,1135.4981289999998,1750.960877409406,125000.0,71.38937346500904,-142.7787469300181,-132.0,-3.0,163.19,0.3499999999999943,-45149.999999999265,1049.999999999983,-69622.20508866502,1619.1210485736053,-68003.08404009142,-0.006800308404009142,0.1231888297628129,10,0.01
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.0042802983979454146,1.8320954375454083e-05,5.090454476546785e-05,0.007134742095231463,163.301616,163.9626248488404,-0.661008848840396,-92.64649513851163,-694.8487135388372,-20.0,0.08560596795890829,0.6605319417833455,1.6284,1628.4,1075.6102139999998,1658.612511950655,125000.0,75.36419694132806,-150.72839388265612,-143.0,-11.0,163.54,-0.6999999999999886,92399.9999999985,-7699.9999999998745,142482.65227447727,-11873.554356206438,130609.09791827083,0.013060909791827082,0.1231888297628129,10,0.01
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.0006755097027757451,4.5631335854417546e-07,4.817761333806657e-05,0.006941009533062648,163.1609696,163.8434925136827,-0.6825229136827033,-98.33193722492227,-737.489529186917,-20.0,-0.013510194055514901,0.6479178729671679,1.6295,1629.5,1055.782174,1628.0372767925983,125000.0,76.77956873706412,-153.55913747412825,-151.0,-8.0,162.84,0.10999999999998522,-15729.999999997886,879.9999999998818,-24255.975327676002,1356.977640709147,-22898.997686966854,-0.0022898997686966855,0.1231888297628129,10,0.01
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.001043264805155042,1.0884014536751877e-06,4.563225053350487e-05,0.0067551647303011695,163.14458176,163.75837574736707,-0.6137939873670746,-90.86291924367467,-681.47189432756,-20.0,-0.02086529610310084,0.6160371266552231,1.6312,1631.2,1004.879761,1549.5447355435622,125000.0,80.66885526615755,-161.3377105323151,-154.0,-3.0,162.95,0.17000000000001592,-25670.000000002405,510.00000000004775,-39583.654587513345,786.4302235929804,-38797.224363920366,-0.0038797224363920366,0.1231888297628129,10,0.01
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.002206964198136152,4.870690971854749e-06,4.342892298963189e-05,0.006590062442013118,163.27874905599998,163.7256256594415,-0.4468766034415239,-67.81067818001024,-508.58008635007684,-20.0,-0.04413928396272304,0.5984551021531687,1.6348,1634.8,978.354401,1508.642098689283,125000.0,82.85596703724542,-165.71193407449084,-161.0,-7.0,163.12,0.3599999999999852,-55439.99999999772,2519.9999999998963,-85489.59136468424,3885.890516576556,-81603.70084810768,-0.008160370084810768,0.1231888297628129,10,0.01
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.0025079520430633107,6.289823450305434e-06,4.1421404095614245e-05,0.006435946247104169,163.52324943359997,163.74496381715426,-0.22171438355428563,-34.449383982043855,-258.3703798653289,-20.0,-0.05015904086126621,0.5553417664287021,1.6388999999999998,1638.8999999999999,910.1496209999999,1403.4689606784887,125000.0,89.06502637548206,-178.13005275096413,-166.0,-5.0,163.48,0.4099999999999966,-66009.99999999945,2049.9999999999827,-101788.74325366145,3161.1410948342063,-98627.60215882724,-0.009862760215882725,0.1231888297628129,10,0.01
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.002928793703093513,8.577832555280213e-06,3.964607590424484e-05,0.006296512995638525,163.47794966016,163.70555630925375,-0.22760664909375805,-36.1480472209645,-271.11035415723376,-20.0,0.05857587406187026,0.5341689278501928,1.6341,1634.1000000000001,872.8854450000001,1346.006854279106,125000.0,92.86728340395226,-185.7345668079045,-178.0,-12.0,163.89,-0.47999999999998977,79679.9999999983,-5759.999999999877,122868.1572860421,-8882.035466460875,113986.12181958123,0.011398612181958123,0.1231888297628129,10,0.01
2017-01-16,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,0.0010403280093018719,1.0822823669379956e-06,3.756154652384987e-05,0.006128747549365194,163.518769796096,163.6907849787533,-0.17201518265730442,-28.06693884382976,-210.5020413287232,-20.0,-0.020806560186037437,0.4610539564738965,1.6358000000000001,1635.8000000000002,754.192062,1162.9792783346184,125000.0,107.48256854498689,-214.96513708997378,-186.0,-8.0,163.41,0.17000000000001592,-30260.000000002834,1360.0000000001273,-46661.52659985017,2097.147262914614,-44564.379336935555,-0.004456437933693555,0.1231888297628129,10,0.01
2017-01-17,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,0.001956229367893414,3.826833339808666e-06,3.57380485139017e-05,0.005978130854531515,163.6712618776576,163.71539851066467,-0.044136633007070714,-7.383015541323333,-55.372616559925,-20.0,-0.03912458735786828,0.4199847736424649,1.639,1639.0,688.3550439999999,1061.4572767925981,125000.0,117.76262948397893,-235.52525896795788,-215.0,-29.0,163.58,0.3199999999999932,-59519.999999998734,9279.999999999802,-91781.03315342905,14309.946029298077,-77471.08712413097,-0.007747108712413096,0.1231888297628129,10,0.01
2017-01-18,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,-0.0029286150091519803,8.576785871830253e-06,3.426987215487081e-05,0.005854047501931532,163.57075712659457,163.68064574470412,-0.10988861810955086,-18.771391600989453,-140.7854370074209,-20.0,0.058572300183039605,0.4049602049932689,1.6341999999999999,1634.1999999999998,661.7859669999999,1020.4872274479568,125000.0,122.49050908025676,-244.98101816051354,-236.0,-21.0,163.9,-0.4800000000000182,103200.00000000391,-10080.000000000382,159136.4687741001,-15543.562066307451,143592.90670779266,0.014359290670779266,0.1231888297628129,10,0.01
2017-01-19,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,-0.0023864888018602093,5.695328801404177e-06,3.272530224387262e-05,0.005720603311179042,163.35445427595675,163.60409918650365,-0.2496449105468912,-43.63961228687928,-327.2970921515946,-20.0,0.047729776037204186,0.33664987548303993,1.6303,1630.3000000000002,548.8402920000001,846.3227324595222,125000.0,147.69779329539455,-295.3955865907891,-245.0,-9.0,163.42,-0.38999999999998636,92039.99999999678,-3509.999999999877,141927.5250578208,-5412.490362374522,136515.0346954463,0.01365150346954463,0.1231888297628129,10,0.01
