Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
02/01/1995,172,172,167.75,168.85,3974,15939,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63319,168.85,170.3,5.91067678020038,1,0.026,,1,commodity 
03/01/1995,168,168.3,165.35,167.75,3444,15818,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,62906,167.75,169.15,6.385653190290449,2,0.026,,1,commodity 
04/01/1995,168.5,169.8,165.75,168,4199,15823,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63000,168,169.25,6.787005353369523,3,0.026,,1,commodity 
05/01/1995,167,173.25,166.35,172.55,6641,15989,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,64706,172.55,173.9,6.873022139738326,4,0.026,,1,commodity 
06/01/1995,172.4,175.5,170.6,174.95,10149,15696,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,65606,174.95,175.95,6.721564797971762,5,0.026,,1,commodity 
09/01/1995,174.75,175.5,168,169.1,5522,15885,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63413,169.1,170.4,6.352740878287615,6,0.026,,1,commodity 
10/01/1995,168,170.8,166.7,169,5576,15533,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63375,169,170.3,6.263167462767261,7,0.026,,1,commodity 
11/01/1995,172,172,163.1,164.7,8347,15303,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,61763,164.7,166.25,6.196936743262739,8,0.026,,1,commodity 
12/01/1995,166.7,167.9,164.25,167.7,4225,14925,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,62888,167.7,168.95,6.228565244099143,9,0.026,,1,commodity 
13/01/1995,170,170.2,168.2,169.8,4012,14815,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63675,169.8,170.95,6.1749406204972095,10,0.026,,1,commodity 
16/01/1995,171.3,171.3,166.7,168.45,4333,15291,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63169,168.45,169.5,6.038250988489941,11,0.026,,1,commodity 
17/01/1995,170,171.75,169.1,170.3,4803,14926,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63863,170.3,171.55,6.083031727683142,12,0.026,,1,commodity 
18/01/1995,169.3,174.5,168.8,174.25,6466,15161,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,65344,174.25,175.4,6.069100015653041,13,0.026,,1,commodity 
19/01/1995,175,175,171.5,172.35,5148,15435,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,64631,172.35,173.3,5.775164499821604,14,0.026,,1,commodity 
20/01/1995,172.5,176.25,168.45,169.85,8558,15575,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63694,169.85,171.05,5.617174556660999,15,0.026,,1,commodity 
23/01/1995,170.5,171.25,168.8,169.55,3325,15322,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,63581,169.55,170.5,5.923961231023242,16,0.026,,1,commodity 
24/01/1995,169.5,170.1,164.5,166.6,8664,14363,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,62475,166.6,167.75,7.125703474043795,17,0.026,,1,commodity 
25/01/1995,166,167.8,164.8,165.4,4928,14155,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,62025,165.4,166.9,7.921309340422615,18,0.026,,1,commodity 
26/01/1995,164.4,168,162.9,167,7612,14703,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,62625,167,168.75,9.086210706339584,19,0.026,,1,commodity 
27/01/1995,167.5,167.75,161,161.65,8146,13867,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,60619,161.65,163.2,9.727423434119995,20,0.026,,1,commodity 
30/01/1995,160.5,160.5,154.75,157.45,7561,13867,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,59044,157.45,159.15,10.069244840933553,21,0.026,,1,commodity 
31/01/1995,158.25,158.4,154,155.5,5915,13812,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,58313,155.5,157.7,10.210363607629283,22,0.026,,1,commodity 
01/02/1995,155.5,157.5,154.7,155.75,4924,12973,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,58406,155.75,157.65,10.169481304373427,23,0.026,,1,commodity 
02/02/1995,155.5,159,155.1,158.2,5623,12695,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,59325,158.2,160.15,10.123857137145611,24,0.026,,1,commodity 
03/02/1995,158.2,159.4,153.2,154.35,6164,12120,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,57881,154.35,156.3,5.91067678020038,25,0.026,,1,commodity 
06/02/1995,155.15,155.4,150.75,153.9,4945,13267,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,57713,153.9,155.7,6.385653190290449,26,0.026,,1,commodity 
07/02/1995,155.1,155.65,153.6,154,3086,12312,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,57750,154,155.95,6.787005353369523,27,0.026,,1,commodity 
08/02/1995,154.75,161,154.35,158.95,7552,11784,KC1 Comdty,Future,NYB,USD,0.05,18.75,375,59606,156.85,158.95,6.873022139738326,28,0.026,,1,commodity 
