Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,usdkw
03/05/1996,108.5,109.5,108,109.5,2527,530,Future,KFE,KRW,0.05,12500,25000,2737500,KM1 Index,3.8503495512312518,1,0.005,,0.000713776,1401
04/05/1996,109.1,109.5,108.7,108.7,1428,592,Future,KFE,KRW,0.05,12500,25000,27375000,KM1 Index,3.863118343169593,2,0.005,,0.000713776,
06/05/1996,108.8,109.3,108.2,109.1,3385,726,Future,KFE,KRW,0.05,12500,25000,27175000,KM1 Index,3.819945462088874,3,0.005,,0.000713776,
07/05/1996,109.25,110.2,109.25,110.15,4614,958,Future,KFE,KRW,0.05,12500,25000,27275000,KM1 Index,3.7097282020834603,4,0.005,,0.000713776,
08/05/1996,110.25,110.35,109.5,109.55,4401,1222,Future,KFE,KRW,0.05,12500,25000,27537500,KM1 Index,3.5020612977692696,5,0.005,,0.000713776,
09/05/1996,109.05,109.25,104.1,107.2,5250,1208,Future,KFE,KRW,0.05,12500,25000,27387500,KM1 Index,3.301455487104646,6,0.005,,0.000713776,
10/05/1996,107.35,107.55,105.6,107.05,5015,1349,Future,KFE,KRW,0.05,12500,25000,26800000,KM1 Index,3.323119769132622,7,0.005,,0.000713776,
11/05/1996,107.15,107.5,106.5,106.95,1667,1265,Future,KFE,KRW,0.05,12500,25000,26762500,KM1 Index,3.332175215481133,8,0.005,,0.000713776,
13/05/1996,107.15,107.9,106.85,107.9,3435,1359,Future,KFE,KRW,0.05,12500,25000,26737500,KM1 Index,3.380782700302808,9,0.005,,0.000713776,
14/05/1996,108.25,108.3,106.75,106.8,4521,1349,Future,KFE,KRW,0.05,12500,25000,26975000,KM1 Index,3.22254428467116,10,0.005,,0.000713776,
15/05/1996,106.65,106.75,105.55,105.85,4010,1725,Future,KFE,KRW,0.05,12500,25000,26700000,KM1 Index,3.1346756876376825,11,0.005,,0.000713776,
16/05/1996,105.65,105.75,104.5,104.65,3835,1768,Future,KFE,KRW,0.05,12500,25000,26462500,KM1 Index,3.120239039988251,12,0.005,,0.000713776,
17/05/1996,104.55,104.65,103.5,103.95,3627,1855,Future,KFE,KRW,0.05,12500,25000,26162500,KM1 Index,3.2610070019346504,13,0.005,,0.000713776,
18/05/1996,103.9,104.3,102.95,102.95,1731,1836,Future,KFE,KRW,0.05,12500,25000,25987500,KM1 Index,3.356647633180089,14,0.005,,0.000713776,
20/05/1996,102.8,103.4,102.15,103.4,3489,1751,Future,KFE,KRW,0.05,12500,25000,25737500,KM1 Index,3.417775836222563,15,0.005,,0.000713776,
21/05/1996,103.45,103.45,101.75,101.8,3751,1814,Future,KFE,KRW,0.05,12500,25000,25850000,KM1 Index,3.473102599501897,16,0.005,,0.000713776,
22/05/1996,101.6,102.2,100.55,101.95,3654,1738,Future,KFE,KRW,0.05,12500,25000,25450000,KM1 Index,3.56668847345361,17,0.005,,0.000713776,
23/05/1996,102.15,102.5,100.95,101.1,3842,1800,Future,KFE,KRW,0.05,12500,25000,25487500,KM1 Index,3.6063347043778644,18,0.005,,0.000713776,
25/05/1996,100.95,101,100.25,100.6,1961,1748,Future,KFE,KRW,0.05,12500,25000,25275000,KM1 Index,3.8188676332127813,19,0.005,,0.000713776,
