Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,usdchf
02/04/1990,66.34,66.5,66.2,66.46,15380,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83075,66.47,66.46,0.9155213450998022,1,,0.001,,1.219512195,0.82
03/04/1990,66.49,66.55,66.35,66.41,14702,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83013,66.45,66.41,0.9942581824321874,2,,0.001,,1.219512195,
04/04/1990,66.29,66.4,66.18,66.3,12447,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,82875,66.34,66.3,1.049817761963172,3,,0.001,,1.219512195,
05/04/1990,66.4,66.55,66.35,66.46,5920,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83075,66.49,66.46,1.222593282058009,4,,0.001,,1.219512195,
06/04/1990,66.7,66.76,66.43,66.52,10975,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83150,66.55,66.52,1.3977533163378264,5,,0.001,,1.219512195,
09/04/1990,66.8,66.8,66.55,66.57,11497,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83213,66.62,66.57,1.4841903516732862,6,,0.001,,1.219512195,
10/04/1990,66.6,67.37,66.5,67.32,19343,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,84150,67.39,67.32,1.580406065963244,7,,0.001,,1.219512195,
11/04/1990,67.19,67.5,67.1,67.42,16708,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,84275,67.49,67.42,1.664741521478162,8,,0.001,,1.219512195,
12/04/1990,67.2,67.47,67.2,67.42,16708,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,84275,67.49,67.42,1.7145663202882435,9,,0.001,,1.219512195,
13/04/1990,67.2,67.47,67.2,67.4,10728,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,84250,67.47,67.4,1.7378034027664857,10,,0.001,,1.219512195,
16/04/1990,67,67.05,66.65,66.95,10870,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83688,67.02,66.95,1.7533227502849518,11,,0.001,,1.219512195,
17/04/1990,66.88,67.02,66.75,66.97,8613,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83713,67.03,66.97,1.7008088271956945,12,,0.001,,1.219512195,
18/04/1990,66.82,67.67,66.75,67.62,19531,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,84525,67.67,67.62,1.6401334295315118,13,,0.001,,1.219512195,
19/04/1990,67.5,67.57,67,67.23,20506,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,84038,67.28,67.23,1.6044810168192918,14,,0.001,,1.219512195,
20/04/1990,67.25,67.3,66.74,67.08,21285,,SF1 Curncy,Future,CME,USD,0.005,6.25,1250,83850,67.14,67.08,1.5292151581775981,15,,0.001,,1.219512195,
