Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
02/01/1985,79.875,79.875,79.2188,79.25,6326,33660,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79250,79.25,78.625,1.0146099084212985,1,,0.002,,1,rates
03/01/1985,79.0313,79.875,79.0313,79.7188,8071,33102,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79719,79.7188,79.0625,0.9427535167440865,2,,0.002,,1,rates
04/01/1985,79.9375,80,79.3125,79.5313,5964,32533,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79531,79.5313,78.8438,0.8978618847944689,3,,0.002,,1,rates
07/01/1985,80.1563,80.5938,80.0625,80.5313,6075,32395,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80531,80.5313,79.8438,0.8303566788836453,4,,0.002,,1,rates
08/01/1985,80.5938,80.7813,80.2813,80.6875,7296,30933,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80688,80.6875,80,0.8184801244787058,5,,0.002,,1,rates
09/01/1985,80.6563,80.9375,80.5625,80.625,5860,30748,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80625,80.625,79.9375,0.8109279186010787,6,,0.002,,1,rates
10/01/1985,80.5938,80.625,80.3125,80.5938,5547,31275,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80594,80.5938,79.875,0.8009467871421574,7,,0.002,,1,rates
11/01/1985,80.5625,80.6563,79.9688,80.0313,8649,30507,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80031,80.0313,79.3125,0.7890152456913266,8,,0.002,,1,rates
14/01/1985,79.8438,80.0938,79.6875,79.9063,5226,31521,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79906,79.9063,79.2188,0.7418162189743123,9,,0.002,,1,rates
15/01/1985,80.4375,80.5625,80.1875,80.3125,9479,31780,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80313,80.3125,79.5938,0.6785609241131888,10,,0.002,,1,rates
16/01/1985,80.2188,80.5,80.1875,80.4063,4918,31793,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80406,80.4063,79.6563,0.638861381860999,11,,0.002,,1,rates
17/01/1985,80.5,80.75,80.4375,80.5,3577,31378,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80500,80.5,79.7188,0.6410724661846054,12,,0.002,,1,rates
18/01/1985,80.875,81.1563,80.8438,81,5826,30980,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81000,81,80.1875,0.687977039515137,13,,0.002,,1,rates
21/01/1985,80.9375,81,80.8438,80.9063,481,30523,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80906,80.9063,80.0938,0.7903658406712768,14,,0.002,,1,rates
22/01/1985,80.9063,81.7188,80.875,81.7188,7401,31349,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81719,81.7188,80.9063,0.9689655516236637,15,,0.002,,1,rates
23/01/1985,81.875,82.0938,81.7813,81.8438,6380,31035,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81844,81.8438,81.0313,1.0780774702682647,16,,0.002,,1,rates
