Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
02/01/1985,71.0313,71.0625,70.2813,70.3438,96541,129650,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,70344,70.3438,69.5938,1.1192856309122694,1,0.003,,1
03/01/1985,70.1563,70.875,70.0938,70.6563,122494,129924,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,70656,70.6563,69.9063,1.0734229083792397,2,0.003,,1
04/01/1985,70.9688,70.9688,70.0625,70.3125,120191,130628,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,70313,70.3125,69.5313,1.0396468704484938,3,0.003,,1
07/01/1985,70.9063,71.5625,70.9063,71.4375,119929,131567,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,71438,71.4375,70.5938,0.9792557604630245,4,0.003,,1
08/01/1985,71.4688,71.8125,71.2188,71.7188,129564,129207,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,71719,71.7188,70.9063,0.971988345814916,5,0.003,,1
09/01/1985,71.7188,71.9688,71.5,71.5625,111472,130025,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,71563,71.5625,70.7813,0.9706921020076433,6,0.003,,1
10/01/1985,71.4688,71.5,71.0938,71.4375,126156,131178,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,71438,71.4375,70.6563,0.965941148690411,7,0.003,,1
11/01/1985,71.3125,71.5,70.6563,70.7813,144161,129992,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,70781,70.7813,70,0.9588674149224273,8,0.003,,1
14/01/1985,70.5938,70.75,70.2813,70.5,104116,131623,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,70500,70.5,69.6563,0.9178470906964952,9,0.003,,1
15/01/1985,71.0313,71.375,70.7813,70.9375,160595,130426,US1 Comdty,Future,CBT,USD,0.031,31.25,1000,70938,70.9375,70.0938,0.8540380618372276,10,0.003,,1
