Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,gbpusd,assetClass
02/04/1990,157.5,159.04,157.5,159.04,11414,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99400,161.48,159.04,0.7946001090695407,1,0.003,,1.33,1.33,fx
03/04/1990,158.56,159.3,158.46,159.04,7548,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99400,161.48,159.04,1.0105193384261988,2,0.003,,1.33,,fx
04/04/1990,159.7,159.8,159.44,159.5,7409,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99688,161.96,159.5,1.1837803850376933,3,0.003,,1.33,,fx
05/04/1990,160,160,159.6,159.62,10174,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99763,162.1,159.62,1.402368472739362,4,0.003,,1.33,,fx
06/04/1990,159.4,159.8,159.1,159.6,7561,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99750,162.12,159.6,1.5727419792621244,5,0.003,,1.33,,fx
09/04/1990,159.34,159.7,158.7,158.9,6781,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99313,161.42,158.9,1.7038337164563195,6,0.003,,1.33,,fx
10/04/1990,159,159.9,158.7,159.86,15561,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99913,162.38,159.86,1.8147995297920296,7,0.003,,1.33,,fx
11/04/1990,159.7,160.1,159.6,159.86,8291,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99913,162.42,159.86,1.8778622597695294,8,0.003,,1.33,,fx
12/04/1990,159.8,160,159.8,159.86,8291,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99913,162.42,159.86,1.9742215343437883,9,0.003,,1.33,,fx
13/04/1990,159.8,160,159.8,159.9,2584,,BP1 Curncy,Future,CME,USD,0.01,6.25,625,99938,162.46,159.9,2.1457797339584435,10,0.003,,1.33,,fx
