Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd
03/01/2000,102.61,102.61,102.41,102.47,71828,185185,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102470,102.47,102.26,0.07719024117940167,1,0.011,,0.88354833,1.1318
04/01/2000,102.41,102.54,102.3,102.49,155647,198415,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102490,102.49,102.27,0.07664202502544423,2,0.011,,0.88354833,
05/01/2000,102.52,102.59,102.41,102.49,159782,201399,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102490,102.49,102.14,0.07516648189186996,3,0.011,,0.88354833,
06/01/2000,102.51,102.55,102.45,102.5,99644,200712,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102500,102.5,102.15,0.07685050422736849,4,0.011,,0.88354833,
07/01/2000,102.55,102.73,102.5,102.71,118700,210852,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102710,102.71,102.36,0.0789050061783202,5,0.011,,0.88354833,
10/01/2000,102.73,102.78,102.67,102.73,101468,206693,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102730,102.73,102.38,0.07816009211867904,6,0.011,,0.88354833,
11/01/2000,102.74,102.74,102.53,102.56,150157,211514,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102560,102.56,102.21,0.07034912934784597,7,0.011,,0.88354833,
12/01/2000,102.56,102.62,102.46,102.57,148268,233295,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102570,102.57,102.2,0.07123903424387394,8,0.011,,0.88354833,
13/01/2000,102.55,102.66,102.52,102.63,111832,223795,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102630,102.63,102.26,0.07265672714896869,9,0.011,,0.88354833,
14/01/2000,102.65,102.75,102.59,102.6,134146,222072,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102600,102.6,102.2,0.07586611013269472,10,0.011,,0.88354833,
17/01/2000,102.59,102.65,102.55,102.61,70447,215409,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102610,102.61,102.22,0.08136952746575007,11,0.011,,0.88354833,
18/01/2000,102.6,102.62,102.5,102.55,134152,229219,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102550,102.55,102.13,0.08518998376178302,12,0.011,,0.88354833,
19/01/2000,102.55,102.65,102.51,102.62,133588,234578,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102620,102.62,102.19,0.08508427195041911,13,0.011,,0.88354833,
20/01/2000,102.61,102.68,102.52,102.68,161429,241237,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102680,102.68,102.24,0.08268816924646982,14,0.011,,0.88354833,
21/01/2000,102.63,102.69,102.55,102.6,131972,259083,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102600,102.6,102.16,0.08268816924646982,15,0.011,,0.88354833,
24/01/2000,102.6,102.61,102.51,102.6,118564,257991,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102600,102.6,102.17,0.08168435182660652,16,0.011,,0.88354833,
25/01/2000,102.64,102.68,102.58,102.65,131236,267686,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102650,102.65,102.26,0.08129165598837862,17,0.011,,0.88354833,
26/01/2000,102.62,102.64,102.55,102.57,138376,277823,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102570,102.57,102.19,0.07735847292528979,18,0.011,,0.88354833,
27/01/2000,102.58,102.59,102.38,102.44,241738,306842,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102440,102.44,102.04,0.07805340052382627,19,0.011,,0.88354833,
28/01/2000,102.45,102.51,102.34,102.49,196301,299589,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102490,102.49,102.08,0.07689169872835913,20,0.011,,0.88354833,
31/01/2000,102.4,102.51,102.4,102.48,138206,301588,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102480,102.48,102.08,0.0770129859179565,21,0.011,,0.88354833,
01/02/2000,102.47,102.63,102.42,102.6,168631,294451,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102600,102.6,102.21,0.11140466776576033,22,0.011,,0.88354833,
02/02/2000,102.62,102.68,102.55,102.59,126437,294034,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102590,102.59,102.2,0.13524422353653373,23,0.011,,0.88354833,
