Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
03/01/1994,110.8906,110.8906,110.4375,110.5,37388,201195,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110500,110.5,109.7813,0.5023384115646883,1,0.004,,1
04/01/1994,110.4063,110.7188,110.4063,110.7031,31244,202984,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110703,110.7031,109.9531,0.4928629170469226,2,0.004,,1
05/01/1994,110.8125,110.8438,110.6094,110.6406,24200,203269,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110641,110.6406,109.8906,0.5122997546358989,3,0.004,,1
06/01/1994,110.6563,111.0625,110.6563,110.9375,41550,201882,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110938,110.9375,110.1875,0.5076462813153816,4,0.004,,1
07/01/1994,110.9844,111.875,110.9063,111.8438,66285,195911,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111844,111.8438,111.1094,0.5288645643262585,5,0.004,,1
10/01/1994,111.875,111.9688,111.7188,111.9219,33120,190914,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111922,111.9219,111.1875,0.5520620231459551,6,0.004,,1
11/01/1994,111.8438,112.0156,111.8125,111.9531,17091,191601,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111953,111.9531,111.2188,0.5719403829654577,7,0.004,,1
12/01/1994,112,112.2188,112,112.1563,43438,194015,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,112156,112.1563,111.4219,0.5838059792431134,8,0.004,,1
13/01/1994,112.125,112.125,111.625,111.6406,44525,194794,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111641,111.6406,110.9063,0.5818138233146533,9,0.004,,1
14/01/1994,111.6563,111.7188,111.25,111.4063,40151,193786,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111406,111.4063,110.6719,0.6207918598585885,10,0.004,,1
17/01/1994,111.4688,111.4688,111.3438,111.3594,4145,193581,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111359,111.3594,110.625,0.6563936653411752,11,0.004,,1
18/01/1994,111.3438,111.6875,111.3125,111.6563,22927,193324,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111656,111.6563,110.9219,0.7049653448456598,12,0.004,,1
19/01/1994,111.6875,111.7188,111.5625,111.6875,22393,194309,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111688,111.6875,110.9531,0.7294559764418255,13,0.004,,1
20/01/1994,111.6563,111.9844,111.5938,111.9844,29256,194697,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111984,111.9844,111.2656,0.7712815368376863,14,0.004,,1
