Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,usdjpy,assetClass
18/09/1989,34600,34600,34530,34530,,,Future,SGX,JPY,5,2500,500,#VALUE!,NI1 Index,2339.116466389251,1,0.002,,0.006944444,144,equity
19/09/1989,34620,34655,34530,34555,,,Future,SGX,JPY,5,2500,500,17265000,NI1 Index,2319.8837276898175,2,0.002,,0.006944444,,equity
20/09/1989,34600,47058,34540,47058,,,Future,SGX,JPY,5,2500,500,17277500,NI1 Index,2300.630589642762,3,0.002,,0.006944444,,equity
21/09/1989,35150,35395,35150,35380,,,Future,SGX,JPY,5,2500,500,23529000,NI1 Index,248.23963556748566,4,0.002,,0.006944444,,equity
22/09/1989,35470,35480,35350,35360,,,Future,SGX,JPY,5,2500,500,17690000,NI1 Index,242.89486751818762,5,0.002,,0.006944444,,equity
25/09/1989,35485,35660,35460,35660,,,Future,SGX,JPY,5,2500,500,17680000,NI1 Index,235.79970313808934,6,0.002,,0.006944444,,equity
26/09/1989,35640,36200,35640,35840,,,Future,SGX,JPY,5,2500,500,17830000,NI1 Index,236.98628652310452,7,0.002,,0.006944444,,equity
27/09/1989,36150,36150,35810,35845,,,Future,SGX,JPY,5,2500,500,17920000,NI1 Index,234.1904495633367,8,0.002,,0.006944444,,equity
28/09/1989,35900,36030,35855,36025,,,Future,SGX,JPY,5,2500,500,17922500,NI1 Index,230.6832243575836,9,0.002,,0.006944444,,equity
29/09/1989,36030,36090,35860,35910,,,Future,SGX,JPY,5,2500,500,18012500,NI1 Index,217.50000000002714,10,0.002,,0.006944444,,equity
02/10/1989,35950,35950,35810,35835,,,Future,SGX,JPY,5,2500,500,17955000,NI1 Index,211.34627983480658,11,0.002,,0.006944444,,equity
03/10/1989,35700,35740,35560,35580,,,Future,SGX,JPY,5,2500,500,17917500,NI1 Index,209.2938524340338,12,0.002,,0.006944444,,equity
04/10/1989,35600,35710,35525,35695,,,Future,SGX,JPY,5,2500,500,17790000,NI1 Index,210.3419834460355,13,0.002,,0.006944444,,equity
05/10/1989,35720,35860,35660,35715,,,Future,SGX,JPY,5,2500,500,17847500,NI1 Index,213.77499853821092,14,0.002,,0.006944444,,equity
06/10/1989,35590,35625,35420,35595,,,Future,SGX,JPY,5,2500,500,17857500,NI1 Index,218.15075062903628,15,0.002,,0.006944444,,equity
09/10/1989,35590,35795,35560,35770,,,Future,SGX,JPY,5,2500,500,17797500,NI1 Index,223.8436954663045,16,0.002,,0.006944444,,equity
11/10/1989,35635,35650,35450,35595,,,Future,SGX,JPY,5,2500,500,17885000,NI1 Index,228.2542442102918,17,0.002,,0.006944444,,equity
12/10/1989,35540,35600,35310,35350,,,Future,SGX,JPY,5,2500,500,17797500,NI1 Index,235.1506609247451,18,0.002,,0.006944444,,equity
