Date,AD1_small_alpha_forecast,AD1_small_one_perc_change,AD1_small_block_value,AD1_small_price_volatility,AD1_small_cash_vol_daily,AD1_small_std_dev,AD1_small_icv,AD1_small_ivv,AD1_small_vol_scalar,AD1_small_alpha_subsystem_position,AD1_small_alpha_trades_needed,AD1_small_alpha_target_pos,AD1_small_execution_price,AD1_small_daily_instrument_pnls,AD1_small_daily_current_pnls,AD1_small_alpha_current_pos,CL1_alpha_forecast,CL1_one_perc_change,CL1_block_value,CL1_price_volatility,CL1_cash_vol_daily,CL1_std_dev,CL1_icv,CL1_ivv,CL1_vol_scalar,CL1_alpha_subsystem_position,CL1_alpha_trades_needed,CL1_alpha_target_pos,CL1_execution_price,CL1_daily_instrument_pnls,CL1_daily_current_pnls,CL1_alpha_current_pos,ES1_alpha_forecast,ES1_one_perc_change,ES1_block_value,ES1_price_volatility,ES1_cash_vol_daily,ES1_std_dev,ES1_icv,ES1_ivv,ES1_vol_scalar,ES1_alpha_subsystem_position,ES1_alpha_trades_needed,ES1_alpha_target_pos,ES1_execution_price,ES1_daily_instrument_pnls,ES1_daily_current_pnls,ES1_alpha_current_pos,RX1_small_alpha_forecast,RX1_small_one_perc_change,RX1_small_block_value,RX1_small_price_volatility,RX1_small_cash_vol_daily,RX1_small_std_dev,RX1_small_icv,RX1_small_ivv,RX1_small_vol_scalar,RX1_small_alpha_subsystem_position,RX1_small_alpha_trades_needed,RX1_small_alpha_target_pos,RX1_small_execution_price,RX1_small_daily_instrument_pnls,RX1_small_daily_current_pnls,RX1_small_alpha_current_pos,AUM,NAV
1990-01-03,,,,,125000.0,,,,,,0.0,0.0,,,0.0,0.0,,0.2368,236.8,2.79,125000.0,0.6600005050503109,660.672,660.672,189.2012980722658,,0.0,0.0,23.68,0.0,0.0,0.0,,,,,125000.0,,,,,,0.0,0.0,,,0.0,0.0,,,,,125000.0,,,,,,0.0,0.0,,,0.0,0.0,10000000.0,10000000.0
1990-01-04,,,,,125000.0,,,,,,0.0,0.0,,,0.0,0.0,,0.2341,234.1,2.43,125000.0,0.5697958698808998,568.863,568.863,219.73656223027334,,0.0,0.0,23.41,0.0,0.0,0.0,,,,,125000.0,,,,,,0.0,0.0,,,-0.0,0.0,,,,,125000.0,,,,,,0.0,0.0,,,0.0,0.0,10000000.0,10000000.0
1990-01-05,,,,,124876.08125,,,,,,0.0,0.0,,,0.0,0.0,-3.673531305381654,0.22030000000000002,220.3,2.21,124876.08125,0.4878695180749297,486.863,486.863,256.7457375072659,-94.31635042562421,-45.0,-45.0,21.8097,-9913.500000000076,0.0,0.0,,,,,124876.08125,,,,,,0.0,0.0,,,-0.0,0.0,,,,,124876.08125,,,,,,0.0,0.0,,,0.0,0.0,9990086.5,9990086.5
1990-01-08,,,,,124673.66750000001,,,,,,0.0,0.0,,,0.0,0.0,-6.368554680563188,0.21030000000000001,210.3,2.34,124673.66750000001,0.4918512647809945,492.102,492.102,253.7605643748654,-161.60880299919052,-77.0,-77.0,20.8197,-16193.100000000011,0.0,-45.0,,,,,124673.66750000001,,,,,,0.0,0.0,,,-0.0,0.0,,,,,124673.66750000001,,,,,,45.0,0.0,,,0.0,0.0,9973893.4,9973893.4
1990-01-09,,,,,124373.79375000001,,,,,,0.0,0.0,,,0.0,0.0,-8.664520734852683,0.21230000000000002,212.3,2.16,124373.79375000001,0.4587326745138875,458.56800000000004,458.56800000000004,271.8760739955688,-235.5675880444948,-113.0,-113.0,21.0177,-23989.899999999892,0.0,-77.0,,,,,124373.79375000001,,,,,,0.0,0.0,,,0.0,0.0,,,,,124373.79375000001,,,,,,77.0,0.0,,,0.0,0.0,9949903.5,9949903.5
1990-01-10,,,,,123972.47625,,,,,,0.0,0.0,,,0.0,0.0,-10.711578481484953,0.21989999999999998,219.89999999999998,1.99,123972.47625,0.4365233861623733,437.60099999999994,437.60099999999994,284.21734353897733,-304.4416381116926,-146.0,-146.0,21.7701,-32105.399999999867,0.0,-113.0,,,,,123972.47625,,,,,,0.0,0.0,,,0.0,0.0,,,,,123972.47625,,,,,,113.0,0.0,,,0.0,0.0,9917798.1,9917798.1
1990-01-11,,,,,123659.32500000001,,,,,,0.0,0.0,,,0.0,0.0,-8.298203902280045,0.2217,221.70000000000002,1.97,123659.32500000001,0.4364103573472996,436.749,436.749,283.85291380174885,-235.54693569832338,-113.0,-113.0,21.948300000000003,-25052.099999999824,0.0,-146.0,,,,,123659.32500000001,,,,,,0.0,0.0,,,0.0,0.0,,,,,123659.32500000001,,,,,,146.0,0.0,,,0.0,0.0,9892746.0,9892746.0
1990-01-12,,,,,123410.3625,,,,,,0.0,0.0,,,0.0,0.0,-6.756604312272181,0.2213,221.29999999999998,2.01,123410.3625,0.4451404272810972,444.81299999999993,444.81299999999993,278.00294730594663,-187.8355912591735,-90.0,-90.0,21.9087,-19916.999999999945,0.0,-113.0,,,,,123410.3625,,,,,,0.0,0.0,,,-0.0,0.0,,,,,123410.3625,,,,,,113.0,0.0,,,0.0,0.0,9872829.0,9872829.0
1990-01-15,,,,,123187.40375000001,,,,,,0.0,0.0,,,0.0,0.0,-6.387051584672004,0.21489999999999998,214.89999999999998,2.11,123187.40375000001,0.4541475531146214,453.4389999999999,453.4389999999999,272.16530227880713,-173.833382521259,-83.0,-83.0,21.2751,-17836.700000000008,0.0,-90.0,,,,,123187.40375000001,,,,,,0.0,0.0,,,-0.0,0.0,,,,,123187.40375000001,,,,,,90.0,0.0,,,0.0,0.0,9854992.3,9854992.3
1990-01-16,,,,,122918.49500000002,,,,,,0.0,0.0,,,0.0,0.0,-7.469610273681725,0.21730000000000002,217.3,2.06,122918.49500000002,0.446610195435197,447.63800000000003,447.63800000000003,275.19425015302545,-205.55937982011773,-99.0,-99.0,21.5127,-21512.700000000157,0.0,-83.0,,,,,122918.49500000002,,,,,,0.0,0.0,,,0.0,0.0,,,,,122918.49500000002,,,,,,83.0,0.0,,,0.0,0.0,9833479.600000001,9833479.600000001
1990-01-17,,,,,122660.71750000003,,,,,,0.0,0.0,,,0.0,0.0,-7.324053203029532,0.2126,212.60000000000002,2.09,122660.71750000003,0.4440938339285196,444.334,444.334,276.6353576363727,-202.60920771678957,-97.0,-97.0,21.0474,-20622.200000000183,0.0,-99.0,,,,,122660.71750000003,,,,,,0.0,0.0,,,-0.0,0.0,,,,,122660.71750000003,,,,,,99.0,0.0,,,0.0,0.0,9812857.400000002,9812857.400000002
