Date,ADAUSDT_daily_alpha_forecast,ADAUSDT_daily_one_perc_change,ADAUSDT_daily_block_value,ADAUSDT_daily_price_volatility,ADAUSDT_daily_cash_vol_daily,ADAUSDT_daily_std_dev,ADAUSDT_daily_icv,ADAUSDT_daily_ivv,ADAUSDT_daily_vol_scalar,ADAUSDT_daily_alpha_subsystem_position,ADAUSDT_daily_alpha_trades_needed,ADAUSDT_daily_alpha_target_pos,ADAUSDT_daily_execution_price,ADAUSDT_daily_daily_instrument_pnls,ADAUSDT_daily_daily_current_pnls,ADAUSDT_daily_alpha_current_pos,AVAXUSDT_daily_alpha_forecast,AVAXUSDT_daily_one_perc_change,AVAXUSDT_daily_block_value,AVAXUSDT_daily_price_volatility,AVAXUSDT_daily_cash_vol_daily,AVAXUSDT_daily_std_dev,AVAXUSDT_daily_icv,AVAXUSDT_daily_ivv,AVAXUSDT_daily_vol_scalar,AVAXUSDT_daily_alpha_subsystem_position,AVAXUSDT_daily_alpha_trades_needed,AVAXUSDT_daily_alpha_target_pos,AVAXUSDT_daily_execution_price,AVAXUSDT_daily_daily_instrument_pnls,AVAXUSDT_daily_daily_current_pnls,AVAXUSDT_daily_alpha_current_pos,AUM,NAV
2021-01-02,,0.0017742,0.0017742,563.63,125000.0,1.0,0.9999923460000001,0.9999923460000001,125000.95675732302,,0.0,0.0,0.17742,0.0,0.0,0.0,,0.034956,0.034956,28.61,125000.0,1.0,1.00009116,1.00009116,124988.60603867352,,0.0,0.0,3.4956,0.0,0.0,0.0,10000000.0,10000000.0
2021-01-03,,0.0020615,0.0020615,485.08,125000.0,1.0,0.99999242,0.99999242,125000.9475071821,,0.0,0.0,0.20615,0.0,0.0,0.0,,0.034691,0.034691,28.83,125000.0,1.0,1.0001415299999998,1.0001415299999998,124982.31125348831,,0.0,0.0,3.4691,0.0,-0.0,0.0,10000000.0,10000000.0
2021-01-04,,0.0022528,0.0022528,443.89,125000.0,1.0,0.999995392,0.999995392,125000.57600265423,,0.0,0.0,0.22528,0.0,0.0,0.0,,0.035998999999999996,0.035998999999999996,27.78,125000.0,1.0,1.00005222,1.00005222,124993.47284084826,,0.0,0.0,3.5999,0.0,0.0,0.0,10000000.0,10000000.0
2021-01-05,13.39399983684212,0.0025873000000000003,0.0025873000000000003,386.5,124996.63763534499,1.0,0.9999914500000001,0.9999914500000001,125001.06875913788,167426.42945649833,91448.0,91448.0,0.26131730000000003,-236.60341040000134,0.0,0.0,-0.1116597380870532,0.042501,0.042501,23.53,124996.63763534499,1.0,1.00004853,1.00004853,124993.93404438083,-1395.6789937865967,-762.0,-762.0,4.207599,-32.38576199999976,0.0,0.0,9999731.0108276,9999731.0108276
2021-01-06,15.120599043472383,0.0033309,0.0033309,300.22,125026.63027293874,1.0,1.0000027980000001,1.0000027980000001,124996.28789573144,189001.87511937955,11785.0,103233.0,0.3364209,-39.2546565000003,6800.073279999999,91448.0,13.038942682895268,0.045788,0.045788,21.84,125026.63027293874,1.0,1.00000992,1.00000992,124995.39768099997,162980.78259882587,89782.0,89020.0,4.624588,-4110.938215999995,-250.46940000000032,-762.0,10002130.421835098,10002130.421835098
2021-01-07,15.096732856154969,0.0029928,0.0029928,334.14,124859.49012758874,1.0,1.0000141919999999,1.0000141919999999,125024.85592018353,188746.68502062757,-140.0,103093.0,0.2962872,-0.4189920000000025,-3490.307730000001,103233.0,13.880160015720426,0.044707,0.044707,22.37,124859.49012758874,1.0,1.00009559,1.00009559,125014.68011966611,173522.37643750687,5758.0,94778.0,4.515407,-257.42290599999905,-9623.062000000027,89020.0,9988759.2102071,9988759.2102071
2021-01-08,15.600217153408266,0.0030389,0.0030389,329.07,126317.08820153376,1.0,1.000010823,1.000010823,124858.13878795264,194781.4078462449,3296.0,106389.0,0.3069289,-10.016214400000036,475.2587300000003,103093.0,14.840840168293925,0.057,0.057,17.54,126317.08820153376,1.0,0.99978,0.99978,124886.96525994592,185342.74905261333,6456.0,101234.0,5.757000000000001,-367.99200000000246,116510.59540000002,94778.0,10105367.0561227,10105367.0561227
2021-01-09,16.23166441948267,0.0033062000000000005,0.0033062000000000005,302.46,128228.25891921874,1.0,0.9999932520000001,0.9999932520000001,126317.94059499688,205035.04218981363,5601.0,111990.0,0.3339262,-18.518026199999895,2843.7779700000033,106389.0,13.586544264570598,0.07187700000000001,0.07187700000000001,13.91,128228.25891921874,1.0,0.9998090700000002,0.9998090700000002,126341.21052886001,171654.04492897895,-7477.0,93757.0,7.115823000000001,-537.4243289999981,150605.82180000003,101234.0,10258260.7135375,10258260.7135375
2021-01-10,16.88171366913,0.0030153000000000003,0.0030153000000000003,331.64,127420.65905127999,1.0,0.999994092,0.999994092,128229.01649624821,216472.55405638096,6247.0,118237.0,0.3045453,-18.83657909999999,-3257.7891000000004,111990.0,15.03758425838078,0.065416,0.065416,15.29,127420.65905127999,1.0,1.00021064,1.00021064,128201.25460694835,192783.7168182113,11541.0,105298.0,6.607016,-754.9660559999991,-60576.39770000005,93757.0,10193652.724102398,10193652.724102398
2021-01-11,15.285483396541832,0.002757,0.002757,362.71,127286.82458010498,1.0,0.9999914699999999,0.9999914699999999,127421.74595877303,194770.29822111962,-11854.0,106383.0,0.272943,-32.68147800000011,-3054.061710000002,118237.0,15.60987429284132,0.064713,0.064713,15.45,127286.82458010498,1.0,0.9998158500000001,0.9998158500000001,127444.12788743046,198938.68156835824,3362.0,108660.0,6.5360130000000005,-217.5651060000008,-7402.449399999956,105298.0,10182945.966408398,10182945.966408398
