Date,AD1_small_alpha_forecast,AD1_small_one_perc_change,AD1_small_block_value,AD1_small_price_volatility,AD1_small_cash_vol_daily,AD1_small_std_dev,AD1_small_icv,AD1_small_ivv,AD1_small_vol_scalar,AD1_small_alpha_subsystem_position,AD1_small_alpha_trades_needed,AD1_small_alpha_target_pos,AD1_small_execution_price,AD1_small_daily_instrument_pnls,AD1_small_daily_current_pnls,AD1_small_alpha_current_pos,RX1_small_alpha_forecast,RX1_small_one_perc_change,RX1_small_block_value,RX1_small_price_volatility,RX1_small_cash_vol_daily,RX1_small_std_dev,RX1_small_icv,RX1_small_ivv,RX1_small_vol_scalar,RX1_small_alpha_subsystem_position,RX1_small_alpha_trades_needed,RX1_small_alpha_target_pos,RX1_small_execution_price,RX1_small_daily_instrument_pnls,RX1_small_daily_current_pnls,RX1_small_alpha_current_pos,AUM,NAV
2017-01-03,,0.6754000000000001,675.4000000000001,0.83,125000.0,0.5590872024883597,560.582,363.537427,343.8435514921549,,0.0,0.0,67.54,0.0,0.0,0.0,,1.6321,1632.1000000000001,0.77,125000.0,1.257936405,1256.717,1421.0955836,87.96030431911053,,0.0,0.0,163.21,0.0,0.0,0.0,10000000.0,10000000.0
2017-01-04,,0.68585,685.8499999999999,0.86,125000.0,0.5896780901358368,589.8309999999999,382.50540349999994,326.79276908567914,,0.0,0.0,68.585,0.0,0.0,0.0,,1.6319,1631.8999999999999,0.75,125000.0,1.225921694,1223.925,1384.01439,90.31698001348093,,0.0,0.0,163.19,0.0,-0.0,0.0,10000000.0,10000000.0
2017-01-05,1.4543917920142115,0.67755,677.55,0.85,123374.80937500001,0.5772185461211865,575.9174999999999,373.48249874999993,334.6877040245785,48.67670496214288,35.0,35.0,68.43254999999999,-23714.24999999988,-0.0,0.0,-9.24058742726136,1.6354,1635.3999999999999,0.69,123374.80937500001,1.135498129,1128.426,1276.0241208,97.96053065331678,-90.52128479228901,-65.0,-65.0,161.9046,-106301.00000000028,0.0,0.0,9869984.75,9869984.75
2017-01-06,0.3410304284000633,0.6900000000000001,690.0000000000001,0.92,124206.03687499999,0.6339311871064877,634.8000000000002,411.6678000000001,299.69506814718073,10.22051374796192,-28.0,7.0,68.31,-19319.999999999935,43575.00000000016,35.0,-8.6162041445734,1.6284,1628.4,0.66,124206.03687499999,1.075610214,1074.7440000000001,1215.3205152000003,101.51627314107894,-87.46849333798097,2.0,-63.0,164.4684,-3256.7999999999984,45499.99999999926,-65.0,9936482.95,9936482.95
2017-01-09,2.3912730487564264,0.6951999999999999,695.1999999999999,1.04,123610.635625,0.7222159187663528,723.0079999999999,468.8706879999999,264.90467426063543,63.34594080490577,38.0,45.0,70.2152,-26417.59999999999,3639.9999999999723,7.0,-10.011096561012293,1.6295,1629.5,0.65,123610.635625,1.055782174,1059.175,1197.71509,103.70248977576128,-103.81756387625362,-11.0,-74.0,161.32049999999998,-17924.50000000008,-6929.999999999069,-63.0,9888850.85,9888850.85
2017-01-10,4.404397250477489,0.6911,691.1,1.09,122798.06437499999,0.7499626657282047,753.2990000000001,488.5144015,253.0337595891735,111.44611950125378,35.0,80.0,69.8011,-24188.500000000204,-18449.999999999847,45.0,-10.274211465083276,1.6312,1631.2,0.62,122798.06437499999,1.004879761,1011.344,1143.6277952,108.08642124982867,-111.05027484248103,-6.0,-80.0,161.4888,-9787.20000000004,-12580.000000001179,-74.0,9823845.149999999,9823845.149999999
2017-01-11,4.8342484762231015,0.69285,692.8499999999999,1.15,122514.003125,0.7965732860108475,796.7774999999998,516.7102087499999,237.65364472296199,114.88767698708452,2.0,82.0,69.97785,-1385.7000000000141,13999.999999999773,80.0,-9.642055906111738,1.6348,1634.8,0.6,122514.003125,0.978354401,980.8799999999999,1109.1791039999998,110.71076251991852,-106.74793616253143,4.0,-76.0,165.1148,-6539.200000000051,-28799.999999998818,-80.0,9801120.25,9801120.25
2017-01-12,5.156335433515691,0.6988,698.8,1.27,122503.310625,0.8876954244856439,887.476,575.528186,212.87229036772146,109.7640933636723,-3.0,79.0,69.18119999999999,-2096.400000000017,48789.999999999905,82.0,-7.817475394379706,1.6388999999999998,1638.8999999999999,0.56,122503.310625,0.910149621,917.784,1037.8301472,118.04822152790128,-92.28390671446529,10.0,-66.0,165.5289,-16389.000000000065,-31159.99999999974,-76.0,9800264.85,9800264.85
2017-01-13,6.383693110772326,0.6988,698.8,1.38,122476.405625,0.9648293458704054,964.3439999999998,625.3770839999999,195.88711156707498,125.04832045998265,11.0,90.0,70.5788,-7686.800000000062,0.0,79.0,-5.563581781901875,1.6341,1634.1000000000001,0.53,122476.405625,0.872885445,866.0730000000001,979.3553484000001,125.0856605063086,-69.59243019700614,16.0,-50.0,165.0441,-26145.59999999983,31679.999999999323,-66.0,9798112.45,9798112.45
2017-01-16,7.327580870966104,0.6993,699.3000000000001,1.46,122038.056875,1.0242032675789208,1020.9780000000001,662.104233,184.9805506756215,135.545994463146,7.0,97.0,70.6293,-4895.099999999957,4500.000000001023,90.0,-6.415252850300199,1.6358000000000001,1635.8000000000002,0.46,122038.056875,0.754192062,752.4680000000001,850.8908144000001,143.9390384198276,-92.34053264922689,-16.0,-66.0,161.94420000000002,-26172.799999999825,-8500.000000000797,-50.0,9763044.549999999,9763044.549999999
