,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,returns,sqreturns,price_diff,distance,net_exp_ret,variance,stdev,stdev_yearly,raw_carry,forecast_scalar,forecast,capped_forecast,forecast*returns,cum_series_carry,1%_move,block_value,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed
0,02/04/1990,73.39,73.89,73.39,73.89,363,,AD1 Curncy,Future,CME,USD,0.005,5,1000,73890,74.89,73.89,0.5385250324045463,1,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.0,0.0,-1.0,0.08333333333333333,-12.0,,,,,30.0,,,,,0.7489,748.9,538.5250324045463,349.2334835143483,125000.0,357.92673354834363,,,,
1,03/04/1990,74.11,74.11,74.11,74.11,268,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74110,75.11,74.11,0.6460851744403184,2,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.21999999999999886,0.0483999999999995,-1.0,0.08333333333333333,-12.0,0.0483999999999995,0.21999999999999886,3.519999999999982,-3.4090909090909265,30.0,-102.27272727272779,-20.0,240.0,240.0,0.7511,751.1,646.0851744403184,418.98623562454645,125000.0,298.33915621040234,-596.6783124208047,-597.0,,
2,04/04/1990,74.8,74.8,74.54,74.54,1146,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74540,75.54,74.54,0.6776887967667417,3,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.4300000000000068,0.18490000000000587,-1.0,0.08333333333333333,-12.0,0.05577837837837822,0.23617446597458036,3.7787914555932858,-3.1756184857033745,30.0,-95.26855457110123,-20.0,240.0,480.0,0.7554000000000001,755.4000000000001,677.6887967667417,439.481184703232,125000.0,284.4262834241894,-568.8525668483788,-569.0,-596.6783124208047,28.0
3,05/04/1990,74.48,74.62,74.48,74.62,352,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74620,75.62,74.62,0.6903688945240153,4,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.0799999999999983,0.006399999999999727,-1.0,0.08333333333333333,-12.0,0.053109276844411815,0.2304545005948285,3.687272009517256,-3.2544385033235073,30.0,-97.63315509970522,-20.0,240.0,720.0,0.7562000000000001,756.2,690.3688945240153,447.70422809882393,125000.0,279.20218786142027,-558.4043757228405,-558.0,-568.8525668483788,10.0
4,06/04/1990,74.51,74.7,74.51,74.51,139,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74510,75.51,74.51,0.6982329199674782,5,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,-0.10999999999999943,0.012099999999999875,-1.0,0.08333333333333333,-12.0,0.0508925591771463,0.225593792417137,3.609500678674192,-3.3245595632933163,30.0,-99.7367868987995,-20.0,240.0,960.0,0.7551000000000001,755.1000000000001,698.2329199674782,452.8040485989096,125000.0,276.05760237078636,-552.1152047415727,-552.0,-558.4043757228405,6.0
5,09/04/1990,74.37,74.37,74.37,74.37,66,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74370,75.37,74.37,0.7026835778117423,6,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,-0.14000000000000057,0.01960000000000016,-1.0,0.08333333333333333,-12.0,0.04920106949189516,0.22181314093600307,3.549010254976049,-3.381224380283168,30.0,-101.43673140849504,-20.0,240.0,1200.0,0.7537,753.7,702.6835778117423,455.69030021091487,125000.0,274.3091084935188,-548.6182169870376,-549.0,-552.1152047415727,3.0
6,10/04/1990,74.7,74.71,74.7,74.71,134,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74710,75.71,74.71,0.7023410102911811,7,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.3399999999999892,0.11559999999999265,-1.0,0.08333333333333333,-12.0,0.052790200870711235,0.22976118225390302,3.6761789160624483,-3.264258969433726,30.0,-97.92776908301178,-20.0,247.19999999999686,1447.1999999999969,0.7571,757.1,702.3410102911811,455.4681451738309,125000.0,274.442903031766,-548.885806063532,-549.0,-548.6182169870376,-0.0
7,11/04/1990,74.79,74.79,74.79,74.79,105,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74790,75.82,74.79,0.7024354250148435,8,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.10999999999999943,0.012099999999999875,-1.029999999999987,0.08333333333333333,-12.359999999999843,0.050590730553375485,0.22492383278206754,3.5987813245130806,-3.434495982239812,30.0,-103.03487946719436,-20.0,247.19999999999686,1694.3999999999937,0.7582,758.1999999999999,702.4354250148434,455.52937312212595,125000.0,274.40601501341143,-548.8120300268229,-549.0,-548.885806063532,0.0
8,12/04/1990,74.76,74.96,74.76,74.79,105,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74790,75.82,74.79,0.6948417085926794,9,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.0,0.0,-1.029999999999987,0.08333333333333333,-12.359999999999843,0.04785609646940924,0.21876036311317743,3.500165809810839,-3.5312612806385366,30.0,-105.9378384191561,-20.0,240.0,1934.3999999999937,0.7582,758.1999999999999,694.8417085926793,450.6048480223525,125000.0,277.404915967081,-554.809831934162,-555.0,-548.8120300268229,-6.0
9,13/04/1990,74.76,74.96,74.76,74.9,408,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74900,75.9,74.9,0.6838611354884649,10,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.0800000000000125,0.006400000000002001,-1.0,0.08333333333333333,-12.0,0.04561522638998182,0.21357721411700692,3.4172354258721107,-3.511610557805653,30.0,-105.34831673416959,-20.0,240.0,2174.3999999999937,0.7590000000000001,759.0000000000001,683.8611354884649,443.48394636426946,125000.0,281.8591315982548,-563.7182631965096,-564.0,-554.809831934162,-9.0
