,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series
0,2/1/2023,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.575659622,8546,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,,0.0,0.0,68.285,68.285,0.0,0.0,0.0,,5.3,,,0.68285,682.8499999999999,0.84,573.5939999999999,371.97570899999994,125000.0,336.0434484715238,,0.0,,,,,
1,3/1/2023,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.559087202,8547,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.010910155963974377,-0.7449999999999903,0.5550249999999856,68.11944444444444,68.23984848484848,-0.12040404040403985,0.5550249999999856,0.7449999999999903,-0.16161616161616296,5.3,-0.8565656565656636,-0.8565656565656636,0.6754000000000001,675.4000000000001,0.83,560.582,363.537427,125000.0,343.8435514921549,-29.452457743974726,-29.0,0.0,-29.0,0.8565656565656636,-0.013253051689533795,-0.013253051689533795
2,4/1/2023,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.58967809,8548,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.015472312703582958,1.0449999999999875,1.0920249999999738,68.2229012345679,68.26076675849403,-0.037865523926129185,0.5840520270270119,0.7642329664618059,-0.04954709569967444,5.3,-0.2625996072082745,-0.2625996072082745,0.68585,685.8499999999999,0.86,589.8309999999999,382.50540349999994,125000.0,326.79276908567914,-8.581565280040369,-9.0,-29.0,20.0,0.2625996072082745,0.003177920448827977,-0.010075131240705817
3,5/1/2023,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.577218546,8549,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.01210177152438574,-0.8299999999999983,0.6888999999999972,68.1189231824417,68.23011422767621,-0.11119104523450574,0.5897194850255517,0.7679319533822979,-0.14479283580371052,5.3,-0.7674020297596658,-0.7674020297596658,0.67755,677.55,0.85,575.9174999999999,373.48249874999993,125000.0,334.6877040245785,-25.68400234040638,-26.0,-9.0,-17.0,0.7674020297596658,-0.014101033533330278,-0.024176164774036096
4,6/1/2023,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.633931187,8550,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.018375027673234623,1.2450000000000045,1.5500250000000113,68.31471803078799,68.27677397145342,0.03794405933456346,0.6416278912403873,0.8010167858668052,0.04736986790295913,5.3,0.25106029988568335,0.25106029988568335,0.6900000000000001,690.0000000000001,0.92,634.8000000000002,411.6678000000001,125000.0,303.64288875641955,7.623267470934188,8.0,-26.0,34.0,0.25106029988568335,0.0018920486368196353,-0.02228411613721646
5,9/1/2023,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.722215919,8551,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.007536231884057942,0.519999999999996,0.27039999999999587,68.58255846839066,68.35212100348656,0.23043746490409944,0.6215615187409067,0.7883917292443565,0.29228802935942133,5.3,1.549126555604933,1.549126555604933,0.6951999999999999,695.1999999999999,1.04,723.0079999999999,468.8706879999999,125000.0,266.59802627713,41.299408217776374,41.0,8.0,33.0,1.549126555604933,-0.009136103104114203,-0.03142021924133066
6,10/1/2023,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.749962666,8552,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.00589758342922897,-0.4099999999999966,0.1680999999999972,68.69976769763718,68.39805306388132,0.30171463375586427,0.5970500852954521,0.7726901612518773,0.390472985015158,5.3,2.069506820580337,2.069506820580337,0.6911,691.1,1.09,753.2990000000001,488.5144015,125000.0,255.87781980671045,52.95408933252137,53.0,41.0,12.0,2.069506820580337,0.0052403949298443185,-0.026179824311486345
7,11/1/2023,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.796573286,8553,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.0025321950513672586,0.17499999999999716,0.030624999999999004,68.82981932038447,68.4518074236461,0.37801189673837143,0.5664325131173195,0.752617109237705,0.5022632253487357,5.3,2.661995094348299,2.661995094348299,0.69285,692.8499999999999,1.15,796.7774999999998,516.7102087499999,125000.0,241.91509647621226,64.39768000684725,64.0,53.0,11.0,2.661995094348299,0.022860461588182657,-0.003319362723303687
8,12/1/2023,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.887695424,8554,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.008587717399148431,0.5949999999999989,0.35402499999999865,69.06319280474348,68.53836454948573,0.524828255257745,0.5549510259217887,0.7449503513132864,0.7045144073460947,5.3,3.7339263589343017,3.7339263589343017,0.6988,698.8,1.27,887.476,575.528186,125000.0,217.19179536412835,81.09781696543837,81.0,64.0,17.0,3.7339263589343017,0.0,-0.003319362723303687
9,13/01/2023,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.964829346,8555,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.0,0.0,0.0,69.24470551480047,68.61967578891084,0.6250297258896325,0.5249536731692596,0.7245368680538344,0.86266103693041,5.3,4.572103495731173,4.572103495731173,0.6988,698.8,1.38,964.3439999999998,625.3770839999999,125000.0,199.87940587858193,91.38693303421344,91.0,81.0,10.0,4.572103495731173,0.0032713963192132853,-4.7966404090401746e-05
10,16/01/2023,69.815,70.1,69.31,69.93,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69930,69.93,70.195,1.024203268,8556,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.0007155123068118829,0.05000000000001137,0.0025000000000011367,69.39699317817815,68.6990893774617,0.6979038007164462,0.4967129340790294,0.7047786419004405,0.9902453894382267,5.3,5.2483005640226015,5.2483005640226015,0.6993,699.3000000000001,1.46,1020.9780000000001,662.104233,125000.0,188.7920266475626,99.08372999373728,99.0,91.0,8.0,5.2483005640226015,0.008255585042792493,0.008207618638702091
11,17/01/2023,69.895,70.345,69.455,70.04,110563,127638,AD1 Curncy,Future,CME,USD,0.005,5,1000,70040,70.04,70.31,1.088285234,8557,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.0015730015730015534,0.10999999999999943,0.012099999999999875,69.53988358302745,68.78035668791858,0.7595268951088627,0.4705176403450278,0.6859428841711442,1.1072742536379445,5.3,5.868553544281106,5.868553544281106,0.7004,700.4,1.55,1085.62,704.0245699999999,125000.0,177.55062156424458,104.1965329470161,104.0,99.0,5.0,5.868553544281106,-0.037285927001786436,-0.029078308363084344
12,18/01/2023,70.035,70.785,69.5,69.595,115479,127334,AD1 Curncy,Future,CME,USD,0.005,5,1000,69595,69.595,69.865,1.118435365,8558,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.006353512278697959,-0.4450000000000074,0.19802500000000658,69.552131675688,68.82972900986292,0.7224026658250864,0.4557883084344861,0.675120958373006,1.070034424003109,5.3,5.671182447216477,5.671182447216477,0.69595,695.9499999999999,1.61,1120.4795,726.6309557499999,125000.0,172.02680261671472,97.5595383450686,98.0,104.0,-6.0,5.671182447216477,-0.022409299130463044,-0.05148760749354739
13,19/01/2023,69.56,69.62,68.86,69.32,86923,125927,AD1 Curncy,Future,CME,USD,0.005,5,1000,69320,69.32,69.595,1.118021877,8559,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.003951433292621709,-0.2750000000000057,0.07562500000000312,69.50054685886845,68.85944240320457,0.6411044556638785,0.43523894041100053,0.6597264133040306,0.9717732119487381,5.3,5.150398023328312,5.150398023328312,0.6931999999999999,693.1999999999999,1.61,1116.052,723.7597219999999,125000.0,172.70925170384103,88.95213885859746,89.0,98.0,-9.0,5.150398023328312,0.03863541506247559,-0.012852192431071802
14,20/01/2023,69.25,69.875,69.205,69.84,57149,126889,AD1 Curncy,Future,CME,USD,0.005,5,1000,69840,69.84,70.115,1.128697885,8560,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.007501442585112761,0.5200000000000102,0.27040000000001063,69.57598089023101,68.91887013634368,0.6571107538873235,0.4263287274158119,0.6529385326474552,1.0063899142587762,5.3,5.333866545571514,5.333866545571514,0.6984,698.4,1.62,1131.4080000000001,733.7180880000001,125000.0,170.36516074004706,90.87050314022505,91.0,89.0,2.0,5.333866545571514,0.03780446649567307,0.024952274064601265
15,23/01/2023,69.855,70.535,69.755,70.335,80791,127297,AD1 Curncy,Future,CME,USD,0.005,5,1000,70335,70.335,70.61,1.156741184,8561,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.007087628865979134,0.49499999999999034,0.24502499999999044,69.74465180351301,69.0046961886865,0.7399556148265134,0.4165285259338756,0.645390212146013,1.1465243830799001,5.3,6.07657923032347,6.07657923032347,0.7033499999999999,703.3499999999999,1.64,1153.4939999999997,748.0408589999997,125000.0,167.10317156619388,101.54156616603132,102.0,91.0,11.0,6.07657923032347,0.025918444147254187,0.05087071821185545
