Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1990-01-02,21.5,22.45,21.47,22.41,844,66925,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22410,22.89,22.41,0.6840350483479771,1,0.002,,1,,,,,,,,,,,,,,
1990-01-03,23.2,23.8,23.0,23.68,1566,66308,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23680,23.68,22.97,0.5594075813798567,2,0.002,,1,4.711111111111137,,2.1176470588235303,,0.8565656565656438,,0.3257918552036176,,0.11952078928823472,,0.042985932355577426,,2.1176470588235303,
1990-01-04,23.88,23.92,22.83,23.41,2500,61428,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23410,23.41,22.53,0.47621838201440586,3,0.002,,1,4.346646148501602,-0.05371621621621626,2.761086876456594,-0.02414546899841007,1.3233683148575903,-0.009766584766584574,0.5483047440392493,-0.003714687538216906,0.21002655411828103,-0.0013627792697560482,0.07719438273859351,-0.0004901267625002471,2.761086876456594,-0.02414546899841007
1990-01-05,22.5,22.68,21.95,22.03,413,61914,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22030,23.08,22.03,0.5393992759981847,4,0.002,,1,-1.6701700563122335,-0.2562311697963352,0.5750545782971966,-0.16276377144425874,0.6696405006242739,-0.07801145982500955,0.36322100161634485,-0.032322107935675505,0.1561731545462722,-0.012380890417908057,0.060600669526491714,-0.004550544561266936,0.5750545782971966,-0.16276377144425874
1990-01-08,21.5,21.77,21.03,21.03,38007,62494,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21030,21.62,21.03,0.4988397063502227,5,0.002,,1,-6.82519145395178,0.07581343877949309,-2.323101901147251,-0.02610324912833393,-0.5035600492841887,-0.030396754454120458,-0.0555285427324208,-0.01648756248825895,0.011602349472969122,-0.007089112780130374,0.010689796729696098,-0.0027508247628911346,-2.323101901147251,-0.02610324912833393
1990-01-09,20.93,21.37,20.9,21.23,1547,65994,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21230,22.07,21.23,0.4692199573984999,6,0.002,,1,-6.55701611553737,-0.06490909609083935,-3.500928404043273,-0.02209321827053964,-1.2532055602618732,-0.004788968609454942,-0.37358278278806434,-0.0005280888514733297,-0.1069829520584297,0.00011034093649994373,-0.03175256005148544,0.00010166235596477474,-3.500928404043273,-0.02209321827053964
1990-01-10,21.6,22.0,21.47,21.99,400,66114,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21990,22.9,21.99,0.4746220102687785,7,0.002,,1,-2.525286033328391,-0.23473067582705495,-2.6278267920201306,-0.12532763010234924,-1.2519407291373592,-0.04486275203952044,-0.4438521799032055,-0.01337366532825848,-0.14349783216489692,-0.0038298183497129613,-0.04637713679530088,-0.0011366907978864256,-2.6278267920201306,-0.12532763010234924
1990-01-11,21.82,22.2,21.63,22.17,858,68489,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22170,23.14,22.17,0.47809793095028663,8,0.002,,1,-0.36923373912459184,-0.020670827012238407,-1.7347002201291326,-0.02151017837942866,-1.1182763214657192,-0.010247809515449327,-0.45966178796349605,-0.0036331692761518482,-0.16159063433394505,-0.001174607084569447,-0.05483644699478227,-0.00037962185644176366,-1.7347002201291326,-0.02151017837942866
1990-01-12,22.2,22.4,21.96,22.13,1525,69547,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22130,23.13,22.13,0.4842237412384333,9,0.002,,1,0.10119151036205835,0.0006661862681544729,-1.2499249335536498,0.0031298154625696867,-1.0386560447026485,0.0020176388298886678,-0.48571894535839866,0.0008293401677285104,-0.18371223912267823,0.000291548280259731,-0.06500815901000692,9.893810914711041e-05,-1.2499249335536498,0.0031298154625696867
1990-01-15,22.0,22.0,21.45,21.49,575,73265,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21490,22.36,21.49,0.47373404708593486,10,0.002,,1,-2.5337743390155305,-0.002926460308708423,-2.1610654200536117,0.03614785167077888,-1.4608590936301638,0.030037951586520364,-0.6945035906558367,0.014047000679140326,-0.2732547646413985,0.005312961276028656,-0.09973811582127257,0.0018800371335926103,-2.1610654200536117,0.03614785167077888
1990-01-16,21.3,21.85,21.05,21.73,48780,72160,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21730,22.78,21.73,0.471993532515902,11,0.002,,1,-1.8598079974499422,-0.028297154088587073,-2.1213865335715294,-0.02413474643149718,-1.5895347599527125,-0.0163148526045251,-0.812698692281636,-0.007756205758836819,-0.33522852401880765,-0.0030517051425749927,-0.12582228662543032,-0.001113873792326932,-2.1213865335715294,-0.02413474643149718
1990-01-17,21.38,21.48,21.1,21.26,38424,73790,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21260,22.1,21.26,0.4431641611008366,12,0.002,,1,-3.5425546825307292,0.04022594380126409,-2.966907231443421,0.0458836479879712,-2.055695143312101,0.03438018118627572,-1.0616579953796752,0.017577928457080862,-0.4479146705320651,0.007250685977397094,-0.17098805256497215,0.0027214208335918995,-2.966907231443421,0.0458836479879712
1990-01-18,21.52,21.67,21.4,21.59,51899,73836,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21590,22.76,21.59,0.4435131873669809,13,0.002,,1,-2.0045490770930923,-0.05498791369873644,-2.645946905584294,-0.04605265222842548,-2.1242212264449325,-0.03190872047474088,-1.181263779084087,-0.01647916926036179,-0.5197771995686066,-0.006952579552002869,-0.20308162878305205,-0.0026540948892963606,-2.645946905584294,-0.04605265222842548
1990-01-19,21.84,22.23,21.71,22.08,41038,74101,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22080,23.67,22.08,0.45250763296847774,14,0.002,,1,1.0005753735070713,-0.04549462935505394,-1.3213780365254089,-0.06005159720872178,-1.7322662625085914,-0.048210671651598716,-1.1232839872103142,-0.026809599432663374,-0.5289258267988793,-0.011796703464039698,-0.2135599091975735,-0.004609078189147542,-1.3213780365254089,-0.06005159720872178
1990-01-22,22.2,22.31,21.55,21.77,38263,70958,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21770,22.55,21.77,0.44987600630910446,15,0.002,,1,0.18329990731058682,-0.014047933233115564,-1.2159605737653303,0.018551956128753447,-1.6973829789245067,0.024320767272539064,-1.178326005280026,0.015770744385652034,-0.5780063305356755,0.007426041952339328,-0.23865328898519844,0.0029983501744224495,-1.2159605737653303,0.018551956128753447
