,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series
0,02/01/1990,21.5,22.45,21.47,22.41,844,66925,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22410,22.89,22.41,0.6619748232876124,1,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,,0.0,0.0,22.41,22.41,0.0,0.0,0.0,,5.3,,,0.2241,224.1,2.95,661.095,661.095,125000.0,189.0802380898358,,0.0,,,,,
1,03/01/1990,23.2,23.8,23.0,23.68,1566,66308,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23680,23.68,22.97,0.6600005050503109,2,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.05667112896028548,1.2699999999999996,1.612899999999999,22.69222222222222,22.486969696969698,0.20525252525252213,1.612899999999999,1.2699999999999996,0.16161616161615922,5.3,0.8565656565656438,0.8565656565656438,0.2368,236.8,2.79,660.672,660.672,125000.0,189.2012980722658,16.206333410634244,16.0,0.0,16.0,0.8565656565656438,-0.009766584766584574,-0.009766584766584574
2,04/01/1990,23.88,23.92,22.83,23.41,2500,61428,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23410,23.41,22.53,0.5697958698808998,3,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.011402027027026973,-0.2699999999999996,0.07289999999999977,22.851728395061727,22.542910927456383,0.3088174676053441,1.5296567567567558,1.2367929320451163,0.24969213487879063,5.3,1.3233683148575903,1.3233683148575903,0.2341,234.1,2.43,568.863,568.863,125000.0,219.73656223027334,29.079240407127685,29.0,16.0,13.0,1.3233683148575903,-0.07801145982500955,-0.08777804459159412
3,05/01/1990,22.5,22.68,21.95,22.03,413,61914,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22030,23.08,22.03,0.4878695180749297,4,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.05894916702263986,-1.379999999999999,1.9043999999999972,22.66912208504801,22.511825416701452,0.1572966683465573,1.5499131482834174,1.244955078821488,0.12634726426873094,5.3,0.6696405006242739,0.6696405006242739,0.22030000000000002,220.3,2.21,486.863,486.863,125000.0,256.7457375072659,17.192734419751396,17.0,29.0,-12.0,0.6696405006242739,-0.030396754454120458,-0.11817479904571458
4,08/01/1990,21.5,21.77,21.03,21.03,38007,62494,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21030,21.62,21.03,0.4918512647809945,5,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.0453926463912846,-1.0,1.0,22.304872732815117,22.422017815689244,-0.11714508287412784,1.5201881132410704,1.2329590882268033,-0.09501133005362052,5.3,-0.5035600492841887,-0.5035600492841887,0.21030000000000001,210.3,2.34,492.102,492.102,125000.0,254.01237954732963,-12.791048636364737,-13.0,17.0,-30.0,0.5035600492841887,-0.004788968609454942,-0.12296376765516952
5,09/01/1990,20.93,21.37,20.9,21.23,1547,65994,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21230,22.07,21.23,0.4587326745138875,6,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.00951022349025199,0.1999999999999993,0.039999999999999716,22.066012125522867,22.349774311708078,-0.28376218618521065,1.4401779449577692,1.2000741414420066,-0.23645387929469305,5.3,-1.2532055602618732,-1.2532055602618732,0.21230000000000002,212.3,2.16,458.56800000000004,458.56800000000004,125000.0,272.58770782086845,-34.16084311001512,-34.0,-13.0,-21.0,1.2532055602618732,-0.04486275203952044,-0.16782651969468995
6,10/01/1990,21.6,22.0,21.47,21.99,400,66114,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21990,22.9,21.99,0.4365233861623733,7,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.035798398492698835,0.759999999999998,0.577599999999997,22.049120542073343,22.327969807968195,-0.27884926589485204,1.3935521100951869,1.1804880813016227,-0.2362152319127093,5.3,-1.2519407291373592,-1.2519407291373592,0.21989999999999998,219.89999999999998,1.99,437.60099999999994,437.60099999999994,125000.0,285.6483417542465,-35.761479325268894,-36.0,-34.0,-2.0,1.2519407291373592,-0.010247809515449327,-0.17807432921013927
7,11/01/1990,21.82,22.2,21.63,22.17,858,68489,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22170,23.14,22.17,0.4364103573472996,8,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.008185538881309906,0.18000000000000327,0.03240000000000118,22.075982643834823,22.31839588021255,-0.24241323637772538,1.3199763203603119,1.1489022240209616,-0.21099553235202248,5.3,-1.1182763214657192,-1.1182763214657192,0.2217,221.70000000000002,1.97,436.749,436.749,125000.0,286.2055780322336,-32.005692098485596,-32.0,-36.0,4.0,1.1182763214657192,0.0020176388298886678,-0.1760566903802506
8,12/01/1990,22.2,22.4,21.96,22.13,1525,69547,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22130,23.13,22.13,0.4451404272810972,9,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.0018042399639153217,-0.0400000000000027,0.001600000000000216,22.087986500760415,22.306977948078455,-0.21899144731803943,1.2487127354759706,1.1174581582663266,-0.19597283862314124,5.3,-1.0386560447026485,-1.0386560447026485,0.2213,221.29999999999998,2.01,444.81299999999993,444.81299999999993,125000.0,281.01696668038034,-29.187997110657978,-29.0,-32.0,3.0,1.0386560447026485,0.030037951586520364,-0.14601873879373023
9,15/01/1990,22.0,22.0,21.45,21.49,575,73265,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21490,22.36,21.49,0.4541475531146214,10,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.028920018075011322,-0.6400000000000006,0.40960000000000074,21.955100611702544,22.257464133043396,-0.3023635213408511,1.2033552903151075,1.096975519469376,-0.2756337912509743,5.3,-1.4608590936301638,-1.4608590936301638,0.21489999999999998,214.89999999999998,2.11,453.4389999999999,453.4389999999999,125000.0,275.671038441775,-40.27165433581375,-40.0,-29.0,-11.0,1.4608590936301638,-0.0163148526045251,-0.16233359139825532
10,16/01/1990,21.3,21.85,21.05,21.73,48780,72160,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21730,22.78,21.73,0.446610195435197,11,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.011167985109353351,0.240000000000002,0.057600000000000956,21.90507825354642,22.225496609828646,-0.32041835628222515,1.1414225719196964,1.0683737978440395,-0.2999122188590024,5.3,-1.5895347599527125,-1.5895347599527125,0.21730000000000002,217.3,2.06,447.63800000000003,447.63800000000003,125000.0,279.2434958604944,-44.38672431609673,-44.0,-40.0,-4.0,1.5895347599527125,0.03438018118627572,-0.1279534102119796
11,17/01/1990,21.38,21.48,21.1,21.26,38424,73790,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21260,22.1,21.26,0.4440938339285196,12,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.021629084215370353,-0.46999999999999886,0.22089999999999893,21.761727530536106,22.166981663778426,-0.4052541332423196,1.0916645950591721,1.0448275432142724,-0.3878670081720945,5.3,-2.055695143312101,-2.055695143312101,0.2126,212.60000000000002,2.09,444.334,444.334,125000.0,281.3199079971373,-57.83079685867223,-58.0,-44.0,-14.0,2.055695143312101,-0.03190872047474088,-0.15986213068672048
12,18/01/1990,21.52,21.67,21.4,21.59,51899,73836,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21590,22.76,21.59,0.420099194635424,13,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.015522107243649996,0.3299999999999983,0.10889999999999887,21.72356585708364,22.132013078094886,-0.4084472210112473,1.038542184515433,1.0190888992209821,-0.40079645781979856,5.3,-2.1242212264449325,-2.1242212264449325,0.2159,215.9,1.95,421.005,421.005,125000.0,296.9085877839931,-63.06995244845467,-63.0,-58.0,-5.0,2.1242212264449325,-0.048210671651598716,-0.2080728023383192
13,19/01/1990,21.84,22.23,21.71,22.08,41038,74101,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22080,23.67,22.08,0.4143275676724057,14,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.022695692450208416,0.48999999999999844,0.24009999999999848,21.802773444398387,22.128860770331563,-0.3260873259331767,0.9953831475145988,0.9976889031730276,-0.32684269103935687,5.3,-1.7322662625085914,-1.7322662625085914,0.2208,220.79999999999998,1.88,415.1039999999999,415.1039999999999,125000.0,301.1293555349985,-52.16362232442327,-52.0,-63.0,11.0,1.7322662625085914,0.024320767272539064,-0.18375203506578014
14,22/01/1990,22.2,22.31,21.55,21.77,38263,70958,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21770,22.55,21.77,0.4319529295343783,15,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.014039855072463747,-0.3099999999999987,0.09609999999999921,21.7954904567543,22.107111632735712,-0.31162117598141137,0.9467732476489448,0.9730227374778787,-0.3202609394197183,5.3,-1.6973829789245067,-1.6973829789245067,0.2177,217.70000000000002,1.98,431.04600000000005,431.04600000000005,125000.0,289.9922514070424,-49.222791155831004,-49.0,-52.0,3.0,1.6973829789245067,0.013254713202442096,-0.17049732186333805
15,23/01/1990,21.5,21.68,21.3,21.6,45839,69870,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21600,21.6,21.02,0.4315120701285944,16,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.0078089113458887915,-0.16999999999999815,0.02889999999999937,21.752048133031124,22.076377594388095,-0.32432946135697094,0.8971584775057585,0.9471845002457328,-0.3424142405970838,5.3,-1.814795475164544,-1.814795475164544,0.21600000000000003,216.00000000000003,2.0,432.00000000000006,432.00000000000006,125000.0,289.3518518518518,-52.511443147122215,-53.0,-49.0,-4.0,1.814795475164544,0.0008401830903540198,-0.16965713877298402
16,24/01/1990,21.35,21.9,21.25,21.59,51518,67197,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21590,21.59,20.92,0.432319326424344,17,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,-0.0004629629629629983,-0.010000000000001563,0.00010000000000003127,21.716037436801987,22.046900164425182,-0.33086272762319524,0.8486688300730147,0.9212322346037478,-0.35915235615426566,5.3,-1.903507487617608,-1.903507487617608,0.2159,215.9,2.0,431.8,431.8,125000.0,289.48587308939324,-55.10385269851806,-55.0,-53.0,-2.0,1.903507487617608,-0.057308006806458756,-0.22696514557944278
17,25/01/1990,21.85,22.3,21.66,22.24,45420,64646,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22240,22.24,21.41,0.4344440892297478,18,0.002,,1,1,1000,36,0.05405405405405406,0.2222222222222222,0.06060606060606061,0.030106530801296882,0.6499999999999986,0.42249999999999815,21.832473561957098,22.05860318476305,-0.22612962280595283,0.825632677096095,0.9086433167619157,-0.2488651142142321,5.3,-1.31898510533543,-1.31898510533543,0.2224,222.39999999999998,1.95,433.67999999999995,433.67999999999995,125000.0,288.23095369857964,-38.017233482505254,-38.0,-55.0,17.0,1.31898510533543,-0.018978202954466502,-0.24594334853390928
