,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series,price_diff,distance,net_exp_ret,stdev,stdev_yearly,raw_carry,cum_series_carry
0,03/01/2000,102.61,102.61,102.41,102.47,71828,185185,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102470,102.47,102.26,0.0771902411794016,1,0.011,,0.88354833,1.1318,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,,0.0,0.0,102.47,102.47,0.0,0.0,0.0,,30.0,-inf,-20.0,1.0247,1024.7,0.08,77.1902411794016,68.2013086863575,125000.0,1832.809405092898,-3665.618810185796,-3666.0,,,,52.79999999999973,,-0.20999999999999375,0.08333333333333333,-2.519999999999925,0.0,0.0,-inf,
1,04/01/2000,102.41,102.54,102.3,102.49,155647,198415,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102490,102.49,102.27,0.0766420250254442,2,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.00019517907680288715,0.01999999999999602,0.00039999999999984086,102.47235294117647,102.47061538461539,0.0017375565610819876,0.00039999999999984086,0.01999999999999602,0.08687782805411666,30.0,-247.50000000004798,-20.0,1.0249,1024.8999999999999,0.07,76.6420250254442,67.71693321904942,125000.0,1845.91938910837,-3691.83877821674,-3692.0,-3665.618810185796,-26.0,0.32579185520293746,83.99999999999864,0.0,-0.21999999999999886,0.08333333333333333,-2.6399999999999864,0.01999999999999602,0.31999999999993634,-8.250000000001599,83.99999999999864
2,05/01/2000,102.52,102.59,102.41,102.49,159782,201399,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102490,102.49,102.14,0.0751664818918699,3,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0,0.0,0.0,102.47442906574395,102.47121183431952,0.003217231424429201,0.00037837837837822785,0.019451950503181624,0.16539376983829876,30.0,-404.8437198476221,-20.0,1.0249,1024.8999999999999,0.07,75.1664818918699,66.4132195475369,125000.0,1882.1554029695574,-3764.3108059391147,-3764.0,-3691.83877821674,-72.0,0.6202266368936203,83.99999999999864,6.051581977691022e-05,-0.3499999999999943,0.08333333333333333,-4.199999999999932,0.019451950503181624,0.311231208050906,-13.494790661587402,167.99999999999727
3,06/01/2000,102.51,102.55,102.45,102.5,99644,200712,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102500,102.5,102.15,0.0768505042273684,4,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,9.757049468239742e-05,0.010000000000005116,0.00010000000000010231,102.47743741095054,102.47209762403277,0.005339786917772926,0.00036333089846589677,0.019061240737840147,0.2801384753077718,30.0,-413.1420461190922,-20.0,1.025,1025.0,0.07,76.8505042273684,67.9011346697493,125000.0,1840.9117993088396,-3681.823598617679,-3682.0,-3764.3108059391147,82.0,1.0505192824041443,83.99999999999864,0.0022127992276293053,-0.3499999999999943,0.08333333333333333,-4.199999999999932,0.019061240737840147,0.30497985180544235,-13.771401537303072,251.9999999999959
4,07/01/2000,102.55,102.73,102.5,102.71,118700,210852,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102710,102.71,102.36,0.0789050061783202,5,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.00204878048780488,0.20999999999999375,0.04409999999999737,102.50479771554458,102.47941769713945,0.025380018405130045,0.002727475174224355,0.05222523503273446,0.48597231566735893,30.0,-150.78917299393424,-20.0,1.0271,1027.1,0.08,78.9050061783202,69.7163864374945,125000.0,1792.9787584741075,-3585.957516948215,-3586.0,-3681.823598617679,96.0,1.822396183752596,84.00000000000205,0.0025676616916062815,-0.3499999999999943,0.08333333333333333,-4.199999999999932,0.05222523503273446,0.8356037605237514,-5.026305766464475,335.99999999999795
5,10/01/2000,102.73,102.78,102.67,102.73,101468,206693,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102730,102.73,102.38,0.078160092118679,6,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.00019472300652334518,0.020000000000010232,0.00040000000000040925,102.5312921019511,102.48712792184286,0.04416418010823975,0.002601665705347385,0.051006526105464044,0.8658535187619587,30.0,-154.39200826414617,-20.0,1.0273,1027.3000000000002,0.08,78.160092118679,69.058218864105,125000.0,1810.0669559112007,-3620.1339118224014,-3620.0,-3585.957516948215,-34.0,3.246950695357345,84.00000000000205,-0.0028054680485937377,-0.3500000000000085,0.08333333333333333,-4.200000000000102,0.051006526105464044,0.8161044176874247,-5.146400275471539,420.0
6,11/01/2000,102.74,102.74,102.53,102.56,150157,211514,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102560,102.56,102.21,0.0703491293478459,7,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.0016548233232746012,-0.1700000000000017,0.02890000000000058,102.53466950172155,102.4893701396323,0.04529936208925278,0.0040231972888421525,0.06342867875686953,0.7141779235681575,30.0,-124.15519532081225,-20.0,1.0256,1025.6000000000001,0.07,70.3491293478459,62.15685575224324,125000.0,2011.0412357125826,-4022.0824714251657,-4022.0,-3620.1339118224014,-402.0,2.6781672133805903,88.79999999999768,-0.002544336300019639,-0.3500000000000085,0.08333333333333333,-4.200000000000102,0.06342867875686953,1.0148588601099124,-4.138506510693742,508.7999999999977
7,12/01/2000,102.56,102.62,102.46,102.57,148268,233295,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102570,102.57,102.2,0.0712390342438739,8,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,9.750390015583754e-05,0.009999999999990905,9.99999999998181e-05,102.53882603093078,102.49185105841285,0.046974972517929814,0.0038111325705263506,0.06173437106285566,0.7609208891121872,30.0,-134.85194481893362,-20.0,1.0257,1025.7,0.07,71.2390342438739,62.9431297369876,125000.0,1985.9196789597452,-3971.8393579194903,-3972.0,-4022.0824714251657,50.0,2.8534533341707022,88.79999999999768,-0.0008751620770472434,-0.36999999999999034,0.08333333333333333,-4.439999999999884,0.06173437106285566,0.9877499370056906,-4.495064827297787,597.5999999999954
8,13/01/2000,102.55,102.66,102.52,102.63,111832,223795,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102630,102.63,102.26,0.0726567271489686,9,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0005849663644341696,0.060000000000002274,0.0036000000000002727,102.54955238023304,102.49610179507707,0.05345058515597145,0.003799719999146563,0.0616418688810338,0.8671149354528628,30.0,-135.05430888324756,-20.0,1.0263,1026.3,0.07,72.6567271489686,64.19572993573686,125000.0,1947.1700084278386,-3894.3400168556773,-3894.0,-3971.8393579194903,77.0,3.2516810079482354,95.99999999999795,-0.0018256680717704176,-0.36999999999999034,0.08333333333333333,-4.439999999999884,0.0616418688810338,0.9862699020965408,-4.501810296108252,693.5999999999933
9,14/01/2000,102.65,102.75,102.59,102.6,134146,222072,DU1 Comdty,Future,EUX,EUR,0.005,5,1000,102600,102.6,102.2,0.0758661101326947,10,0.011,,0.88354833,,0.88354833,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.00029231218941827564,-0.030000000000001137,0.0009000000000000682,102.55548739432328,102.49929866292085,0.05618873140242897,0.0036429783775710767,0.06035709053268785,0.9309383687405972,30.0,-149.11255530326864,-20.0,1.026,1026.0,0.07,75.8661101326947,67.03137491133847,125000.0,1864.7983897888992,-3729.5967795777988,-3730.0,-3894.3400168556773,165.0,3.4910188827772397,93.60000000000014,-0.0014854128200372683,-0.3999999999999915,0.08333333333333333,-4.799999999999898,0.06035709053268785,0.9657134485230056,-4.970418510108955,787.1999999999935
