,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,returns,sqreturns,price_diff,distance,net_exp_ret,variance,stdev,stdev_yearly,raw_carry,forecast_scalar,forecast,capped_forecast,forecast*returns,cum_series_carry,1%_move,block_value,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed
0,03/01/1994,110.8906,110.8906,110.4375,110.5,37388,201195,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110500,110.5,109.7813,0.45175185072291696,1,0.004,,1,1,1000,36,0.05405405405405406,0.0,0.0,-0.7186999999999983,0.08333333333333333,-8.62439999999998,,,,,30.0,,,,,1.105,1105.0,451.75185072291697,451.75185072291697,125000.0,276.70058196766314,,,,
1,04/01/1994,110.4063,110.7188,110.4063,110.7031,31244,202984,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110703,110.7031,109.9531,0.38947307626019795,2,0.004,,1,1,1000,36,0.05405405405405406,0.20310000000000628,0.04124961000000255,-0.75,0.08333333333333333,-9.0,0.04124961000000255,0.20310000000000628,3.2496000000001004,-2.7695716395863252,30.0,-83.08714918758976,-20.0,180.0,180.0,1.107031,1107.0310000000002,389.47307626019796,389.47307626019796,125000.0,320.9464469284403,-641.8928938568806,-642.0,,
2,05/01/1994,110.8125,110.8438,110.6094,110.6406,24200,203269,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110641,110.6406,109.8906,0.2935702431410561,3,0.004,,1,1,1000,36,0.05405405405405406,-0.0625,0.00390625,-0.75,0.08333333333333333,-9.0,0.03923105000000242,0.1980682963020645,3.169092740833032,-2.8399295116981174,30.0,-85.19788535094352,-20.0,180.0,360.0,1.106406,1106.406,293.5702431410561,293.5702431410561,125000.0,425.79247359188025,-851.5849471837606,-852.0,-641.8928938568806,-210.0
3,06/01/1994,110.6563,111.0625,110.6563,110.9375,41550,201882,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,110938,110.9375,110.1875,0.23395177972575107,4,0.004,,1,1,1000,36,0.05405405405405406,0.2968999999999937,0.08814960999999627,-0.75,0.08333333333333333,-9.0,0.04187529648648857,0.20463454372732032,3.274152699637125,-2.748802766895225,30.0,-82.46408300685675,-20.0,176.2560000000019,536.2560000000019,1.109375,1109.375,233.95177972575107,233.95177972575107,125000.0,534.298136763613,-1068.596273527226,-1069.0,-851.5849471837606,-217.0
4,07/01/1994,110.9844,111.875,110.9063,111.8438,66285,195911,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111844,111.8438,111.1094,0.33741199784458953,5,0.004,,1,1,1000,36,0.05405405405405406,0.9063000000000017,0.821379690000003,-0.7344000000000079,0.08333333333333333,-8.812800000000095,0.08401066910884071,0.2898459403007755,4.637535044812408,-1.9003198714062937,30.0,-57.00959614218881,-20.0,176.2559999999985,712.5120000000004,1.118438,1118.438,337.4119978445895,337.4119978445895,125000.0,370.4669685681256,-740.9339371362512,-741.0,-1068.596273527226,328.0
5,10/01/1994,111.875,111.9688,111.7188,111.9219,33120,190914,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111922,111.9219,111.1875,0.42018530260626663,6,0.004,,1,1,1000,36,0.05405405405405406,0.07809999999999206,0.006099609999998761,-0.7343999999999937,0.08333333333333333,-8.812799999999925,0.07979926050836277,0.2824876289474687,4.519802063159499,-1.949819898493402,30.0,-58.49459695480206,-20.0,176.2320000000011,888.7440000000015,1.119219,1119.219,420.18530260626665,420.18530260626665,125000.0,297.48779699020287,-594.9755939804057,-595.0,-740.9339371362512,146.0
6,11/01/1994,111.8438,112.0156,111.8125,111.9531,17091,191601,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111953,111.9531,111.2188,0.495070503511743,7,0.004,,1,1,1000,36,0.05405405405405406,0.03120000000001255,0.0009734400000007832,-0.7343000000000046,0.08333333333333333,-8.811600000000055,0.0755384053457486,0.27484251007758714,4.397480161241394,-2.003783911901167,30.0,-60.11351735703501,-20.0,176.2560000000019,1065.0000000000034,1.119531,1119.531,495.07050351174297,495.07050351174297,125000.0,252.4892901381167,-504.9785802762334,-505.0,-594.9755939804057,90.0
7,12/01/1994,112.0,112.2188,112.0,112.1563,43438,194015,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,112156,112.1563,111.4219,0.5172063249857481,8,0.004,,1,1,1000,36,0.05405405405405406,0.20319999999999538,0.041290239999998125,-0.7344000000000079,0.08333333333333333,-8.812800000000095,0.07368715316489723,0.2714537772161169,4.3432604354578705,-2.0290747310599717,30.0,-60.87224193179915,-20.0,176.2320000000011,1241.2320000000045,1.121563,1121.563,517.2063249857481,517.2063249857481,125000.0,241.6830459361541,-483.3660918723082,-483.0,-504.9785802762334,22.0
8,13/01/1994,112.125,112.125,111.625,111.6406,44525,194794,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111641,111.6406,110.9063,0.5565388126390495,9,0.004,,1,1,1000,36,0.05405405405405406,-0.5156999999999954,0.26594648999999526,-0.7343000000000046,0.08333333333333333,-8.811600000000055,0.0840795497505782,0.2899647388055627,4.639435820889004,-1.8992826585348876,30.0,-56.97847975604663,-20.0,176.2560000000019,1417.4880000000064,1.116406,1116.406,556.5388126390495,556.5388126390495,125000.0,224.60248442918638,-449.20496885837275,-449.0,-483.3660918723082,34.0
9,14/01/1994,111.6563,111.7188,111.25,111.4063,40151,193786,FV1 Comdty,Future,CBT,USD,0.008,7.813,1000,111406,111.4063,110.6719,0.5824964473349964,10,0.004,,1,1,1000,36,0.05405405405405406,-0.23430000000000462,0.054896490000002164,-0.7344000000000079,0.08333333333333333,-8.812800000000095,0.08250208706135788,0.28723176541141454,4.595708246582633,-1.9176152025214592,30.0,-57.528456075643774,-20.0,176.2559999999985,1593.744000000005,1.114063,1114.063,582.4964473349964,582.4964473349964,125000.0,214.59358348345756,-429.1871669669152,-429.0,-449.20496885837275,20.0
