Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,usdjpy,assetClass,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1990-04-02,62.97,63.36,62.89,63.3,32472,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79125,63.13,63.3,0.3265755332956967,1,0.002,,0.006938181,144.13,fx,,,,,,,,,,,,,,
1990-04-03,63.44,63.49,63.0,63.05,25915,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,78813,62.89,63.05,0.31607960356447196,2,0.002,,0.006938181,,fx,-4.711111111110943,,-2.117647058823522,,-0.8565656565656808,,-0.32579185520361875,,-0.11952078928824506,,-0.04298593235563516,,-2.117647058823522,
1990-04-04,63.34,63.64,63.21,63.24,38998,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79050,63.08,63.24,0.31304279176126093,3,0.002,,0.006938181,,fx,-1.6733369389952353,-0.014196845537051167,-1.5474566893821924,-0.006381489947287355,-0.8294037469361885,-0.002581244643100377,-0.35975989413349624,-0.0009817676841980547,-0.1407248812415699,-0.0003601736711303169,-0.052245278564822625,-0.00012953730606773435,-1.5474566893821924,-0.006381489947287355
1990-04-05,63.75,63.88,63.63,63.84,22722,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79800,63.68,63.84,0.3020352018521926,4,0.002,,0.006938181,,fx,9.616731238337806,-0.015876062039803043,3.5407079744932797,-0.014681752271178343,1.1458259060027018,-0.007869105758407886,0.36167198031594394,-0.003413281728021797,0.1167266973543596,-0.0013351506759162273,0.038867161284803387,-0.0004956857548844667,3.5407079744932797,-0.014681752271178343
1990-04-06,63.85,63.95,63.67,63.7,24536,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79625,63.55,63.7,0.2968585521759479,5,0.002,,0.006938181,,fx,8.878636904197517,-0.02108932289109228,5.012422416956181,-0.00776471047038022,2.1181128707321037,-0.002512776109655119,0.795344073240615,-0.0007931403077104259,0.2859181474989574,-0.0002559795994613222,0.10132512937626048,-8.52350028175537e-05,5.012422416956181,-0.00776471047038022
1990-04-09,64.05,64.17,63.4,63.46,33286,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79325,63.32,63.46,0.29740058046876416,6,0.002,,0.006938181,,fx,3.186155600269869,-0.03345169320262803,3.672033309534076,-0.018885108007370238,2.039766796521423,-0.007980331067122532,0.8749880571893478,-0.0029965867751608746,0.33654489981300945,-0.0010772426279395575,0.12343922494180844,-0.00038175872920412135,3.672033309534076,-0.018885108007370238
1990-04-10,63.5,63.65,63.28,63.65,26570,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79563,63.51,63.65,0.3008842232312515,7,0.002,,0.006938181,,fx,4.595623303116327,0.009539388024759985,4.319994687494375,0.010994111705191727,2.5827184804855032,0.006107086217129944,1.1808457139958484,0.002619724722123768,0.47187479558517126,0.0010076194605179816,0.17670491723862466,0.0003695785177898417,4.319994687494375,0.010994111705191727
1990-04-11,63.37,63.61,63.34,63.57,25422,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79463,63.43,63.57,0.34125889230750756,8,0.002,,0.006938181,,fx,2.929329472265337,-0.0057761172702169945,3.8947292387824297,-0.005429686959930167,2.7351343188748123,-0.0032461504860776644,1.3639821524738733,-0.001484173717512479,0.5706174909665431,-0.0005930869386773647,0.21879025700789434,-0.00022209573258586307,3.8947292387824297,-0.005429686959930167
1990-04-12,63.41,63.54,63.41,63.57,25422,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79463,63.43,63.57,0.3620860613023826,9,0.002,,0.006938181,,fx,2.090193690249604,0.0,3.5244642397692023,0.0,2.8392574755406437,0.0,1.531843252245286,0.0,0.6685742892131245,0.0,0.26205074065880724,0.0,3.5244642397692023,0.0
1990-04-13,63.41,63.54,63.41,63.53,11891,,JY1 Curncy,Future,CME,USD,0.005,6.25,1250,79413,63.4,63.53,0.6080293881401653,10,0.002,,0.006938181,,fx,0.8188702912364391,-0.0013152076075188823,2.8458071037020485,-0.0022176902562647985,2.759103592431095,-0.0017865392326822996,1.6290059121001248,-0.0009638780885607203,0.7446700370692076,-0.00042068541086239046,0.29885095578056625,-0.00016488956467439336,2.8458071037020485,-0.0022176902562647985
