,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series,price_diff,distance,net_exp_ret,stdev,stdev_yearly,raw_carry,cum_series_carry
0,02/01/2023,164.07,164.94,164.07,164.47,122958.0,1582558.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,164470.0,164.47,161.25,1.2659087644774858,4436.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,,0.0,0.0,164.47,164.47,0.0,0.0,0.0,,30.0,-inf,-20.0,1.6447,1644.7,0.77,1265.9087644774859,1431.4896308711411,125000.0,87.32162448423084,-174.64324896846168,-175.0,,,,780.0,,-3.219999999999999,0.08333333333333333,-38.639999999999986,0.0,0.0,-inf,
1,03/01/2023,164.39,164.52,162.99,163.21,833312.0,1597333.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163210.0,163.21,159.96,1.2579364053802196,4437.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.007660971605763955,-1.259999999999991,1.587599999999977,164.32176470588234,164.43123076923078,-0.10946606334843523,1.587599999999977,1.259999999999991,-0.0868778280543143,30.0,-58.035714285714704,-20.0,1.6321,1632.1000000000001,0.77,1257.9364053802196,1422.4744872039523,125000.0,87.8750382691944,-175.7500765383888,-176.0,-174.64324896846168,-1.0,0.3257918552036786,775.1999999999975,3.992302618760607e-05,-3.25,0.08333333333333333,-39.0,1.259999999999991,20.159999999999854,-1.9345238095238235,775.1999999999975
2,04/01/2023,163.46,163.62,163.1,163.19,655358.0,1622321.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163190.0,163.19,159.96,1.2259216940656943,4438.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.00012254151093693544,-0.020000000000010232,0.00040000000000040925,164.188615916955,164.39303905325445,-0.20442313629945374,1.5018054054053835,1.225481703415185,-0.16681043521887373,30.0,-59.30321097203519,-20.0,1.6319,1631.8999999999999,0.75,1225.9216940656943,1386.272251649487,125000.0,90.16987813992955,-180.3397562798591,-180.0,-175.7500765383888,-5.0,0.6255391320707765,780.0,-0.001301695309646525,-3.2299999999999898,0.08333333333333333,-38.75999999999988,1.225481703415185,19.60770725464296,-1.9767736990678395,1555.1999999999975
3,05/01/2023,163.51,163.74,162.81,163.54,1019510.0,1645574.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163540.0,163.54,160.29,1.1354981285677626,4439.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.00214473926098413,0.3499999999999943,0.12249999999999601,164.11230816201913,164.3667916977697,-0.25448353575058036,1.427248356464552,1.1946750003513724,-0.21301486653335241,30.0,-61.20911543180598,-20.0,1.6354,1635.3999999999999,0.69,1135.4981285677625,1284.0212837844258,125000.0,97.350411226506,-194.700822453012,-195.0,-180.3397562798591,-14.0,0.7988057495000715,772.7999999999997,0.0021174316602082174,-3.25,0.08333333333333333,-39.0,1.1946750003513724,19.11480000562196,-2.040303847726866,2327.9999999999973
4,06/01/2023,163.64,163.67,162.67,162.84,636677.0,1662473.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,162840.0,162.84,159.62,1.075610214396562,4440.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.0042802983979454146,-0.6999999999999886,0.48999999999998406,163.9626248488404,164.31981349168447,-0.35718864284407914,1.3765862831421427,1.173280138390718,-0.30443594087768533,30.0,-61.74995862401035,-20.0,1.6284,1628.4,0.66,1075.610214396562,1216.3000304396323,125000.0,102.77069544659855,-205.5413908931971,-206.0,-194.700822453012,-11.0,1.14163477829132,765.5999999999995,0.0013462462904461942,-3.219999999999999,0.08333333333333333,-38.639999999999986,1.173280138390718,18.77248221425149,-2.058331954133678,3093.5999999999967
5,09/01/2023,162.7,163.33,162.47,162.95,599720.0,1691151.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,162950.0,162.95,159.76,1.0557821744947593,4441.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0006755097027757451,0.10999999999998522,0.012099999999996749,163.8434925136827,164.27766538424802,-0.4341728705653338,1.3028302678371617,1.141415904846766,-0.380380953797574,30.0,-62.88242497342428,-20.0,1.6295,1629.5,0.65,1055.7821744947594,1193.8784829186739,125000.0,104.70077297516292,-209.4015459503258,-209.0,-205.5413908931971,-4.0,1.4264285767409024,765.5999999999995,-0.00014189644073498721,-3.1899999999999977,0.08333333333333333,-38.27999999999997,1.141415904846766,18.262654477548256,-2.096080832447476,3859.199999999996
6,10/01/2023,163.14,163.36,162.92,163.12,617957.0,1688904.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163120.0,163.12,159.93,1.0048797606252258,4442.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.001043264805155042,0.17000000000001592,0.02890000000000541,163.75837574736707,164.24204491088653,-0.48366916351946543,1.2339691722783965,1.110841650406752,-0.43540783994042936,30.0,-64.61316963918162,-20.0,1.6312,1631.2,0.62,1004.8797606252258,1136.3180333150053,125000.0,110.00441455226648,-220.00882910453296,-220.0,-209.4015459503258,-11.0,1.63277939977661,760.799999999997,-0.0037453821194962014,-3.1899999999999977,0.08333333333333333,-38.27999999999997,1.110841650406752,17.77346640650803,-2.153772321306054,4619.999999999993
7,11/01/2023,163.16,163.98,163.04,163.48,906802.0,1701820.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163480.0,163.48,160.31,0.9783544006719682,4443.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.002206964198136152,0.3599999999999852,0.12959999999998936,163.7256256594415,164.21859737516695,-0.49297171572544585,1.1742735413444285,1.0836390272338978,-0.454922444961961,30.0,-65.8198885491087,-20.0,1.6348,1634.8,0.6,978.3544006719682,1106.3231562798617,125000.0,112.9868784635466,-225.9737569270932,-226.0,-220.00882910453296,-6.0,1.7059591686073536,755.9999999999945,-0.008023845901787601,-3.1699999999999875,0.08333333333333333,-38.03999999999985,1.0836390272338978,17.338224435742365,-2.19399628497029,5375.999999999987
8,12/01/2023,163.86,164.19,163.52,163.89,821923.0,1700349.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163890.0,163.89,160.74,0.9101496213888124,4444.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0025079520430633107,0.4099999999999966,0.1680999999999972,163.74496381715426,164.20848668670027,-0.4635228695460114,1.1198857823528376,1.0582465602839621,-0.43801027751191846,30.0,-66.97399515381503,-20.0,1.6388999999999998,1638.8999999999999,0.56,910.1496213888124,1029.1971918664692,125000.0,121.45388754249325,-242.9077750849865,-243.0,-225.9737569270932,-17.0,1.6425385406696942,753.5999999999967,-0.0032131893667857927,-3.1499999999999773,0.08333333333333333,-37.79999999999973,1.0582465602839621,16.931944964543394,-2.2324665051271673,6129.599999999984
9,13/01/2023,163.52,164.04,163.14,163.41,746655.0,1704686.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163410.0,163.41,160.27,0.8728854449358526,4445.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.002928793703093513,-0.47999999999998977,0.23039999999999017,163.70555630925375,164.18391786557103,-0.4783615563172816,1.0718054697932242,1.0352803822120964,-0.4620599062209221,30.0,-68.24238265680353,-20.0,1.6341,1634.1000000000001,0.53,872.8854449358527,987.0588611334622,125000.0,126.63885095612196,-253.2777019122439,-253.0,-242.9077750849865,-10.0,1.7327246483284577,756.0000000000014,-0.005015791350849623,-3.1399999999999864,0.08333333333333333,-37.679999999999836,1.0352803822120964,16.564486115393542,-2.2747460885601174,6885.599999999986
