,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series
0,02/01/2023,164.07,164.94,164.07,164.47,122958.0,1582558.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,164470.0,164.47,161.25,1.2659087644774858,4436.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,,0.0,0.0,164.47,164.47,0.0,0.0,0.0,,10.6,,,1.6447,1644.7,0.77,1266.419,1432.0666052000001,125000.0,87.28644292528747,,0.0,,,,,
1,03/01/2023,164.39,164.52,162.99,163.21,833312.0,1597333.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163210.0,163.21,159.96,1.2579364053802196,4437.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.007660971605763955,-1.259999999999991,1.587599999999977,163.63,164.19,-0.5600000000000023,1.587599999999977,1.259999999999991,-0.44444444444444947,10.6,-4.7111111111111645,-4.7111111111111645,1.6321,1632.1000000000001,0.77,1256.717,1421.0955836,125000.0,87.96030431911053,-41.4390767014481,-41.0,0.0,-41.0,4.7111111111111645,0.0005773066737473468,0.0005773066737473468
2,04/01/2023,163.46,163.62,163.1,163.19,655358.0,1622321.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163190.0,163.19,159.96,1.2259216940656943,4438.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.00012254151093693544,-0.020000000000010232,0.00040000000000040925,163.33666666666664,163.96777777777777,-0.6311111111111245,1.5018054054053835,1.225481703415185,-0.5149902355558125,10.6,-5.458896496891612,-5.458896496891612,1.6319,1631.8999999999999,0.75,1223.925,1384.01439,125000.0,90.31698001348093,-49.30310458054207,-49.0,-41.0,-8.0,5.458896496891612,-0.01170790963853217,-0.011130602964784823
3,05/01/2023,163.51,163.74,162.81,163.54,1019510.0,1645574.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163540.0,163.54,160.29,1.1354981285677626,4439.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.00214473926098413,0.3499999999999943,0.12249999999999601,163.47222222222223,163.8727160493827,-0.4004938271604601,1.427248356464552,1.1946750003513724,-0.33523244986516726,10.6,-3.5534639685707727,-3.5534639685707727,1.6354,1635.3999999999999,0.69,1128.426,1276.0241208,125000.0,97.96053065331678,-34.80992160186339,-35.0,-49.0,14.0,3.5534639685707727,0.015209886131830233,0.00407928316704541
4,06/01/2023,163.64,163.67,162.67,162.84,636677.0,1662473.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,162840.0,162.84,159.62,1.075610214396562,4440.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.0042802983979454146,-0.6999999999999886,0.48999999999998406,163.05074074074076,163.6432235939643,-0.5924828532235438,1.3765862831421427,1.173280138390718,-0.5049798712489915,10.6,-5.352786635239309,-5.352786635239309,1.6284,1628.4,0.66,1074.7440000000001,1215.3205152000003,125000.0,102.85352582847601,-55.05529784419075,-55.0,-35.0,-20.0,5.352786635239309,-0.0036158593089924865,0.00046342385805292355
5,09/01/2023,162.7,163.33,162.47,162.95,599720.0,1691151.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,162950.0,162.95,159.76,1.0557821744947593,4441.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.0006755097027757451,0.10999999999998522,0.012099999999996749,162.9835802469136,163.48917390641668,-0.5055936595030914,1.3028302678371617,1.141415904846766,-0.44295305274457947,10.6,-4.695302359092542,-4.695302359092542,1.6295,1629.5,0.65,1059.175,1197.71509,125000.0,104.36538793211665,-49.00270521652756,-49.0,-55.0,6.0,4.695302359092542,-0.00489844370080269,-0.004435019842749766
6,10/01/2023,163.14,163.36,162.92,163.12,617957.0,1688904.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163120.0,163.12,159.93,1.0048797606252258,4442.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.001043264805155042,0.17000000000001592,0.02890000000000541,163.0745267489712,163.4071352605463,-0.33260851157510274,1.2339691722783965,1.110841650406752,-0.2994202742157831,10.6,-3.1738549066873007,-3.1738549066873007,1.6312,1631.2,0.62,1011.344,1143.6277952,125000.0,109.3012958627328,-34.69064541812149,-35.0,-49.0,14.0,3.1738549066873007,-0.0070045841491376305,-0.011439603991887396
7,11/01/2023,163.16,163.98,163.04,163.48,906802.0,1701820.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163480.0,163.48,160.31,0.9783544006719682,4443.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.002206964198136152,0.3599999999999852,0.12959999999998936,163.34484224965706,163.42332742486934,-0.07848517521227905,1.1742735413444285,1.0836390272338978,-0.07242741654720639,10.6,-0.7677306154003877,-0.7677306154003877,1.6348,1634.8,0.6,980.8799999999999,1109.1791039999998,125000.0,112.69595645032997,-8.652013599874712,-9.0,-35.0,26.0,0.7677306154003877,-0.001925431565415655,-0.013365035557303052
8,12/01/2023,163.86,164.19,163.52,163.89,821923.0,1700349.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163890.0,163.89,160.74,0.9101496213888124,4444.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.0025079520430633107,0.4099999999999966,0.1680999999999972,163.7082807498857,163.52703244156504,0.1812483083206473,1.1198857823528376,1.0582465602839621,0.17127228674573955,10.6,1.8154862395048392,1.8154862395048392,1.6388999999999998,1638.8999999999999,0.56,917.784,1037.8301472,125000.0,120.44360085052654,21.866369998054427,22.0,-9.0,31.0,1.8154862395048392,-0.005317184666314694,-0.018682220223617745
9,13/01/2023,163.52,164.04,163.14,163.41,746655.0,1704686.0,RX1 Comdty,Future,EUX,EUR,0.01,10.0,1000.0,163410.0,163.41,160.27,0.8728854449358526,4445.0,0.002,,1.1308,,1.1308,1000.0,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.002928793703093513,-0.47999999999998977,0.23039999999999017,163.50942691662857,163.50102523232835,0.008401684300224588,1.0718054697932242,1.0352803822120964,0.008115370912633934,10.6,0.0860229316739197,0.0860229316739197,1.6341,1634.1000000000001,0.53,866.0730000000001,979.3553484000001,125000.0,127.63497968762405,1.0979535136870613,1.0,22.0,-21.0,0.0860229316739197,8.949206526263982e-05,-0.018592728158355106
