Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days.1,Standard Cost,Instrument_Weights,Exchange rate,assetClass,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1985-01-02,79.875,79.875,79.2188,79.25,6326,33660,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79250,79.25,78.625,1.0236323456459562,1,,0.002,,1,rates,,,,,,,,,,,,,,
1985-01-03,79.0313,79.875,79.0313,79.7188,8071,33102,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79719,79.7188,79.0625,1.0018456654962864,2,,0.002,,1,rates,4.71111111111111,,2.1176470588238074,,0.8565656565655835,,0.32579185520354903,,0.11952078928828448,,0.04298593235551855,,4.71111111111111,
1985-01-04,79.9375,80.0,79.3125,79.5313,5964,32533,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79531,79.5313,78.8438,0.9266910222029742,3,,0.002,,1,rates,3.4290814429899332,-0.011080615028491909,2.346013641417432,-0.004980742604372711,1.1548034027112053,-0.0020146572779074483,0.4840452989818991,-0.0007662680929801499,0.1864232959709925,-0.00028111496901049105,0.06870001982720408,-0.00010110365831723254,3.4290814429899332,-0.011080615028491909
1985-01-07,80.1563,80.5938,80.0625,80.5313,6075,32395,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80531,80.5313,79.8438,0.91113534663888,4,,0.002,,1,rates,11.708748248344863,0.04311612463256496,6.3381604463932595,0.029497991877630803,2.9282462296523035,0.014520112241484782,1.2053446120149085,0.006086223901556951,0.4616471207500616,0.00234402425172217,0.16980405884617594,0.0008638111011287844,11.708748248344863,0.04311612463256496
1985-01-08,80.5938,80.7813,80.2813,80.6875,7296,30933,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80688,80.6875,80.0,0.9009570778227801,5,,0.002,,1,rates,14.010143419169214,0.022710504814791258,9.147695495836563,0.012293613312172907,4.640193156790354,0.005679680584712686,2.0053165977996334,0.00233790871868108,0.7876293756407895,0.0008954192998394031,0.29345716971641905,0.00032935509537001997,14.010143419169214,0.022710504814791258
1985-01-09,80.6563,80.9375,80.5625,80.625,5860,30748,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80625,80.625,79.9375,0.8887283571130484,6,,0.002,,1,rates,12.181775667900528,-0.01085216376387992,10.122300343101593,-0.007085743993676537,5.821951178759185,-0.0035942627085904537,2.6869338244683734,-0.001553304878233617,1.0917254252642599,-0.0006100924675761241,0.41383446492983283,-0.0002273099687966027,12.181775667900528,-0.01085216376387992
1985-01-10,80.5938,80.625,80.3125,80.5938,5547,31275,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80594,80.5938,79.875,0.8774080683437743,7,,0.002,,1,rates,9.760513905320861,-0.004714063886368064,10.166621123061896,-0.003917094830446021,6.638148829972438,-0.0022529597119659225,3.2808267978958083,-0.0010397809032359384,1.3816376026181543,-0.0004224723506138111,0.5334255914821299,-0.00016014431387049131,9.760513905320861,-0.004714063886368064
1985-01-11,80.5625,80.6563,79.9688,80.0313,8649,30507,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80031,80.0313,79.3125,0.8199981049240084,8,,0.002,,1,rates,1.8617429986246958,-0.06812297064715869,6.906112672664254,-0.07095737366549672,5.91235335272152,-0.04633059511847675,3.275928827207683,-0.022898350416736647,1.4567930292534674,-0.009643063752704437,0.5777170263735323,-0.003723014614135302,1.8617429986246958,-0.06812297064715869
1985-01-14,79.8438,80.0938,79.6875,79.9063,5226,31521,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79906,79.9063,79.2188,0.7452908633723714,9,,0.002,,1,rates,-1.727971129607005,-0.002907835744615918,4.472358931092085,-0.010786580801299062,5.269037198848501,-0.009234439139313839,3.2919326053065143,-0.005116636908321469,1.5484569247214994,-0.002275348877959972,0.6311910424888532,-0.00090232981716765,-1.727971129607005,-0.002907835744615918
1985-01-15,80.4375,80.5625,80.1875,80.3125,9479,31780,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80313,80.3125,79.5938,0.7007600553947559,10,,0.002,,1,rates,1.7753351171247536,-0.008784061742896003,4.784651820813623,0.02273503087753555,5.4065151363122395,0.026784908200883757,3.5300120865630586,0.016734387955336643,1.7125359892616774,0.007871509540823163,0.7102004487200126,0.003208630626858885,1.7753351171247536,-0.008784061742896003
