signal,target,n_obs,avg_target,median_target,hit_rate_up,hit_rate_down,std_target,t_stat
Curve Long,target_curve_fwd_5d,33,-2.9629848484848487,-2.0185000000000173,0.18181818181818182,0.8181818181818182,3.7048336026332875,-4.594282472164508
Curve Long,target_brent_fwd_5d,33,-0.019444222379176052,-0.0122142943524004,0.36363636363636365,0.6363636363636364,0.04505593411855602,-2.4791085959172503
Tanker Long,target_tanker_fwd_5d,11,-0.014590704172133146,-0.0208356755123031,0.36363636363636365,0.6363636363636364,0.08205803911684348,-0.5897276084934583
Tanker Long,target_bdti_fwd_5d,11,-0.3049090992320664,-0.5699996948242188,0.36363636363636365,0.6363636363636364,1.7253704319799346,-0.5861170787293095
Tanker Long,target_brent_fwd_5d,11,-0.006854086983423591,-0.0054711246200608,0.36363636363636365,0.6363636363636364,0.03305441140298741,-0.687727714383697
Premium Fade,target_brent_fwd_5d,156,0.011868398370705503,0.01188414955231475,0.6025641025641025,0.3974358974358974,0.04143699608173304,3.5773888591274927
Premium Fade,target_curve_fwd_5d,156,1.007778846153846,1.012750000000004,0.6410256410256411,0.358974358974359,2.8222550627973213,4.459963211702801
Escalation,target_brent_fwd_5d,39,-0.02252929596638881,-0.0122142943524004,0.358974358974359,0.6410256410256411,0.05060463347082125,-2.7802870718656334
Escalation,target_curve_fwd_5d,39,-3.2519102564102558,-2.1469999999999985,0.15384615384615385,0.8461538461538461,3.902393920928863,-5.204029489011565
Escalation,target_tanker_fwd_5d,39,0.01149597790763698,0.0096569764085179,0.5641025641025641,0.4358974358974359,0.10552472607141139,0.6803368432744507
