date,high,low,close
2025-07-02,150,145,148
2025-07-03,145,140,142
2025-07-04,148,143,146
2025-07-05,152,147,150
2025-07-06,155,150,153
2025-07-07,158,153,156
2025-07-08,160,155,158
2025-07-09,162,157,160
2025-07-10,165,160,163
2025-07-11,168,162,165
2025-07-12,170,165,168
2025-07-13,172,167,170
2025-07-14,174,169,172
2025-07-15,176,171,174
2025-07-16,178,173,176
2025-07-17,175,170,173
2025-07-18,173,168,171
2025-07-19,170,165,168
2025-07-20,168,163,166
2025-07-21,166,161,164
2025-07-22,165,160,163
2025-07-23,163,158,161
2025-07-24,160,155,158
2025-07-25,158,153,156
2025-07-26,155,150,153
2025-07-27,152,148,150
2025-07-28,150,146,148
2025-07-29,148,144,146
2025-07-30,146,142,144
2025-07-31,144,140,142
2025-08-01,142,138,140
2025-08-02,140,136,138
2025-08-03,138,134,136
2025-08-04,136,132,134
2025-08-05,134,130,132
2025-08-06,132,128,130
2025-08-07,130,126,128
2025-08-08,128,124,126
2025-08-09,126,122,124
2025-08-10,124,120,122
