Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
01/06/2012,132.59,135.78,132.43,133.89,40401,46829,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,133890,133.89,132.24,1.8243629024950065,1,0.006,,1.1308
04/06/2012,133.79,133.85,133.02,133.39,10170,41643,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,133390,133.39,131.76,1.5962064402827123,2,0.006,,1.1308
05/06/2012,133.28,133.4,132.92,133.01,16270,32126,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,133010,133.01,131.36,1.3652627341773225,3,0.006,,1.1308
06/06/2012,131.2,131.46,130.38,130.61,33143,39928,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,130610,132.28,130.61,1.1585011868789785,4,0.006,,1.1308
07/06/2012,130.45,130.56,128.47,129.08,37652,41044,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,129080,131.06,129.08,1.258411962223288,5,0.006,,1.1308
08/06/2012,130.45,130.56,128.47,129.3,37652,41044,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,129300,129.45,129.3,1.4616226143114626,6,0.006,,1.1308
11/06/2012,130.45,130.56,128.47,128.87,37652,41767,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,128870,129.08,128.87,1.6315202521983447,7,0.006,,1.1308
12/06/2012,130.45,130.56,128.47,127.39,37652,42559,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,127390,127.65,127.39,1.8552666475020148,8,0.006,,1.1308
13/06/2012,130.45,130.56,128.47,127.2,37652,44642,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,127200,127.54,127.2,2.0465432644665444,9,0.006,,1.1308
14/06/2012,130.45,130.56,128.47,127.59,37652,44837,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,127590,127.95,127.59,2.1561056714982088,10,0.006,,1.1308
15/06/2012,130.45,130.56,128.47,128.61,37652,46268,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,128610,128.93,128.61,2.2808212702153527,11,0.006,,1.1308
18/06/2012,130.45,130.56,128.47,128.33,37652,45309,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,128330,128.65,128.33,2.4033847659776577,12,0.006,,1.1308
19/06/2012,130.45,130.56,128.47,127.92,37652,49437,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,127920,128.22,127.92,2.437777129545175,13,0.006,,1.1308
20/06/2012,130.45,130.56,128.47,127.7,37652,50884,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,127700,128.03,127.7,2.4048327731189283,14,0.006,,1.1308
21/06/2012,130.45,130.56,128.47,127.96,37652,50140,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,127960,128.29,127.96,2.3363902356698834,15,0.006,,1.1308
