Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
10/07/2017,1414,1419.3,1403.7,1408.7,2658,712,Future,CME,USD,0.1,5,50,70435,RTY1 Index,19.795035572924217,1,0.0005,,1
11/07/2017,1408.6,1414.1,1400,1413.1,5843,1793,Future,CME,USD,0.1,5,50,70655,RTY1 Index,20.39750556644942,2,0.0005,,1
12/07/2017,1413.5,1432.8,1411.6,1422.6,5998,1213,Future,CME,USD,0.1,5,50,71130,RTY1 Index,21.745363490485392,3,0.0005,,1
13/07/2017,1422.8,1426,1413.8,1425.8,4203,1525,Future,CME,USD,0.1,5,50,71290,RTY1 Index,22.871980675053095,4,0.0005,,1
14/07/2017,1425.7,1433.3,1420.8,1428.6,4915,1740,Future,CME,USD,0.1,5,50,71430,RTY1 Index,25.95140522849073,5,0.0005,,1
17/07/2017,1429.1,1434.6,1422.4,1430.9,5151,2112,Future,CME,USD,0.1,5,50,71545,RTY1 Index,28.12722169002839,6,0.0005,,1
18/07/2017,1428.9,1431.8,1420.3,1426.8,5815,2687,Future,CME,USD,0.1,5,50,71340,RTY1 Index,29.916607985086433,7,0.0005,,1
19/07/2017,1426.7,1443,1425.1,1442.2,8112,3047,Future,CME,USD,0.1,5,50,72110,RTY1 Index,30.551608250085152,8,0.0005,,1
20/07/2017,1440.7,1445.5,1438.5,1441.9,8966,2793,Future,CME,USD,0.1,5,50,72095,RTY1 Index,30.521726141662953,9,0.0005,,1
21/07/2017,1442.1,1444.5,1432.3,1435.4,8294,2764,Future,CME,USD,0.1,5,50,71770,RTY1 Index,29.944722963042064,10,0.0005,,1
24/07/2017,1434.9,1438,1427.9,1436.4,7007,2688,Future,CME,USD,0.1,5,50,71820,RTY1 Index,29.396517367425325,11,0.0005,,1
25/07/2017,1435.5,1452.3,1435.5,1450.1,10881,2915,Future,CME,USD,0.1,5,50,72505,RTY1 Index,28.419402409856175,12,0.0005,,1
26/07/2017,1450.7,1452.2,1439.8,1441.3,10838,2787,Future,CME,USD,0.1,5,50,72065,RTY1 Index,26.138469095696355,13,0.0005,,1
27/07/2017,1443.1,1447,1424.7,1431.2,23019,4085,Future,CME,USD,0.1,5,50,71560,RTY1 Index,24.11492069238478,14,0.0005,,1
28/07/2017,1431.7,1432.9,1424.1,1430,12890,5191,Future,CME,USD,0.1,5,50,71500,RTY1 Index,22.824247340639175,15,0.0005,,1
31/07/2017,1429.4,1433.4,1419.1,1424.7,11694,5722,Future,CME,USD,0.1,5,50,71235,RTY1 Index,21.750392333626415,16,0.0005,,1
01/08/2017,1428.9,1432.1,1419.1,1428,9124,5427,Future,CME,USD,0.1,5,50,71400,RTY1 Index,20.626319755755635,17,0.0005,,1
02/08/2017,1427.4,1429.3,1406.3,1411.9,18192,7262,Future,CME,USD,0.1,5,50,70595,RTY1 Index,19.122412679018186,18,0.0005,,1
03/08/2017,1411.2,1414.3,1400.5,1405,14721,7872,Future,CME,USD,0.1,5,50,70250,RTY1 Index,18.578367348433567,19,0.0005,,1
04/08/2017,1405.5,1412.1,1403.2,1411.2,12151,7731,Future,CME,USD,0.1,5,50,70560,RTY1 Index,18.518672558618846,20,0.0005,,1
07/08/2017,1411.6,1417.7,1406.2,1413.9,9211,7591,Future,CME,USD,0.1,5,50,70695,RTY1 Index,18.847303078513445,21,0.0005,,1
08/08/2017,1413.2,1426.8,1405.8,1409.4,21143,7734,Future,CME,USD,0.1,5,50,70470,RTY1 Index,19.518066844166242,22,0.0005,,1
09/08/2017,1408.4,1409.5,1391.4,1397.2,23740,10683,Future,CME,USD,0.1,5,50,69860,RTY1 Index,20.656597009188324,23,0.0005,,1
10/08/2017,1398.6,1398.8,1366.6,1370.1,29622,12180,Future,CME,USD,0.1,5,50,68505,RTY1 Index,22.05591908460571,24,0.0005,,1
11/08/2017,1367.8,1375.8,1364.1,1372.3,23829,12517,Future,CME,USD,0.1,5,50,68615,RTY1 Index,19.795035572924217,25,0.0005,,1
14/08/2017,1371.9,1395,1371.9,1393.4,18258,12518,Future,CME,USD,0.1,5,50,69670,RTY1 Index,20.39750556644942,26,0.0005,,1
15/08/2017,1394.3,1400.3,1381.4,1381.7,13781,13235,Future,CME,USD,0.1,5,50,69085,RTY1 Index,21.745363490485392,27,0.0005,,1
16/08/2017,1382.2,1392.1,1380.1,1382.6,15080,13209,Future,CME,USD,0.1,5,50,69130,RTY1 Index,22.871980675053095,28,0.0005,,1
17/08/2017,1381,1385.2,1351.5,1354.5,33533,15132,Future,CME,USD,0.1,5,50,67725,RTY1 Index,25.95140522849073,29,0.0005,,1
18/08/2017,1352.7,1362,1348.7,1357.1,24551,16134,Future,CME,USD,0.1,5,50,67855,RTY1 Index,28.12722169002839,30,0.0005,,1
21/08/2017,1358.6,1360.9,1348.8,1355.4,15654,16733,Future,CME,USD,0.1,5,50,67770,RTY1 Index,29.916607985086433,31,0.0005,,1
22/08/2017,1355.5,1372.2,1355.5,1370.8,16832,15805,Future,CME,USD,0.1,5,50,68540,RTY1 Index,30.551608250085152,32,0.0005,,1
23/08/2017,1369.2,1373.3,1359.4,1367.2,16261,15660,Future,CME,USD,0.1,5,50,68360,RTY1 Index,30.521726141662953,33,0.0005,,1
24/08/2017,1366,1377.1,1363.8,1373.4,17431,15585,Future,CME,USD,0.1,5,50,68670,RTY1 Index,29.944722963042064,34,0.0005,,1
25/08/2017,1374.2,1380.7,1369.9,1375.6,16234,15316,Future,CME,USD,0.1,5,50,68780,RTY1 Index,29.396517367425325,35,0.0005,,1
28/08/2017,1375.6,1383.8,1372.4,1381.8,15536,16207,Future,CME,USD,0.1,5,50,69090,RTY1 Index,28.419402409856175,36,0.0005,,1
29/08/2017,1375.4,1386,1368.5,1382.7,27260,16085,Future,CME,USD,0.1,5,50,69135,RTY1 Index,26.138469095696355,37,0.0005,,1
30/08/2017,1383.5,1392.8,1378.9,1390.8,20730,16285,Future,CME,USD,0.1,5,50,69540,RTY1 Index,24.11492069238478,38,0.0005,,1
31/08/2017,1389.7,1407.2,1389.3,1405,28336,16427,Future,CME,USD,0.1,5,50,70250,RTY1 Index,22.824247340639175,39,0.0005,,1
01/09/2017,1403.5,1414.5,1403.5,1411.7,18672,16774,Future,CME,USD,0.1,5,50,70585,RTY1 Index,21.750392333626415,40,0.0005,,1
05/09/2017,1404.5,1419.9,1393.5,1401.2,58154,22975,Future,CME,USD,0.1,5,50,70060,RTY1 Index,20.626319755755635,41,0.0005,,1
