Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
13/08/2004,26125,26325,26120,26266,356,1064,Future,MIL,EUR,5,25,5,131360,ST1 Index,517.5230268628966,1,0.0089,,1.1308
16/08/2004,26225,26530,26100,26511,200,1086,Future,MIL,EUR,5,25,5,131330,ST1 Index,499.64845975278934,2,0.0089,,1.1308
17/08/2004,26450,26605,26430,26469,155,1033,Future,MIL,EUR,5,25,5,132555,ST1 Index,504.30459380550496,3,0.0089,,1.1308
18/08/2004,26400,26560,26365,26519,119,1056,Future,MIL,EUR,5,25,5,132345,ST1 Index,510.6933130558915,4,0.0089,,1.1308
19/08/2004,26660,26710,26500,26521,90,1056,Future,MIL,EUR,5,25,5,132595,ST1 Index,504.140516126212,5,0.0089,,1.1308
20/08/2004,26520,26535,26340,26466,157,1125,Future,MIL,EUR,5,25,5,132605,ST1 Index,484.40980584625277,6,0.0089,,1.1308
23/08/2004,26575,26765,26565,26746,397,1080,Future,MIL,EUR,5,25,5,132330,ST1 Index,455.1339802739467,7,0.0089,,1.1308
24/08/2004,26800,26885,26730,26761,420,1095,Future,MIL,EUR,5,25,5,133730,ST1 Index,432.4109812050019,8,0.0089,,1.1308
25/08/2004,26860,26915,26765,26819,585,1229,Future,MIL,EUR,5,25,5,133805,ST1 Index,408.0792406710651,9,0.0089,,1.1308
26/08/2004,26930,27110,26930,26956,582,1181,Future,MIL,EUR,5,25,5,134095,ST1 Index,385.0515636465769,10,0.0089,,1.1308
27/08/2004,27045,27125,26940,27087,564,1182,Future,MIL,EUR,5,25,5,134780,ST1 Index,356.75677055010624,11,0.0089,,1.1308
30/08/2004,27090,27125,26985,27035,460,1184,Future,MIL,EUR,5,25,5,135435,ST1 Index,354.50975538999677,12,0.0089,,1.1308
31/08/2004,26965,27105,26935,26978,523,1321,Future,MIL,EUR,5,25,5,135175,ST1 Index,359.9988425907458,13,0.0089,,1.1308
01/09/2004,27085,27210,27045,27200,607,1368,Future,MIL,EUR,5,25,5,134890,ST1 Index,357.4005362801581,14,0.0089,,1.1308
02/09/2004,27190,27470,27150,27436,662,1307,Future,MIL,EUR,5,25,5,136000,ST1 Index,358.7085771672397,15,0.0089,,1.1308
03/09/2004,27380,27720,27365,27687,1195,1274,Future,MIL,EUR,5,25,5,137180,ST1 Index,373.85595265201584,16,0.0089,,1.1308
06/09/2004,27715,27780,27660,27697,646,1218,Future,MIL,EUR,5,25,5,138435,ST1 Index,392.2088644247435,17,0.0089,,1.1308
07/09/2004,27645,27735,27565,27611,1016,1262,Future,MIL,EUR,5,25,5,138485,ST1 Index,404.62092547636166,18,0.0089,,1.1308
08/09/2004,27645,27665,27550,27617,708,1267,Future,MIL,EUR,5,25,5,138055,ST1 Index,399.78171960877347,19,0.0089,,1.1308
09/09/2004,27565,27565,27385,27472,853,1275,Future,MIL,EUR,5,25,5,138085,ST1 Index,393.18983964494214,20,0.0089,,1.1308
10/09/2004,27500,27645,27500,27598,722,1307,Future,MIL,EUR,5,25,5,137360,ST1 Index,369.43106258139153,21,0.0089,,1.1308
13/09/2004,27700,27860,27690,27847,961,1628,Future,MIL,EUR,5,25,5,137990,ST1 Index,348.68356236949745,22,0.0089,,1.1308
14/09/2004,27885,27885,27705,27771,1257,2187,Future,MIL,EUR,5,25,5,139235,ST1 Index,339.71618055863945,23,0.0089,,1.1308
15/09/2004,27745,27900,27690,27729,2978,3147,Future,MIL,EUR,5,25,5,138855,ST1 Index,328.7434308596149,24,0.0089,,1.1308
16/09/2004,27680,27840,27680,27776,3204,4576,Future,MIL,EUR,5,25,5,138645,ST1 Index,517.5230268628966,25,0.0089,,1.1308
17/09/2004,27780,27805,27780,27796,6,4575,Future,MIL,EUR,5,25,5,138880,ST1 Index,499.64845975278934,26,0.0089,,1.1308
20/09/2004,28040,28105,27935,28032,10167,13712,Future,MIL,EUR,5,25,5,138980,ST1 Index,504.30459380550496,27,0.0089,,1.1308
