Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
03/01/1994,105.3594,105.3594,105.3594,105.3594,2194,22710,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,210719,105.9531,105.3594,0.3913573638419688,1,0.004,,1
04/01/1994,105.4141,105.4141,105.4141,105.4141,2194,23317,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,210828,106.0078,105.4141,0.3583374265037568,2,0.004,,1
05/01/1994,106.0469,106.0469,105.9688,105.9844,2578,23581,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211969,105.9844,105.3906,0.32753315114657144,3,0.004,,1
06/01/1994,105.5234,105.5234,105.5234,105.5234,2194,23796,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211047,106.125,105.5234,0.3282069892105734,4,0.004,,1
07/01/1994,106.125,106.4688,106.1172,106.4609,6839,21979,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212922,106.4609,105.8594,0.30278015005391273,5,0.004,,1
10/01/1994,106.4531,106.5,106.4375,106.4844,2791,22088,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212969,106.4844,105.8828,0.3020383884541872,6,0.004,,1
11/01/1994,105.8984,105.8984,105.8984,105.8984,2194,22406,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211797,106.5,105.8984,0.2987569902668972,7,0.004,,1
12/01/1994,105.9688,105.9688,105.9688,105.9688,2194,22777,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211938,106.5703,105.9688,0.29572844091610173,8,0.004,,1
13/01/1994,106.5313,106.5313,106.3828,106.3828,2829,22552,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212766,106.3828,105.7813,0.29507665540782513,9,0.004,,1
14/01/1994,105.7188,105.7188,105.7188,105.7188,2194,23209,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211438,106.3203,105.7188,0.2995341253791744,10,0.004,,1
17/01/1994,105.6875,105.6875,105.6875,105.6875,2194,23300,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211375,106.2891,105.6875,0.29325296690741426,11,0.004,,1
18/01/1994,106.3359,106.4063,106.3359,106.3984,2377,24094,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212797,106.3984,105.7969,0.28882449526774523,12,0.004,,1
19/01/1994,105.8125,105.8125,105.8125,105.8125,2194,25279,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211625,106.4141,105.8125,0.2935056848966763,13,0.004,,1
20/01/1994,106.3984,106.5469,106.3906,106.5469,2079,26485,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,213094,106.5469,105.9375,0.30551362762840323,14,0.004,,1
21/01/1994,106.5625,106.5625,106.4688,106.5,1040,26607,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,213000,106.5,105.8906,0.31425081808432065,15,0.004,,1
24/01/1994,106.4609,106.5703,106.4531,106.5,548,26799,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,213000,106.5,105.8906,0.32042882215347496,16,0.004,,1
25/01/1994,106.4453,106.5,106.4375,106.4688,906,26945,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212938,106.4688,105.8594,0.316636789818653,17,0.004,,1
26/01/1994,106.4375,106.4844,106.4219,106.4531,1077,26681,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212906,106.4531,105.8438,0.3255777005058248,18,0.004,,1
27/01/1994,106.5313,106.5313,106.4531,106.5156,1195,27134,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,213031,106.5156,105.8984,0.39777655503224996,19,0.004,,1
28/01/1994,106.4844,106.6328,106.4609,106.5703,1737,27617,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,213141,106.5703,105.9375,0.447962058028716,20,0.004,,1
31/01/1994,106.5313,106.5547,106.4688,106.4922,1735,28634,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212984,106.4922,105.9844,0.4900371643389117,21,0.004,,1
01/02/1994,106.4063,106.4219,106.3125,106.3516,5312,30335,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212703,106.3516,105.8281,0.5169371908010882,22,0.004,,1
02/02/1994,106.3516,106.3828,106.2813,106.3359,3594,32595,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212672,106.3359,105.7969,0.5485200459721781,23,0.004,,1
03/02/1994,106.3047,106.3281,106.1406,106.1953,3572,33243,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,212391,106.1953,105.6563,0.5704593046542868,24,0.004,,1
04/02/1994,106.2188,106.5625,105.9063,105.9141,10491,34226,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211828,105.9141,105.3672,0.3913573638419688,25,0.004,,1
07/02/1994,105.9219,105.9609,105.8281,105.9219,5864,35534,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211844,105.9219,105.3203,0.3583374265037568,26,0.004,,1
08/02/1994,105.8594,105.9219,105.8594,105.8828,1032,35897,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211766,105.8828,105.3125,0.32753315114657144,27,0.004,,1
09/02/1994,105.8594,105.9766,105.8594,105.9609,2097,35195,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211922,105.9609,105.375,0.3282069892105734,28,0.004,,1
10/02/1994,105.9844,106,105.9219,105.9219,1493,35012,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211844,105.9219,105.3438,0.30278015005391273,29,0.004,,1
11/02/1994,105.8438,106,105.7969,105.9688,2529,35496,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211938,105.9688,105.3828,0.3020383884541872,30,0.004,,1
14/02/1994,106,106.0156,105.9609,105.9766,860,35499,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211953,105.9766,105.3906,0.2987569902668972,31,0.004,,1
15/02/1994,105.9922,106.0234,105.9688,105.9922,2345,35159,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211984,105.9922,105.4453,0.29572844091610173,32,0.004,,1
16/02/1994,105.9922,106.0078,105.9766,105.9922,796,35281,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211984,105.9922,105.4375,0.29507665540782513,33,0.004,,1
17/02/1994,105.9766,106.0938,105.8281,105.8359,6268,38000,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,211672,105.8359,105.2656,0.2995341253791744,34,0.004,,1
