Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate
02/01/2006,14.1,14.1,14.05,14.09,15,6556,UX1 Index,Future,CBF,USD,0.05,50,1000,14090,12.45,14.09,0.4335596844726217,1,,0.0004,,1
03/01/2006,14,14.2,13.8,13.88,290,6584,UX1 Index,Future,CBF,USD,0.05,50,1000,13880,12.02,13.88,0.3980904419852343,2,,0.0004,,1
04/01/2006,13.85,13.9,13.69,13.84,132,6593,UX1 Index,Future,CBF,USD,0.05,50,1000,13840,11.84,13.84,0.36792752909596993,3,,0.0004,,1
05/01/2006,13.76,13.78,13.63,13.73,25,6588,UX1 Index,Future,CBF,USD,0.05,50,1000,13730,11.83,13.73,0.35658192139628386,4,,0.0004,,1
06/01/2006,13.69,13.7,13.37,13.53,150,6536,UX1 Index,Future,CBF,USD,0.05,50,1000,13530,11.56,13.53,0.35023230385940324,5,,0.0004,,1
09/01/2006,13.42,13.5,13.22,13.29,161,6583,UX1 Index,Future,CBF,USD,0.05,50,1000,13290,11.33,13.29,0.3542936635052887,6,,0.0004,,1
10/01/2006,13.17,13.3,12.99,13.04,129,6617,UX1 Index,Future,CBF,USD,0.05,50,1000,13040,11.22,13.04,0.35230100766248,7,,0.0004,,1
11/01/2006,12.93,12.95,12.75,12.84,52,6577,UX1 Index,Future,CBF,USD,0.05,50,1000,12840,11.19,12.84,0.40214549605832833,8,,0.0004,,1
12/01/2006,12.89,13.05,12.88,12.99,951,7526,UX1 Index,Future,CBF,USD,0.05,50,1000,12990,11.3,12.99,0.40253074416744733,9,,0.0004,,1
13/01/2006,13,13.06,12.92,12.99,360,7750,UX1 Index,Future,CBF,USD,0.05,50,1000,12990,11.3,12.99,0.40313066533486674,10,,0.0004,,1
16/01/2006,13,13.06,12.92,12.95,360,7750,UX1 Index,Future,CBF,USD,0.05,50,1000,12950,11.32,12.95,0.40347160164419543,11,,0.0004,,1
17/01/2006,13,13.13,13,12.95,61,7778,UX1 Index,Future,CBF,USD,0.05,50,1000,12950,11.71,12.95,0.40675463529421807,12,,0.0004,,1
18/01/2006,13.29,13.34,13.25,13.27,68,8121,UX1 Index,Future,CBF,USD,0.05,50,1000,13270,13.27,12.95,0.4147219952369689,13,,0.0004,,1
19/01/2006,13.15,13.15,13.09,13.11,79,8135,UX1 Index,Future,CBF,USD,0.05,50,1000,13110,13.11,12.95,0.40628684448305624,14,,0.0004,,1
20/01/2006,13.3,13.56,13.25,13.53,170,8140,UX1 Index,Future,CBF,USD,0.05,50,1000,13530,13.53,13.09,0.4204493627854204,15,,0.0004,,1
23/01/2006,13.64,13.72,13.54,13.74,537,8520,UX1 Index,Future,CBF,USD,0.05,50,1000,13740,13.74,14.28,0.41295681775862825,16,,0.0004,,1
24/01/2006,13.71,13.75,13.57,13.56,772,8218,UX1 Index,Future,CBF,USD,0.05,50,1000,13560,13.56,14.02,0.38476746224180614,17,,0.0004,,1
25/01/2006,13.52,13.52,13.12,13.32,564,8209,UX1 Index,Future,CBF,USD,0.05,50,1000,13320,13.32,13.82,0.3474070619124868,18,,0.0004,,1
26/01/2006,13.14,13.14,12.95,12.92,232,8233,UX1 Index,Future,CBF,USD,0.05,50,1000,12920,12.92,13.68,0.3314428055235671,19,,0.0004,,1
