Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
03/01/2011,9165,9180,9040,9210,4259,21630,XU1 Index,Future,SGX,USD,1,1,1,9210,9220,9210,151.51320074501768,1,0.0237,,1
04/01/2011,9280,9480,9280,9420,5923,23485,XU1 Index,Future,SGX,USD,1,1,1,9420,9420,9445,151.7143697874398,2,0.0237,,1
05/01/2011,9490,9490,9320,9380,4234,24877,XU1 Index,Future,SGX,USD,1,1,1,9380,9380,9405,146.02368529340262,3,0.0237,,1
06/01/2011,9300,9450,9250,9265,6241,26562,XU1 Index,Future,SGX,USD,1,1,1,9265,9265,9345,142.8761118358605,4,0.0237,,1
07/01/2011,9265,9495,9230,9395,6662,26766,XU1 Index,Future,SGX,USD,1,1,1,9395,9395,9460,142.3692382504029,5,0.0237,,1
10/01/2011,9350,9460,9245,9250,4359,27276,XU1 Index,Future,SGX,USD,1,1,1,9250,9250,9310,136.4129759223805,6,0.0237,,1
11/01/2011,9255,9345,9225,9310,2946,27145,XU1 Index,Future,SGX,USD,1,1,1,9310,9310,9380,158.00791119434487,7,0.0237,,1
12/01/2011,9310,9410,9255,9405,8867,29774,XU1 Index,Future,SGX,USD,1,1,1,9405,9405,9470,175.306398438087,8,0.0237,,1
13/01/2011,9445,9465,9380,9415,3899,28945,XU1 Index,Future,SGX,USD,1,1,1,9415,9415,9495,186.47430564736436,9,0.0237,,1
14/01/2011,9400,9400,9280,9310,4099,29005,XU1 Index,Future,SGX,USD,1,1,1,9310,9310,9370,195.9715115350528,10,0.0237,,1
17/01/2011,9305,9315,8975,9020,8176,32522,XU1 Index,Future,SGX,USD,1,1,1,9020,9020,9095,204.25229496874698,11,0.0237,,1
18/01/2011,9025,9080,8955,9045,15842,34724,XU1 Index,Future,SGX,USD,1,1,1,9045,9045,9110,210.0843084732098,12,0.0237,,1
