Date,FinalForecast,Multiplier,CARRY_forecast,ewma_EWMA004_forecast,ewma_EWMA008_forecast,ewma_EWMA016_forecast
2024-12-16,-6.196397858915714,1.3518577110189671,0.0,-2.7647830066136034,-5.474451053638601,-8.948574197430066
2024-12-17,-5.808842433722918,1.3518518118507856,-3.6785323411300697,-1.3668499079966738,-4.996225849473445,-8.813140827560687
2024-12-18,-6.372344823140322,1.3518811304453326,-3.3719353909662884,-4.611769162014316,-5.786115646855296,-8.42386276319215
2024-12-19,-7.500905723398425,1.3518992293246708,-2.9048281214601293,-9.024083380226596,-7.616585224600036,-8.88858560087542
2024-12-20,-9.6096951502672,1.3518558523814024,-2.8112239373934016,-7.580044541865043,-7.4482544076155905,-8.697491380733213
2024-12-23,-8.968657477856079,1.3518713729304186,-2.4619434530193085,-8.703909423442022,-8.254191449950335,-9.075912977183876
2024-12-24,-9.630718576905087,1.3518715618920316,-2.531307544316582,-9.136192593468298,-8.973061879173542,-9.623989500616442
2024-12-25,-10.228485250169681,1.3518766659046533,-2.598869401118475,-9.529499375027982,-9.651161148368123,-10.177058933050985
2024-12-26,-10.800323724410028,1.3518744159520149,-2.671343299721205,-9.200120579284436,-10.028922639939337,-10.650217466878878
2024-12-27,-11.000861375649674,1.3518472812904694,-3.446696048547419,-6.499499807699298,-9.206521555953133,-10.506606421307923
2024-12-30,-10.02380252723502,1.3518585364256455,-3.504318012667995,-6.181999597567692,-9.145628396127185,-10.694664353074083
2024-12-31,-9.978951409312499,1.351858718333802,-3.603050513720072,-5.825090251370958,-9.115289132718615,-10.96708749739879
2025-01-01,-9.973590409264135,1.351869270971647,-3.6664256638747648,-6.666116337227208,-9.46386099094834,-11.295004536121164
2025-01-02,-10.508092871544296,1.3518967080564706,-2.854802843935134,-10.67618877868234,-10.227909134200042,-10.693055960227303
2025-01-03,-11.643586496058456,1.3518635927343874,-2.862118768403424,-10.746816178587336,-10.718367530690427,-11.055934977321316
2025-01-06,-11.957856116717052,1.351810289482309,-2.450206416584057,-7.241832948666067,-9.54458629220636,-10.627626379564225
2025-01-07,-10.09275565491955,1.351817637007381,-2.5115926072575947,-6.007119764929822,-9.233257344042473,-10.797636615500345
2025-01-08,-9.648677946729306,1.351847424390675,-2.299704943685817,-8.698355682755853,-9.648121960438663,-10.412985146408367
2025-01-09,-10.496929538677799,1.3518623072990283,-2.3333098381670894,-11.6024508212007,-11.138681450173593,-11.210399903027682
2025-01-10,-12.26323243171015,1.3518848920397306,-1.6171010674995576,-15.167727642176724,-12.83764960280032,-11.836780076749395
2025-01-13,-14.012226312342943,1.3519032280600847,-1.9737664895278328,-18.138481760689466,-14.92892809457929,-13.035571822124211
2025-01-14,-16.24849136060296,1.351879399512526,-2.353831016984022,-18.15444230076933,-16.055493421799653,-13.996381076233458
2025-01-15,-17.087459780468034,1.3518520430537817,-1.373430711470298,-16.389791767383166,-16.33545949049179,-14.66234726249507
2025-01-16,-16.479375263595745,1.3518480248021447,-1.4117883440475028,-14.686588423429969,-16.44071136674451,-15.312411614618425
2025-01-17,-16.17199103082853,1.351848206698719,-1.4515648122961298,-13.213509088883146,-16.412600673544087,-15.898372657771626
2025-01-20,-15.876413268334009,1.3518730675450898,-1.4436721788858444,-13.839609115216934,-16.680810763005564,-16.241501192619687
2025-01-21,-16.289304506023697,1.351652653387113,-1.2652096206527823,-7.118712153702769,-12.724134281172972,-13.77141698488586
2025-01-22,-11.786242896982774,1.351653780242174,-0.975620192338532,-4.308833473168292,-11.507631722314414,-13.71072273321894
2025-01-23,-10.307200827281624,1.351639598083029,-0.9958528175894032,-1.4710043321820434,-9.971376106784376,-13.384763010334757
2025-01-24,-8.725730099361657,1.351621633551411,-1.2524519716287457,3.7642562449384624,-6.589443304167747,-11.52952556445326
2025-01-27,-5.27374109397813,1.3516205488247286,-1.287283442338346,6.732452086642809,-4.46872196276237,-10.80691958287712
