Date,FinalForecast,Multiplier,CARRY_forecast
2018-12-12,0.0,1.0,0.0
2018-12-13,0.0,1.0,-17.067531976532713
2018-12-14,-17.067531976532713,1.0,0.0
2018-12-17,0.0,1.0,0.0
2018-12-18,0.0,1.0,0.0
2018-12-19,0.0,1.0,0.0
2018-12-20,0.0,1.0,0.0
2018-12-21,0.0,1.0,0.0
2018-12-24,0.0,1.0,0.0
2018-12-25,0.0,1.0,0.0
2018-12-26,0.0,1.0,0.0
2018-12-27,0.0,1.0,0.0
2018-12-28,0.0,1.0,0.0
2018-12-31,0.0,1.0,0.0
2019-01-01,0.0,1.0,0.0
2019-01-02,0.0,1.0,-20.0
2019-01-03,-20.0,1.0,0.0
2019-01-04,0.0,1.0,0.0
2019-01-07,0.0,1.0,0.0
2019-01-08,0.0,1.0,-20.0
2019-01-09,-20.0,1.0,-20.0
2019-01-10,-20.0,1.0,-20.0
2019-01-11,-20.0,1.0,-20.0
2019-01-14,-20.0,1.0,-20.0
2019-01-15,-20.0,1.0,-20.0
2019-01-16,-20.0,1.0,-20.0
2019-01-17,-20.0,1.0,-20.0
2019-01-18,-20.0,1.0,-20.0
2019-01-21,-20.0,1.0,-20.0
2019-01-22,-20.0,1.0,-20.0
2019-01-23,-20.0,1.0,-20.0
2019-01-24,-20.0,1.0,-20.0
2019-01-25,-20.0,1.0,-20.0
2019-01-28,-20.0,1.0,-20.0
2019-01-29,-20.0,1.0,-20.0
2019-01-30,-20.0,1.0,-20.0
2019-01-31,-20.0,1.0,-20.0
2019-02-01,-20.0,1.0,-20.0
2019-02-04,-20.0,1.0,-20.0
2019-02-05,-20.0,1.0,-20.0
2019-02-06,-20.0,1.0,-20.0
2019-02-07,-20.0,1.0,-20.0
2019-02-08,-20.0,1.0,-20.0
2019-02-11,-20.0,1.0,-19.34203598530653
2019-02-12,-19.34203598530653,1.0,-19.70295530195598
2019-02-13,-19.70295530195598,1.0,-20.0
2019-02-14,-20.0,1.0,-17.179938984744634
2019-02-15,-17.179938984744634,1.0,-17.652217866646367
2019-02-18,-17.652217866646367,1.0,-14.428589448993732
2019-02-19,-14.428589448993732,1.0,-11.126331094638267
2019-02-20,-11.126331094638267,1.0,-11.4309398339606
2019-02-21,-11.4309398339606,1.0,-11.420935228725869
2019-02-22,-11.420935228725869,1.0,-15.215327399789718
2019-02-25,-15.215327399789718,1.0,-19.30441770771801
2019-02-26,-19.30441770771801,1.0,-19.58641896998251
2019-02-27,-19.58641896998251,1.0,-20.0
2019-02-28,-20.0,1.0,-20.0
2019-03-01,-20.0,1.0,-20.0
2019-03-04,-20.0,1.0,0.0
2019-03-05,0.0,1.0,0.0
2019-03-06,0.0,1.0,0.0
2019-03-07,0.0,1.0,0.0
2019-03-08,0.0,1.0,0.0
2019-03-11,0.0,1.0,0.0
2019-03-12,0.0,1.0,0.0
2019-03-13,0.0,1.0,0.0
2019-03-14,0.0,1.0,0.0
2019-03-15,0.0,1.0,-20.0
2019-03-18,-20.0,1.0,-20.0
2019-03-19,-20.0,1.0,-20.0
2019-03-20,-20.0,1.0,-20.0
2019-03-21,-20.0,1.0,-20.0
2019-03-22,-20.0,1.0,-20.0
