Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D
02/01/1990,21.5,22.45,21.47,22.89
03/01/1990,23.2,23.8,23,23.68
04/01/1990,23.88,23.92,22.83,23.41
05/01/1990,22.5,22.68,21.95,23.08
08/01/1990,21.5,21.77,21.03,21.62
09/01/1990,20.93,21.37,20.9,22.07
10/01/1990,21.6,22,21.47,22.9
11/01/1990,21.82,22.2,21.63,23.14
12/01/1990,22.2,22.4,21.96,23.13
15/01/1990,22,22,21.45,22.36
16/01/1990,21.3,21.85,21.05,22.78
17/01/1990,21.38,21.48,21.1,22.1
18/01/1990,21.52,21.67,21.4,22.76
19/01/1990,21.84,22.23,21.71,23.67
22/01/1990,22.2,22.31,21.55,22.55
23/01/1990,21.5,21.68,21.3,21.6
24/01/1990,21.35,21.9,21.25,21.59
25/01/1990,21.85,22.3,21.66,22.24
26/01/1990,22.15,22.6,21.92,22.56
29/01/1990,22.54,22.85,22.38,22.8
30/01/1990,21.9,22,21.75,22.46
31/01/1990,21.48,21.95,21.48,22.68
01/02/1990,22.6,22.84,22.46,22.7
02/02/1990,22.7,23.05,22.66,23.02
05/02/1990,22.3,22.38,21.7,22.39
06/02/1990,21.75,22,21.61,22.51
07/02/1990,21.64,21.75,21.5,22.32
08/02/1990,21.65,21.95,21.58,22.09
09/02/1990,21.55,21.7,21.41,21.74
12/02/1990,21.58,21.87,21.51,22.03
13/02/1990,21.9,22.24,21.73,21.9
14/02/1990,21.75,21.99,21.62,22.07
15/02/1990,22.05,22.48,22.02,22.84
16/02/1990,22.33,22.43,22.02,22.84
19/02/1990,22.33,22.43,22.02,22.42
20/02/1990,22.1,22.2,21.97,22.19
21/02/1990,22.1,22.17,21.7,21.74
22/02/1990,21.81,21.97,21.63,21.75
23/02/1990,21.62,21.66,21.4,21.42
26/02/1990,21.6,21.93,21.48,21.79
27/02/1990,21.88,21.95,21.56,21.58
28/02/1990,21.58,21.71,21.46,21.54
01/03/1990,21.7,21.77,21.15,21.17
02/03/1990,21.3,21.39,21.11,21.35
05/03/1990,21.32,21.72,21.28,21.58
06/03/1990,21.69,21.71,21.42,19.33
07/03/1990,21.37,21.4,21.15,20.93
08/03/1990,21.05,21.11,20.89,20.78
09/03/1990,21.15,21.18,20.62,20.43
12/03/1990,20.55,20.58,20.27,20.24
13/03/1990,20.55,20.71,20.35,20.22
14/03/1990,20.3,20.58,20.2,20.05
15/03/1990,20.41,20.75,20.3,20.38
16/03/1990,20.64,20.64,20.35,20.07
19/03/1990,19.98,20.05,19.83,19.6
20/03/1990,20.05,20.13,19.65,19.28
21/03/1990,19.89,20.08,19.8,19.96
22/03/1990,20,20.18,19.94,20
23/03/1990,20.06,20.41,20.04,20.39
26/03/1990,20.53,20.64,20.32,20.46
27/03/1990,20.41,20.58,20.26,20.48
28/03/1990,20.43,20.48,20.06,20.08
29/03/1990,20.01,20.34,19.97,20.05
30/03/1990,20.14,20.3,20.11,20.28
02/04/1990,20.5,20.83,20.48,20.48
03/04/1990,20.89,20.9,20.6,20.3
04/04/1990,20.2,20.22,19.75,19.78
05/04/1990,20.15,20.2,19.7,19.43
06/04/1990,19.55,19.61,19.1,19.15
09/04/1990,19.4,19.45,18.92,18.44
10/04/1990,18.9,19.09,18.3,17.68
11/04/1990,18,18.8,17.35,18.06
12/04/1990,19.05,19.08,18.45,18.06
13/04/1990,19.05,19.08,18.45,17.78
16/04/1990,18.62,18.9,18.5,17.85
17/04/1990,18.85,19,18.33,17.44
18/04/1990,18.15,18.19,17.7,16.96
19/04/1990,18.6,18.99,18.3,18.06
20/04/1990,19,19.05,18.53,17.95
23/04/1990,19,19.49,18.98,19.07
24/04/1990,19.75,19.77,19.4,19
25/04/1990,18.78,18.85,18.54,18.66
26/04/1990,18.7,18.88,18.45,18.47
27/04/1990,18.45,18.57,18.35,18.54
30/04/1990,18.6,18.81,18.41,18.54
01/05/1990,18.5,18.92,18.39,18.88
02/05/1990,18.94,19.1,18.61,18.68
03/05/1990,18.75,18.83,17.95,17.99
04/05/1990,17.9,18.2,17.82,17.98
07/05/1990,17.99,18.3,17.93,18.27
08/05/1990,18.95,19.18,18.85,18.28
09/05/1990,19,19.5,19,18.99
10/05/1990,18.93,19.31,18.74,19.02
11/05/1990,18.98,19.01,18.83,18.95
14/05/1990,19.45,20.04,19.49,19.71
15/05/1990,19.87,20.01,19.75,19.59
16/05/1990,19.92,19.96,19.5,19.03
17/05/1990,19.5,19.69,19.37,18.87
18/05/1990,19.47,19.7,19.4,18.76
21/05/1990,19.33,19.35,19.02,18.26
22/05/1990,18.83,19.13,18.78,17.68
23/05/1990,18.63,18.6,17.95,18.14
24/05/1990,18.25,18.27,17.7,17.83
25/05/1990,17.98,18.17,17.65,17.83
28/05/1990,17.98,18.17,17.65,17.8
29/05/1990,17.68,18.05,17.45,17.98
30/05/1990,18.2,18.45,18.06,18.08
31/05/1990,17.6,17.68,17.32,17.4
01/06/1990,18.14,18.2,17.95,17.5
04/06/1990,17.53,17.75,17.12,17.14
05/06/1990,16.7,16.87,16.42,16.68
06/06/1990,16.38,17.02,16.33,16.92
07/06/1990,17.12,17.32,16.6,16.67
08/06/1990,17.33,17.48,17.12,16.78
11/06/1990,16.72,16.86,16.66,16.82
12/06/1990,17.03,17.54,17.02,17.51
13/06/1990,17.88,18.34,17.78,17.58
14/06/1990,18.44,18.5,17.81,17.13
15/06/1990,17.9,17.96,17.56,16.62
18/06/1990,17.45,17.54,16.88,15.94
19/06/1990,17.1,17.24,16.7,15.65
20/06/1990,16.7,17,16.62,15.3
21/06/1990,16.95,17.15,16.57,16.94
22/06/1990,17.07,17.5,17.01,17.46
25/06/1990,17.57,17.62,17.21,17.38
26/06/1990,17.3,17.37,17.12,17.14
27/06/1990,17.06,17.07,16.65,16.68
28/06/1990,16.75,17.35,16.75,17.15
29/06/1990,17.24,17.31,16.96,17.07
02/07/1990,17.03,17.3,16.63,16.72
