Date,Open,High,Low,Close
1990-01-05,22.6,22.84,18.39,18.88
1990-01-12,18.14,38.6,17.95,35.17
1990-02-02,21.5,23.05,21.47,23.02
1990-02-09,21.3,23.8,16.63,23.11
1990-02-16,35.7,36.45,33.85,34.0
1990-03-02,23.2,23.8,23.0,23.68
1990-03-09,20.89,27.75,16.72,27.32
1990-03-16,34.7,37.45,29.05,29.15
1990-04-06,23.88,23.92,17.12,17.14
1990-04-13,16.85,38.25,16.72,30.66
1990-05-04,22.5,22.68,19.7,19.43
1990-05-11,16.7,38.3,16.29,31.96
1990-05-18,29.7,30.45,27.15,27.29
1990-06-08,21.75,28.2,16.33,28.05
1990-06-15,30.45,32.95,25.25,26.4
1990-07-06,21.64,21.75,16.6,16.67
1990-07-13,28.5,35.45,26.3,26.58
1990-08-03,21.5,21.95,20.89,20.78
1990-08-10,18.95,39.4,17.12,38.95
1990-08-17,34.8,35.85,34.0,35.53
1990-09-07,20.93,21.7,16.06,16.58
1990-09-14,25.25,40.95,25.06,33.89
1990-10-05,21.6,22.0,18.3,19.02
1990-10-12,17.5,41.15,17.5,26.9
1990-11-02,21.82,22.2,21.63,23.14
1990-11-09,18.0,30.9,16.66,30.76
1990-11-16,39.65,40.7,25.62,26.41
1990-12-07,22.2,22.4,17.02,18.46
1990-12-14,30.9,40.6,25.23,25.35
1991-01-04,28.2,28.7,18.85,19.29
1991-01-11,20.85,23.85,20.45,23.82
1991-02-01,28.12,28.45,26.35,26.49
1991-02-08,19.19,21.46,19.18,21.32
1991-02-15,22.12,22.31,21.06,21.08
1991-03-01,26.0,26.2,24.9,25.48
1991-03-08,19.67,21.39,19.37,20.82
1991-03-15,22.15,22.7,20.48,20.51
1991-04-05,25.8,26.15,19.56,19.98
1991-04-12,21.13,24.03,20.38,20.76
1991-05-03,21.15,21.25,19.95,20.43
1991-05-10,19.93,21.78,19.82,21.69
1991-05-17,23.7,23.95,20.33,20.39
1991-06-07,20.88,21.7,19.67,20.33
1991-06-14,21.52,23.71,19.98,20.04
1991-07-05,25.75,28.0,19.35,21.63
1991-07-12,20.48,23.59,20.26,23.2
1991-08-02,27.3,27.7,21.25,21.92
1991-08-09,19.05,21.8,19.0,21.58
1991-08-16,22.83,23.32,22.61,23.01
1991-09-06,25.5,31.0,20.16,21.93
1991-09-13,21.17,23.12,19.3,19.42
1991-10-04,27.9,28.9,20.7,21.05
1991-10-11,21.6,22.94,19.82,22.98
1991-10-18,19.55,19.7,19.15,19.41
1991-11-01,26.65,27.15,26.1,27.29
1991-11-08,21.82,22.65,18.46,21.29
1991-11-15,21.47,23.02,18.97,19.51
1991-12-06,22.78,23.05,18.16,20.05
1991-12-13,21.52,22.55,19.55,19.96
1992-01-03,18.45,19.15,18.44,19.12
1992-01-10,19.65,22.31,19.58,21.83
1992-01-17,19.8,19.87,19.48,19.51
1992-02-07,19.11,22.17,18.5,21.86
1992-02-14,21.65,21.98,19.36,19.45
1992-03-06,19.59,22.57,18.45,22.43
1992-03-13,21.93,22.13,19.02,19.08
1992-04-03,19.14,19.53,18.68,18.63
1992-04-10,20.8,22.5,20.75,21.67
1992-04-17,20.4,20.41,18.93,18.94
1992-05-08,19.49,22.7,18.69,21.18
1992-05-15,21.87,21.9,20.09,20.64
1992-06-05,19.0,21.02,18.58,20.77
1992-06-12,22.0,22.05,20.27,20.3
1992-07-03,19.3,19.9,18.62,19.87
1992-07-10,20.4,21.94,20.29,21.89
1992-07-17,18.82,19.25,18.77,19.18
1992-08-07,18.52,22.46,17.85,21.41
1992-08-14,21.9,21.98,18.8,18.84
1992-09-04,17.89,20.61,17.72,20.31
1992-09-11,22.37,22.38,20.21,20.62
