Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days
02/04/1990,73.39,73.89,73.39,73.89,363,,AD1 Curncy,Future,CME,USD,0.005,5,1000,73890,74.89,73.89,0.6359900418507611,1
03/04/1990,74.11,74.11,74.11,74.11,268,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74110,75.11,74.11,0.6305545178650293,2
04/04/1990,74.8,74.8,74.54,74.54,1146,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74540,75.54,74.54,0.6303504316383595,3
05/04/1990,74.48,74.62,74.48,74.62,352,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74620,75.62,74.62,0.6368377606057386,4
06/04/1990,74.51,74.7,74.51,74.51,139,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74510,75.51,74.51,0.6352065280940772,5
09/04/1990,74.37,74.37,74.37,74.37,66,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74370,75.37,74.37,0.6354701671466031,6
10/04/1990,74.7,74.71,74.7,74.71,134,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74710,75.71,74.71,0.6566523687106683,7
11/04/1990,74.79,74.79,74.79,74.79,105,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74790,75.82,74.79,0.6605886264032491,8
12/04/1990,74.76,74.96,74.76,74.79,105,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74790,75.82,74.79,0.6586329276109198,9
13/04/1990,74.76,74.96,74.76,74.9,408,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74900,75.9,74.9,0.6568175799514894,10
16/04/1990,74.66,74.66,74.66,74.66,12,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74660,75.66,74.66,0.6504839224249366,11
17/04/1990,74.78,74.78,74.78,74.78,24,,AD1 Curncy,Future,CME,USD,0.005,5,1000,74780,75.78,74.78,0.65573114409286,12
18/04/1990,75.14,75.15,75.14,75.14,159,,AD1 Curncy,Future,CME,USD,0.005,5,1000,75140,76.14,75.14,0.6700291038454953,13
19/04/1990,75.55,75.57,75.55,75.57,263,,AD1 Curncy,Future,CME,USD,0.005,5,1000,75570,76.57,75.57,0.6704682443387342,14
20/04/1990,75.26,75.26,75.26,75.26,2101,,AD1 Curncy,Future,CME,USD,0.005,5,1000,75260,76.26,75.26,0.6319934071386072,15
