Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days
02/04/1990,157.5,159.04,157.5,159.04,11414.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99400,161.48,159.04,0.7946001090695407,1
03/04/1990,158.56,159.3,158.46,159.04,7548.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99400,161.48,159.04,1.0105193384261988,2
04/04/1990,159.7,159.8,159.44,159.5,7409.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99688,161.96,159.5,1.1837803850376933,3
05/04/1990,160.0,160.0,159.6,159.62,10174.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99763,162.1,159.62,1.402368472739362,4
06/04/1990,159.4,159.8,159.1,159.6,7561.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99750,162.12,159.6,1.5727419792621244,5
09/04/1990,159.34,159.7,158.7,158.9,6781.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99313,161.42,158.9,1.7038337164563195,6
10/04/1990,159.0,159.9,158.7,159.86,15561.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99913,162.38,159.86,1.8147995297920296,7
11/04/1990,159.7,160.1,159.6,159.86,8291.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99913,162.42,159.86,1.8778622597695294,8
12/04/1990,159.8,160.0,159.8,159.86,8291.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99913,162.42,159.86,1.9742215343437883,9
13/04/1990,159.8,160.0,159.8,159.9,2584.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99938,162.46,159.9,2.1457797339584435,10
16/04/1990,158.96,159.0,158.7,158.82,6497.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99263,161.38,158.82,2.2704660314570067,11
17/04/1990,158.1,159.46,158.0,159.46,13046.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99663,161.98,159.46,2.2954441835950097,12
18/04/1990,159.2,159.8,159.2,159.8,10354.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99875,162.3,159.8,2.3588805254470895,13
19/04/1990,160.6,160.8,160.0,160.46,13031.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,100288,162.96,160.46,2.4150533465468023,14
20/04/1990,160.1,160.14,159.4,159.92,7231.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99950,162.42,159.92,2.449451094973512,15
23/04/1990,159.6,159.64,159.38,159.42,5261.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99638,161.92,159.42,2.441464860829857,16
24/04/1990,159.26,159.8,159.1,159.42,6821.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99638,161.92,159.42,2.3869347149290947,17
25/04/1990,158.92,159.8,158.7,159.72,13108.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99825,162.18,159.72,2.3275572316630573,18
26/04/1990,159.4,159.6,159.26,159.4,8746.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99625,161.86,159.4,2.266378314992229,19
27/04/1990,159.8,159.98,159.2,159.58,10548.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,99738,162.04,159.58,2.087603729957797,20
30/04/1990,159.74,160.4,159.5,160.34,10548.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,100213,162.8,160.34,1.8911382815649405,21
01/05/1990,160.06,160.7,159.86,160.6,17414.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,100375,163.12,160.6,1.7205142642052516,22
02/05/1990,160.36,160.6,160.2,160.44,7747.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,100275,162.94,160.44,1.5566738044091772,23
03/05/1990,160.5,160.74,160.44,160.54,8567.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,100338,163.02,160.54,1.3316320813199165,24
04/05/1990,161.0,163.0,161.0,162.82,18885.0,,BP1 Curncy,Future,CME,USD,0.01,6.25,625.0,101763,165.36,162.82,0.7946001090695407,25
