Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days
02/01/1990,21.5,22.45,21.47,22.41,844,66925,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22410,22.89,22.41,0.6619748232876124,1
03/01/1990,23.2,23.8,23.0,23.68,1566,66308,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23680,23.68,22.97,0.6600005050503109,2
04/01/1990,23.88,23.92,22.83,23.41,2500,61428,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23410,23.41,22.53,0.5697958698808998,3
05/01/1990,22.5,22.68,21.95,22.03,413,61914,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22030,23.08,22.03,0.4878695180749297,4
08/01/1990,21.5,21.77,21.03,21.03,38007,62494,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21030,21.62,21.03,0.49185126478099456,5
09/01/1990,20.93,21.37,20.9,21.23,1547,65994,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21230,22.07,21.23,0.45873267451388755,6
10/01/1990,21.6,22.0,21.47,21.99,400,66114,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21990,22.9,21.99,0.4365233861623733,7
11/01/1990,21.82,22.2,21.63,22.17,858,68489,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22170,23.14,22.17,0.43641035734729966,8
12/01/1990,22.2,22.4,21.96,22.13,1525,69547,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22130,23.13,22.13,0.44514042728109726,9
15/01/1990,22.0,22.0,21.45,21.49,575,73265,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21490,22.36,21.49,0.45414755311462146,10
16/01/1990,21.3,21.85,21.05,21.73,48780,72160,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21730,22.78,21.73,0.446610195435197,11
17/01/1990,21.38,21.48,21.1,21.26,38424,73790,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21260,22.1,21.26,0.44409383392851964,12
18/01/1990,21.52,21.67,21.4,21.59,51899,73836,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21590,22.76,21.59,0.42009919463542406,13
19/01/1990,21.84,22.23,21.71,22.08,41038,74101,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22080,23.67,22.08,0.41432756767240575,14
22/01/1990,22.2,22.31,21.55,21.77,38263,70958,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21770,22.55,21.77,0.43195292953437836,15
23/01/1990,21.5,21.68,21.3,21.6,45839,69870,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21600,21.6,21.02,0.43151207012859444,16
24/01/1990,21.35,21.9,21.25,21.59,51518,67197,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21590,21.59,20.92,0.432319326424344,17
25/01/1990,21.85,22.3,21.66,22.24,45420,64646,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22240,22.24,21.41,0.43444408922974787,18
26/01/1990,22.15,22.6,21.92,22.56,29349,61790,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22560,22.56,21.67,0.46224740850183726,19
29/01/1990,22.54,22.85,22.38,22.8,38110,65431,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22800,22.8,22.01,0.4594931990791562,20
30/01/1990,21.9,22.0,21.75,21.77,1450,65857,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21770,22.46,21.77,0.42262394631633976,21
31/01/1990,21.48,21.95,21.48,21.93,1450,66039,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21930,22.68,21.93,0.4294422739631754,22
01/02/1990,22.6,22.84,22.46,22.7,33347,65463,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22700,22.7,21.87,0.4506284500561366,23
02/02/1990,22.7,23.05,22.66,23.02,37956,63951,CL1 Comdty,Future,NYM,USD,0.01,10,1000,23020,23.02,22.31,0.44121687788810715,24
05/02/1990,22.3,22.38,21.7,21.73,733,62516,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21730,22.39,21.73,0.6619748232876124,25
06/02/1990,21.75,22.0,21.61,21.83,2310,63254,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21830,22.51,21.83,0.6600005050503109,26
07/02/1990,21.64,21.75,21.5,21.68,795,64266,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21680,22.32,21.68,0.5697958698808998,27
08/02/1990,21.65,21.95,21.58,21.65,42671,67913,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21650,22.09,21.65,0.4878695180749297,28
09/02/1990,21.55,21.7,21.41,21.56,32593,70092,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21560,21.74,21.56,0.49185126478099456,29
12/02/1990,21.58,21.87,21.51,21.84,59485,65331,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21840,22.03,21.84,0.45873267451388755,30
13/02/1990,21.9,22.24,21.73,21.82,39548,65842,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21820,21.9,21.82,0.4365233861623733,31
14/02/1990,21.75,21.99,21.62,21.95,48146,65943,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21950,22.07,21.95,0.43641035734729966,32
15/02/1990,22.05,22.48,22.02,22.43,33794,66128,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22430,22.84,22.43,0.44514042728109726,33
16/02/1990,22.33,22.43,22.02,22.43,33884,66598,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22430,22.84,22.43,0.45414755311462146,34
19/02/1990,22.33,22.43,22.02,22.25,33884,66598,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22250,22.42,22.25,0.446610195435197,35
20/02/1990,22.1,22.2,21.97,22.14,43194,67384,CL1 Comdty,Future,NYM,USD,0.01,10,1000,22140,22.19,22.14,0.44409383392851964,36
21/02/1990,22.1,22.17,21.7,21.74,720,70234,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21740,21.74,21.6,0.42009919463542406,37
22/02/1990,21.81,21.97,21.63,21.75,40566,68581,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21750,21.75,21.73,0.41432756767240575,38
23/02/1990,21.62,21.66,21.4,21.42,30657,67170,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21420,21.42,21.47,0.43195292953437836,39
26/02/1990,21.6,21.93,21.48,21.79,23729,67867,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21790,21.79,21.88,0.43151207012859444,40
27/02/1990,21.88,21.95,21.56,21.58,1801,64725,CL1 Comdty,Future,NYM,USD,0.01,10,1000,21580,21.58,21.65,0.432319326424344,41
