Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,st_dev,no_days
10/01/1995,97.57,97.65,97.05,97.15,10171,22006,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97150,1.491877675950679,1
11/01/1995,96.95,97.42,96.71,97.09,6195,24028,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97090,1.541849214417545,2
12/01/1995,96.8,96.93,96.47,96.67,6350,24551,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,96670,1.6042521622238821,3
13/01/1995,96.9,97.65,96.68,97.44,4975,23880,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97440,1.6003159063135004,4
16/01/1995,97.58,97.58,97.3,97.45,333,25140,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97450,1.624074813547701,5
17/01/1995,96.85,97.1,96.65,96.85,6314,25500,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,96850,1.6333760538630824,6
18/01/1995,96.65,97.0,96.5,96.65,4049,24454,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,96650,1.638126165267296,7
19/01/1995,96.8,96.91,96.5,96.65,3440,25540,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,96650,1.637075848375188,8
20/01/1995,96.29,96.3,95.48,95.5,7800,25236,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,95500,1.6185444077936249,9
23/01/1995,95.85,95.95,95.57,95.9,2424,26464,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,95900,1.4924121414676383,10
24/01/1995,96.15,96.42,96.1,96.38,5540,24877,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,96380,1.3947924576796475,11
25/01/1995,97.02,97.08,95.96,97.08,5591,24086,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97080,1.35655716183778,12
26/01/1995,97.55,97.74,97.06,97.5,5795,24281,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97500,1.3195516915478218,13
27/01/1995,97.68,98.4,97.65,98.31,4662,23085,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,98310,1.2423247025905622,14
30/01/1995,98.15,98.17,97.65,97.65,5123,23369,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,97650,1.1893320254103705,15
31/01/1995,97.6,98.5,97.35,98.44,6426,24863,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,98440,1.0596787248973503,16
01/02/1995,98.58,98.84,98.4,98.45,6137,24100,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,98450,0.9820222332853491,17
02/02/1995,98.22,98.55,98.19,98.53,3839,27272,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,98530,0.9190689129041141,18
03/02/1995,99.5,100.25,98.85,99.8,8204,26825,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,99800,0.8574938289380023,19
06/02/1995,99.9,100.29,99.85,100.23,8131,27163,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100230,0.8966942994503543,20
07/02/1995,100.58,100.95,100.0,100.55,5581,27467,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100550,0.9532537262800336,21
08/02/1995,100.2,100.51,99.95,100.47,5632,27544,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100470,1.0115801171105745,22
09/02/1995,100.35,100.47,100.15,100.24,4589,28302,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100240,1.0691596388441975,23
10/02/1995,100.0,100.3,99.18,99.26,6510,28177,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,99260,1.1026344211327697,24
13/02/1995,99.13,99.5,99.04,99.35,6507,26921,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,99350,1.491877675950679,25
14/02/1995,99.95,100.2,99.93,100.15,6405,23863,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100150,1.541849214417545,26
15/02/1995,100.93,101.0,100.0,100.6,6766,23338,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100600,1.6042521622238821,27
16/02/1995,100.73,100.99,99.5,99.85,5880,22215,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,99850,1.6003159063135004,28
17/02/1995,99.93,100.1,99.43,100.1,6074,22215,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100100,1.624074813547701,29
20/02/1995,99.9,99.97,99.9,99.9,2885,22215,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,99900,1.6333760538630824,30
21/02/1995,100.24,100.78,100.2,100.55,7375,22230,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100550,1.638126165267296,31
22/02/1995,100.6,101.23,100.41,100.95,8166,18406,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100950,1.637075848375188,32
23/02/1995,101.51,102.13,100.92,100.98,6301,18545,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100980,1.6185444077936249,33
24/02/1995,100.68,101.38,100.45,101.22,3821,16725,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,101220,1.4924121414676383,34
27/02/1995,100.7,102.4,100.7,101.78,4682,15492,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,101780,1.3947924576796475,35
28/02/1995,102.18,102.6,101.86,102.52,3369,16404,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,102520,1.35655716183778,36
01/03/1995,102.45,102.73,102.15,102.22,3497,18595,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,102220,1.3195516915478218,37
02/03/1995,101.84,102.0,101.05,101.41,6577,21585,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,101410,1.2423247025905622,38
03/03/1995,101.07,101.12,100.7,100.86,4093,21699,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100860,1.1893320254103705,39
06/03/1995,100.33,100.5,99.91,100.4,3276,20027,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100400,1.0596787248973503,40
07/03/1995,100.2,100.7,100.1,100.5,5182,21966,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,100500,0.9820222332853491,41
08/03/1995,101.2,102.05,101.07,101.65,3892,21632,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,101650,0.9190689129041141,42
09/03/1995,101.7,102.05,101.4,101.97,2670,20608,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,101970,0.8574938289380023,43
10/03/1995,102.12,102.89,101.4,102.35,3668,20936,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,102350,0.8966942994503543,44
13/03/1995,102.28,102.85,102.25,102.55,2302,21014,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,102550,0.9532537262800336,45
14/03/1995,102.32,102.83,102.32,102.64,2376,20532,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,102640,1.0115801171105745,46
15/03/1995,102.5,102.95,102.25,102.81,1754,21067,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,102810,1.0691596388441975,47
