Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd
02/01/2023,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.2659087644774858,4436,0.002,0.25,1.1308,
03/01/2023,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.2579364053802196,4437,0.002,0.25,1.1308,
04/01/2023,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.2259216940656945,4438,0.002,0.25,1.1308,
05/01/2023,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.1354981285677626,4439,0.002,0.25,1.1308,
06/01/2023,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214396562,4440,0.002,0.25,1.1308,
09/01/2023,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.0557821744947593,4441,0.002,0.25,1.1308,
10/01/2023,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.0048797606252258,4442,0.002,0.25,1.1308,
11/01/2023,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.9783544006719682,4443,0.002,0.25,1.1308,
12/01/2023,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.9101496213888125,4444,0.002,0.25,1.1308,
13/01/2023,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.8728854449358526,4445,0.002,0.25,1.1308,
16/01/2023,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.7541920621748294,4446,0.002,0.25,1.1308,
17/01/2023,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.6883550440343401,4447,0.002,0.25,1.1308,
18/01/2023,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.6617859673999718,4448,0.002,0.25,1.1308,
19/01/2023,163,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292478162,4449,0.002,0.25,1.1308,
20/01/2023,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.5394401418577556,4450,0.002,0.25,1.1308,
23/01/2023,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454312245,4451,0.002,0.25,1.1308,
24/01/2023,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.5519833934526632,4452,0.002,0.25,1.1308,
25/01/2023,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.6477635885471852,4453,0.002,0.25,1.1308,
26/01/2023,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.7573557068165119,4454,0.002,0.25,1.1308,
27/01/2023,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.8127580615703233,4455,0.002,0.25,1.1308,
30/01/2023,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.8429754840133626,4456,0.002,0.25,1.1308,
31/01/2023,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.8460053191209337,4457,0.002,0.25,1.1308,
01/02/2023,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.8756725034590649,4458,0.002,0.25,1.1308,
02/02/2023,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.8212222597938718,4459,0.002,0.25,1.1308,
03/02/2023,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.7859321429451142,4460,0.002,0.25,1.1308,
06/02/2023,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.7164384132505565,4461,0.002,0.25,1.1308,
07/02/2023,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030974818447,4462,0.002,0.25,1.1308,
08/02/2023,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.7700751045499596,4463,0.002,0.25,1.1308,
09/02/2023,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.806459959729945,4464,0.002,0.25,1.1308,
10/02/2023,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.8310936569650947,4465,0.002,0.25,1.1308,
13/02/2023,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.8469744191223294,4466,0.002,0.25,1.1308,
14/02/2023,163.97,164.07,163.26,163.42,740039,1754219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.22,0.8512083567773546,4467,0.002,0.25,1.1308,
15/02/2023,163.52,163.55,163.13,163.3,665674,1746602,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163300,163.3,160.11,0.847630619224911,4468,0.002,0.25,1.1308,
16/02/2023,163.48,163.88,163.32,163.84,754372,1748981,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163840,163.84,160.65,0.8454531329298753,4469,0.002,0.25,1.1308,
17/02/2023,163.79,164.64,163.62,164.43,751339,1742367,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164430,164.43,161.23,0.8905195112859303,4470,0.002,0.25,1.1308,
20/02/2023,164.28,164.68,164.18,164.58,597814,1722583,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164580,164.58,161.38,0.9379187953376296,4471,0.002,0.25,1.1308,
