Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days
02/01/1985,79.875,79.875,79.2188,79.25,6326,33660,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79250,79.25,78.625,1.010058994,1
03/01/1985,79.0313,79.875,79.0313,79.7188,8071,33102,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79719,79.7188,79.0625,0.998109443,2
04/01/1985,79.9375,80,79.3125,79.5313,5964,32533,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79531,79.5313,78.8438,1.00228603,3
07/01/1985,80.1563,80.5938,80.0625,80.5313,6075,32395,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80531,80.5313,79.8438,0.951334243,4
08/01/1985,80.5938,80.7813,80.2813,80.6875,7296,30933,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80688,80.6875,80,0.936085463,5
09/01/1985,80.6563,80.9375,80.5625,80.625,5860,30748,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80625,80.625,79.9375,0.924728979,6
10/01/1985,80.5938,80.625,80.3125,80.5938,5547,31275,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80594,80.5938,79.875,0.909822576,7
11/01/1985,80.5625,80.6563,79.9688,80.0313,8649,30507,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80031,80.0313,79.3125,0.894580622,8
14/01/1985,79.8438,80.0938,79.6875,79.9063,5226,31521,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79906,79.9063,79.2188,0.841719123,9
15/01/1985,80.4375,80.5625,80.1875,80.3125,9479,31780,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80313,80.3125,79.5938,0.757833217,10
16/01/1985,80.2188,80.5,80.1875,80.4063,4918,31793,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80406,80.4063,79.6563,0.711339403,11
17/01/1985,80.5,80.75,80.4375,80.5,3577,31378,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80500,80.5,79.7188,0.667505722,12
18/01/1985,80.875,81.1563,80.8438,81,5826,30980,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81000,81,80.1875,0.62823406,13
21/01/1985,80.9375,81,80.8438,80.9063,481,30523,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80906,80.9063,80.0938,0.610894304,14
22/01/1985,80.9063,81.7188,80.875,81.7188,7401,31349,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81719,81.7188,80.9063,0.585125904,15
23/01/1985,81.875,82.0938,81.7813,81.8438,6380,31035,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81844,81.8438,81.0313,0.601500006,16
24/01/1985,81.8125,82.8438,81.7188,82.75,11011,31420,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,82750,82.75,81.9063,0.60679208,17
25/01/1985,82.6875,83,82.3438,82.4688,7503,29924,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,82469,82.4688,81.5938,0.602850374,18
28/01/1985,82.3125,82.6875,82.125,82.4063,9057,30384,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,82406,82.4063,81.5313,0.654251888,19
29/01/1985,82.0313,82.4375,81.9688,82.375,9096,30343,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,82375,82.375,81.4688,1.010058994,20
30/01/1985,82.7188,82.9063,82.3438,82.4063,9075,30029,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,82406,82.4063,81.4688,0.998109443,21
31/01/1985,82.3438,82.5,81.9688,82.125,7121,28916,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,82125,82.125,81.2188,1.00228603,22
01/02/1985,81.8438,81.875,81.3125,81.4063,9600,29998,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81406,81.4063,80.5313,0.951334243,23
04/02/1985,81.1563,81.4375,81.0625,81.3125,6551,29173,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81313,81.3125,80.5,0.936085463,24
05/02/1985,81.5313,81.6563,81.3438,81.5,7515,29346,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81500,81.5,80.6875,0.924728979,25
06/02/1985,81.5625,81.625,81,81.0313,10952,27829,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81031,81.0313,80.2813,0.909822576,26
07/02/1985,81.125,81.3438,80.8125,80.9063,10659,28275,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80906,80.9063,80.0938,0.894580622,27
08/02/1985,80.6563,81.3438,80.5938,81.2813,10245,28987,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81281,81.2813,80.5,0.841719123,28
11/02/1985,81.3125,81.5313,80.9063,81.0313,8351,27804,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81031,81.0313,80.25,0.757833217,29
12/02/1985,80.8438,81.0938,80.8438,81.0625,920,27439,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81063,81.0625,80.25,0.711339403,30
13/02/1985,81.0625,81.25,80.9063,81.0625,6601,26776,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81063,81.0625,80.25,0.667505722,31
14/02/1985,81.3125,81.6875,81.2813,81.5625,8237,24556,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81563,81.5625,80.7813,0.62823406,32
15/02/1985,81.5938,81.6563,81,81.5625,7414,23590,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81563,81.5625,80.7813,0.610894304,33
18/02/1985,81.5938,81.6563,81,81.0625,7414,23590,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81063,81.0625,80.25,0.585125904,34
19/02/1985,81,81.25,81,81.2188,3722,23743,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,81219,81.2188,80.4063,0.601500006,35
20/02/1985,80.9063,80.9063,80.375,80.375,11336,23334,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,80375,80.375,79.5313,0.60679208,36
21/02/1985,80,80.0313,79.7188,79.9063,8841,23095,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79906,79.9063,79.0625,0.602850374,37
22/02/1985,80.0313,80.2188,79.0625,79.4688,9227,22498,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,79469,79.4688,78.625,0.654251888,38
25/02/1985,78.625,78.7188,78.1875,78.5625,8751,22588,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,78563,79.4063,78.5625,0.732444781,39
