,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series
0,02/01/2023,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.5756596216396209,8546,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,,0.0,0.0,68.285,68.285,0.0,0.0,0.0,,10.6,,,0.68285,682.8499999999999,0.84,573.5939999999999,371.97570899999994,125000.0,336.0434484715238,,,,,,,
1,03/01/2023,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.5590872024883597,8547,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.010910155963974377,-0.7449999999999903,0.5550249999999856,67.78833333333334,68.11944444444444,-0.3311111111110989,0.5550249999999856,0.7449999999999903,-0.4444444444444339,10.6,-4.7111111111109985,-4.7111111111109985,0.6754000000000001,675.4000000000001,0.83,560.582,363.537427,125000.0,343.8435514921549,-161.98851759185578,-162.0,,,4.7111111111109985,-0.07289178429243352,-0.07289178429243352
2,04/01/2023,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.5896780901358368,8548,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.015472312703582958,1.0449999999999875,1.0920249999999738,68.31944444444444,68.2229012345679,0.0965432098765433,0.5840520270270119,0.7642329664618059,0.1263269370902861,10.6,1.3390655331570327,1.3390655331570327,0.68585,685.8499999999999,0.86,589.8309999999999,382.50540349999994,125000.0,326.79276908567914,43.7596933567578,44.0,-162.0,206.0,1.3390655331570327,-0.016205065138446186,-0.08909684943087971
3,05/01/2023,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.5772185461211865,8549,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.01210177152438574,-0.8299999999999983,0.6888999999999972,67.94314814814814,68.1189231824417,-0.1757750342935651,0.5897194850255517,0.7679319533822979,-0.22889402312194113,10.6,-2.426276645092576,-2.426276645092576,0.67755,677.55,0.85,575.9174999999999,373.48249874999993,125000.0,334.6877040245785,-81.20449596744913,-81.0,44.0,-125.0,2.426276645092576,-0.04458290049649894,-0.13367974992737866
4,06/01/2023,67.705,69.045,67.32,69.0,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69.0,69.255,0.6339311871064877,8550,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.018375027673234623,1.2450000000000045,1.5500250000000113,68.64771604938272,68.31471803078799,0.3329980185947363,0.6416278912403873,0.8010167858668052,0.41571915154610495,10.6,4.406623006388712,4.406623006388712,0.6900000000000001,690.0000000000001,0.92,634.8000000000002,411.6678000000001,125000.0,303.64288875641955,133.80397393203668,134.0,-81.0,215.0,4.406623006388712,0.03320933280176988,-0.10047041712560878
5,09/01/2023,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.7222159187663528,8551,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.007536231884057942,0.519999999999996,0.27039999999999587,69.22923868312758,68.58255846839066,0.646680214736918,0.6215615187409067,0.7883917292443565,0.8202524084781259,10.6,8.694675529868134,8.694675529868134,0.6951999999999999,695.1999999999999,1.04,723.0079999999999,468.8706879999999,125000.0,266.59802627713,231.79833353829036,232.0,134.0,98.0,8.694675529868134,-0.051277574327472916,-0.1517479914530817
6,10/01/2023,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.7499626657282047,8552,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,-0.00589758342922897,-0.4099999999999966,0.1680999999999972,69.14974622770919,68.69976769763718,0.44997853007200206,0.5970500852954521,0.7726901612518773,0.5823531250132231,10.6,6.172943125140165,6.172943125140165,0.6911,691.1,1.09,753.2990000000001,488.5144015,125000.0,255.87781980671045,157.9519228651687,158.0,232.0,-74.0,6.172943125140165,0.015631096033851467,-0.13611689541923025
7,11/01/2023,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.7965732860108475,8553,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.0025321950513672586,0.17499999999999716,0.030624999999999004,69.2399154092364,68.82981932038447,0.4100960888519296,0.5664325131173195,0.752617109237705,0.5448933910993587,10.6,5.775869945653202,5.775869945653202,0.69285,692.8499999999999,1.15,796.7774999999998,516.7102087499999,125000.0,241.91509647621226,139.72701351367493,140.0,158.0,-18.0,5.775869945653202,0.04960153882750451,-0.08651535659172574
8,12/01/2023,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.8876954244856439,8554,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.008587717399148431,0.5949999999999989,0.35402499999999865,69.66663846974546,69.06319280474348,0.6034456650019848,0.5549510259217887,0.7449503513132864,0.8100481648718731,10.6,8.586510547641854,8.586510547641854,0.6988,698.8,1.27,887.476,575.528186,125000.0,217.19179536412835,186.4919641755359,186.0,140.0,46.0,8.586510547641854,0.0,-0.08651535659172574
9,13/01/2023,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.9648293458704054,8555,0.002,,0.6485,0.6485,1000,36,0.05405405405405406,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,69.80887948991514,69.24470551480047,0.5641739751146702,0.5249536731692596,0.7245368680538344,0.7786684156323029,10.6,8.25388520570241,8.25388520570241,0.6988,698.8,1.38,964.3439999999998,625.3770839999999,125000.0,199.87940587858193,164.97816711058147,165.0,186.0,-21.0,8.25388520570241,0.005905756443692604,-0.08060960014803313
