,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,exchange_rate,point_value,stdev_lookback,stdev_decay,decay_fast,decay_slow,Daily_Return,returns,sqreturns,emwa_fast_fin,emwa_slow_fin,raw_cross,variance,std_dev,vol_adj_crossover,forecast_scalar,forecast,capped_forecast,1%_move,block_value,price_volatility,ICV,IVV,Daily_Cash_Vol_Tgt,Volatility_Scalar,Subsystem_Pos,Target_Pos,Current_pos,trades_needed,abs_forecast,forecast*returns,cum_series,smoothed_forecast,price_diff,distance,net_exp_ret,stdev,stdev_yearly,raw_carry,cum_series_carry
0,02/01/2017,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.2659087644774858,4436,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,,0.0,0.0,164.47,164.47,0.0,0.0,0.0,,30.0,-inf,-20.0,1.6447,1644.7,0.007696897698531561,1265.9087644774859,1119.4806901994039,125000.0,111.65891568682152,-223.31783137364306,-223.0,,,,780.0,,,-3.219999999999999,0.08333333333333333,-38.639999999999986,0.0,0.0,-inf,
1,03/01/2017,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.2579364053802196,4437,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.007660971605763955,-1.259999999999991,1.587599999999977,164.32176470588234,164.43123076923078,-0.10946606334843523,1.587599999999977,1.259999999999991,-0.0868778280543143,30.0,-58.035714285714704,-20.0,1.6321,1632.1000000000001,0.0077074713888868294,1257.9364053802196,1112.430496445189,125000.0,112.36657067514953,-224.73314135029904,-225.0,-223.31783137364306,-1.0,6.4,775.1999999999975,0.0007842656699963868,-20.0,-3.25,0.08333333333333333,-39.0,1.259999999999991,20.159999999999854,-1.9345238095238235,775.1999999999975
2,04/01/2017,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.2259216940656943,4438,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.00012254151093693544,-0.020000000000010232,0.00040000000000040925,164.188615916955,164.39303905325445,-0.20442313629945374,1.5018054054053835,1.225481703415185,-0.16681043521887373,30.0,-59.30321097203519,-20.0,1.6319,1631.8999999999999,0.007512235394728196,1225.9216940656943,1084.1189370938223,125000.0,115.30100224527504,-230.6020044905501,-231.0,-224.73314135029904,-6.0,6.399999999999915,780.0,-0.012942065600301861,-19.999999999999734,-3.2299999999999898,0.08333333333333333,-38.75999999999988,1.225481703415185,19.60770725464296,-1.9767736990678395,1555.1999999999975
3,05/01/2017,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.1354981285677626,4439,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.00214473926098413,0.3499999999999943,0.12249999999999601,164.11230816201913,164.3667916977697,-0.25448353575058036,1.427248356464552,1.1946750003513724,-0.21301486653335241,30.0,-61.20911543180598,-20.0,1.6354,1635.3999999999999,0.006943244029398084,1135.4981285677625,1004.1546945240206,125000.0,124.48281194288622,-248.96562388577246,-249.0,-230.6020044905501,-18.0,4.742105263157811,772.7999999999997,0.007355559960481034,-14.819078947368158,-3.25,0.08333333333333333,-39.0,1.1946750003513724,19.11480000562196,-2.040303847726866,2327.9999999999973
4,06/01/2017,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214396562,4440,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.0042802983979454146,-0.6999999999999886,0.48999999999998406,163.9626248488404,164.31981349168447,-0.35718864284407914,1.3765862831421427,1.173280138390718,-0.30443594087768533,30.0,-61.74995862401035,-20.0,1.6284,1628.4,0.006605319420268743,1075.610214396562,951.1940346626831,125000.0,131.41377620637422,-262.82755241274845,-263.0,-248.96562388577246,-14.0,5.430769230769181,765.5999999999995,0.003687022651560483,-16.97115384615369,-3.219999999999999,0.08333333333333333,-38.639999999999986,1.173280138390718,18.77248221425149,-2.058331954133678,3093.5999999999967
5,09/01/2017,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.0557821744947593,4441,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0006755097027757451,0.10999999999998522,0.012099999999996749,163.8434925136827,164.27766538424802,-0.4341728705653338,1.3028302678371617,1.141415904846766,-0.380380953797574,30.0,-62.88242497342428,-20.0,1.6295,1629.5,0.006479178732707943,1055.7821744947594,933.6595105188887,125000.0,133.88178301801932,-267.76356603603864,-268.0,-262.82755241274845,-5.0,5.4712412409502065,765.5999999999995,-0.0020209307756356644,-17.097628877969395,-3.1899999999999977,0.08333333333333333,-38.27999999999997,1.141415904846766,18.262654477548256,-2.096080832447476,3859.199999999996
6,10/01/2017,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.0048797606252258,4442,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.001043264805155042,0.17000000000001592,0.02890000000000541,163.75837574736707,164.24204491088653,-0.48366916351946543,1.2339691722783965,1.110841650406752,-0.43540783994042936,30.0,-64.61316963918162,-20.0,1.6312,1631.2,0.006160371264254694,1004.8797606252258,888.6449952469277,125000.0,140.66359532612486,-281.3271906522497,-281.0,-267.76356603603864,-14.0,5.0071608469025355,760.799999999997,-0.013071555499058654,-15.647377646570424,-3.1899999999999977,0.08333333333333333,-38.27999999999997,1.110841650406752,17.77346640650803,-2.153772321306054,4619.999999999993
7,11/01/2017,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.9783544006719682,4443,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.002206964198136152,0.3599999999999852,0.12959999999998936,163.7256256594415,164.21859737516695,-0.49297171572544585,1.1742735413444285,1.0836390272338978,-0.454922444961961,30.0,-65.8198885491087,-20.0,1.6348,1634.8,0.00598455101952513,978.3544006719682,865.1878322178707,125000.0,144.47729769796697,-288.95459539593395,-289.0,-281.3271906522497,-8.0,3.7209032915496296,755.9999999999945,-0.022403402511141545,-11.627822786092592,-3.1699999999999875,0.08333333333333333,-38.03999999999985,1.0836390272338978,17.338224435742365,-2.19399628497029,5375.999999999987
8,12/01/2017,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.9101496213888124,4444,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0025079520430633107,0.4099999999999966,0.1680999999999972,163.74496381715426,164.20848668670027,-0.4635228695460114,1.1198857823528376,1.0582465602839621,-0.43801027751191846,30.0,-66.97399515381503,-20.0,1.6388999999999998,1638.8999999999999,0.005553417666659421,910.1496213888124,804.8723217092434,125000.0,155.30413536217452,-310.60827072434904,-311.0,-288.95459539593395,-22.0,1.790133646001142,753.5999999999967,-0.01716047036103757,-5.594167643753569,-3.1499999999999773,0.08333333333333333,-37.79999999999973,1.0582465602839621,16.931944964543394,-2.2324665051271673,6129.599999999984
9,13/01/2017,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.8728854449358526,4445,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.002928793703093513,-0.47999999999998977,0.23039999999999017,163.70555630925375,164.18391786557103,-0.4783615563172816,1.0718054697932242,1.0352803822120964,-0.4620599062209221,30.0,-68.24238265680353,-20.0,1.6341,1634.1000000000001,0.005341689278109373,872.8854449358527,771.9185045417869,125000.0,161.93419287726542,-323.86838575453083,-324.0,-310.60827072434904,-13.0,1.835922291881997,756.0000000000014,-0.019070431744184095,-5.7372571621312405,-3.1399999999999864,0.08333333333333333,-37.679999999999836,1.0352803822120964,16.564486115393542,-2.2747460885601174,6885.599999999986
10,16/01/2017,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.7541920621748294,4446,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0010403280093018719,0.17000000000001592,0.02890000000000541,163.6907849787533,164.16533577739963,-0.47455079864633376,1.0154322011557528,1.007686558983374,-0.47093096004485213,30.0,-70.33437071097175,-20.0,1.6358000000000001,1635.8000000000002,0.004610539565807735,754.1920621748294,666.9544235716567,125000.0,187.4191032883526,-374.8382065767052,-375.0,-323.86838575453083,-51.0,1.4129319126777982,760.8000000000038,-0.021834450646598218,-4.415412227118119,-3.1500000000000057,0.08333333333333333,-37.80000000000007,1.007686558983374,16.122984943733982,-2.3444790236990585,7646.39999999999
11,17/01/2017,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.6883550440343401,4447,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.001956229367893414,0.3199999999999932,0.10239999999999563,163.71539851066467,164.15717159963347,-0.44177308896880163,0.9660791092013876,0.982893233877102,-0.4494619290705582,30.0,-72.5663760230123,-20.0,1.639,1639.0,0.004199847736634167,688.3550440343402,608.7327945121508,125000.0,205.34461282010804,-410.689225640216,-411.0,-374.8382065767052,-36.0,0.28763624938977506,755.9999999999945,-0.02099207480945914,-0.898863279343047,-3.170000000000016,0.08333333333333333,-38.04000000000019,0.982893233877102,15.726291742033633,-2.4188792007670767,8402.399999999983
12,18/01/2017,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.6617859673999718,4448,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.0029286150091519803,-0.4800000000000182,0.23040000000001745,163.68064574470412,164.13448939656783,-0.453843651863707,0.9263126708661784,0.9624513862352625,-0.47154968900711736,30.0,-73.64008303550278,-20.0,1.6341999999999999,1634.1999999999998,0.004049602052380197,661.7859673999717,585.2369715245593,125000.0,213.58869326791054,-427.1773865358211,-427.0,-410.689225640216,-16.0,0.8109235807783105,753.6000000000035,-0.01905681476476732,-2.5341361899322203,-3.1499999999999773,0.08333333333333333,-37.79999999999973,0.9624513862352625,15.3992221797642,-2.4546694345167595,9155.999999999987
13,19/01/2017,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292478162,4449,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.0023864888018602093,-0.38999999999998636,0.15209999999998935,163.60409918650365,164.10050510744267,-0.4964059209390257,0.8844633373058439,0.9404591098531844,-0.5278336035434011,30.0,-75.12288334474164,-20.0,1.6303,1630.3000000000002,0.003366498757763369,548.840292478162,485.35575917771666,125000.0,257.54304473850965,-515.0860894770193,-515.0,-427.1773865358211,-88.0,2.183660982550717,753.5999999999967,-0.009145086082392508,-6.82394057047099,-3.140000000000015,0.08333333333333333,-37.68000000000018,0.9404591098531844,15.04734575765095,-2.5040961114913878,9909.599999999984
14,20/01/2017,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.5394401418577556,4450,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.004539041894130014,-0.7400000000000091,0.5476000000000134,163.4494992822091,164.0447972579829,-0.5952979757738035,0.8662545082622856,0.9307279453536815,-0.6396047080627703,30.0,-75.90832568495868,-20.0,1.6229,1622.9,0.0033239271788634886,539.4401418577555,477.0429270054435,125000.0,262.03092619917123,-524.0618523983425,-524.0,-515.0860894770193,-9.0,3.5939382085556644,756.0000000000014,-0.02774702147697458,-11.231056901736451,-3.1399999999999864,0.08333333333333333,-37.679999999999836,0.9307279453536815,14.891647125658904,-2.5302775228319563,10665.599999999986
15,23/01/2017,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454312245,4451,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.005175919650009186,0.8400000000000034,0.7056000000000058,163.41191113136097,164.01664965004497,-0.6047385186840017,0.8575704807886488,0.9260510141394203,-0.6530293789980735,30.0,-76.53466052932765,-20.0,1.6313,1631.3,0.0033099273849828055,539.9484543122451,477.4924427946985,125000.0,261.78424786870335,-523.5684957374067,-524.0,-524.0618523983425,0.0,2.883633348227625,751.1999999999989,-0.021206566999905856,-9.011354213211328,-3.1500000000000057,0.08333333333333333,-37.80000000000007,0.9260510141394203,14.816816226230724,-2.5511553509775884,11416.799999999985
16,24/01/2017,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.5519833934526632,4452,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.002268129712499234,-0.37000000000000455,0.13690000000000335,163.33521570414203,163.97798350696667,-0.6427678028246362,0.8186153196649383,0.9047736289619289,-0.7104183657099964,30.0,-77.8371492555551,-20.0,1.6276,1627.6,0.0033913946513434703,551.9833934526632,488.13529665074566,125000.0,256.07654446966956,-512.1530889393391,-512.0,-523.5684957374067,11.0,3.136262502080139,748.8000000000011,-0.001937320857855293,-9.800820319000435,-3.1299999999999955,0.08333333333333333,-37.559999999999945,0.9047736289619289,14.476378063390863,-2.5945716418518368,12165.599999999986
17,25/01/2017,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.6477635885471852,4453,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.0061440157286802854,-1.0,1.0,163.14989620953708,163.90973786059845,-0.7598416510613788,0.828419896980347,0.9101757506000404,-0.8348295925929111,30.0,-77.1279612247637,-20.0,1.6176,1617.6,0.004004473222967268,647.7635885471852,572.8365657474224,125000.0,218.2123269957518,-436.4246539915036,-436.0,-512.1530889393391,76.0,4.225280310059246,746.4000000000033,0.006682501733140391,-13.204000968935144,-3.1200000000000045,0.08333333333333333,-37.440000000000055,0.9101757506000404,14.562812009600647,-2.5709320408254563,12911.999999999989
18,26/01/2017,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.7573557068165119,4454,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,-0.002040059347180878,-0.3299999999999841,0.10889999999998949,162.9475554790033,163.8334382341185,-0.8858827551151762,0.7895269295760033,0.888553278974313,-0.996994525908205,30.0,-78.75160854819511,-20.0,1.6143,1614.3000000000002,0.004691542506451786,757.3557068165119,669.7521284192712,125000.0,186.6362116609039,-373.2724233218078,-373.0,-436.4246539915036,63.0,4.950677705892857,746.3999999999965,-0.0061979085776756055,-15.470867830915177,-3.1100000000000136,0.08333333333333333,-37.320000000000164,0.888553278974313,14.216852463589008,-2.6250536182731703,13658.399999999985
19,27/01/2017,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.8127580615703233,4455,0.002,,1.1308,,1.1308,1000,36,0.05405405405405406,0.11764705882352941,0.03076923076923077,0.0026017468871957217,0.4199999999999875,0.17639999999998948,162.81843130500292,163.77240936537638,-0.9539780603734584,0.7563849333827053,0.8697039343263345,-1.0968997870665056,30.0,-80.4584149135783,-20.0,1.6185,1618.5,0.005021674770283122,812.7580615703233,718.7460749649127,125000.0,173.91399320838332,-347.82798641676663,-348.0,-373.2724233218078,25.0,4.844263450326681,746.3999999999965,-0.012782634923501497,-15.138323282270877,-3.109999999999985,0.08333333333333333,-37.31999999999982,0.8697039343263345,13.915262949221352,-2.681947163785943,14404.799999999981
