bin,n,p_mean,up_rate
"(-0.000999, 0.385]",88,0.19399568200052053,0.5681818181818182
"(0.385, 0.529]",88,0.4761522358006705,0.6136363636363636
"(0.529, 0.55]",87,0.5399136512920731,0.632183908045977
"(0.55, 0.567]",89,0.5599695442085917,0.5730337078651685
"(0.567, 0.582]",86,0.5735606587172442,0.5116279069767442
"(0.582, 0.634]",88,0.6129966057260727,0.6363636363636364
"(0.634, 0.658]",90,0.6464616002005148,0.6111111111111112
"(0.658, 0.686]",86,0.6717851523623901,0.5232558139534884
"(0.686, 0.717]",86,0.7036045080610239,0.5813953488372093
"(0.717, 1.0]",88,0.833484973057416,0.5681818181818182
