,median_abs_coef,mean_coef
gold,0.6467034009534114,-0.6313814625900416
ust10y,0.43556248498842554,-0.3612333132834013
hy_ig_oas_spread_chg,0.4109330778295668,0.3120759475615035
hy_oas_chg,0.372465206674135,-0.190444369692356
hy_oas,0.2944905539313639,-0.29065944319626197
dxy,0.29019008090311565,0.5093489127520006
usdjpy,0.28452302312673394,-0.3228011854265717
slope_10y_2y,0.2575190150297204,-0.3036560950776495
copper,0.24529096457866656,0.32179085818170683
brent,0.2440371701130941,-0.4127228043480764
eurusd,0.24332468240134292,0.4886744397771839
t,0.22771282873884896,0.364934617190404
ret_2w,0.1545457571905866,0.1514951200249679
ig_oas,0.14624672194425592,-0.17090416658600868
ust2y,0.13966559761759353,-0.19261357066345866
ret_1w,0.1384027384167999,-0.14923635355302278
hy_ig_oas_spread,0.13776905233006262,0.16834692863181253
wti,0.124666744175225,0.14640440520673914
ust10y_chg,0.10013158740505429,0.11595760621154624
mom_4_12,0.08626731826125544,-0.11050363749828104
ig_oas_chg,0.0566424452418866,-0.020192506854720946
vol_chg_1w,0.05054093511368582,0.06606946003944746
vol_idx,0.043808515047666766,0.03469588856299641
slope_chg,0.03409082217887152,0.02813321073411999
vrp,0.033982730785908626,0.028334279248247732
rv_4w_ann,0.0208861017877012,0.02342558011402219
rv_4w,0.020886101787671654,0.023425580113996834
