ticker,alias,field_used
SPX Index,spx,PX_LAST
SPY US Equity,spy,PX_LAST
NDX Index,ndx,PX_LAST
RTY Index,rty,PX_LAST
VIX Index,vix,PX_LAST
VIX9D Index,vix9d,PX_LAST
VIX3M Index,vix3m,PX_LAST
USGG10YR Index,ust10y,PX_LAST
USGG2YR Index,ust2y,PX_LAST
DXY Curncy,dxy,PX_LAST
EURUSD Curncy,eurusd,PX_LAST
USDJPY Curncy,usdjpy,PX_LAST
CL1 Comdty,wti,PX_LAST
CO1 Comdty,brent,PX_LAST
XAU Curncy,gold,PX_LAST
HG1 Comdty,copper,PX_LAST
LF98OAS Index,hy_oas,PX_LAST
LUACOAS Index,ig_oas,PX_LAST
CESIUSD Index,cesi_us,PX_LAST
INJCJC Index,jobless_claims,PX_LAST
