date,roll_corr_to_basket_26w,roll_corr_to_basket_52w
2008-11-29,,
2008-12-06,,
2008-12-13,,
2008-12-20,,
2008-12-27,,
2009-01-03,,
2009-01-10,,
2009-01-17,,
2009-01-24,,
2009-01-31,,
2009-02-07,,
2009-02-14,,
2009-02-21,,
2009-02-28,,
2009-03-07,,
2009-03-14,,
2009-03-21,,
2009-03-28,,
2009-04-04,,
2009-04-11,,
2009-04-18,,
2009-04-25,,
2009-05-02,,
2009-05-09,,
2009-05-16,,
2009-05-23,-0.4175056820772522,
2009-05-30,-0.5245784787170316,
2009-06-06,-0.5352332386626868,
2009-06-13,-0.5276874234020132,
2009-06-20,-0.5782982870460028,
2009-06-27,-0.5867902086847423,
2009-07-04,-0.18517313515495992,
2009-07-11,-0.21705702239300942,
2009-07-18,-0.21104146395528356,
2009-07-25,-0.1680252358594019,
2009-08-01,-0.170743688034514,
2009-08-08,-0.13041841085167838,
2009-08-15,-0.18368410703717106,
2009-08-22,-0.16392279701996,
2009-08-29,0.21229433043032508,
2009-09-05,0.2362544716617246,
2009-09-12,0.32050680384076485,
2009-09-19,0.30572121725993606,
2009-09-26,0.3709891845767019,
2009-10-03,0.3641182613432047,
2009-10-10,0.36375422229159665,
2009-10-17,0.2350257494318248,
2009-10-24,0.284111942452102,
2009-10-31,0.2937002847403491,
2009-11-07,0.31990059192965964,
2009-11-14,0.3665716282963746,
2009-11-21,0.4193844245318941,-0.08915102613740819
2009-11-28,0.41845321968678406,-0.12254406184597158
2009-12-05,0.42249729426163635,-0.12230498767384829
2009-12-12,0.43395400770441106,-0.09886602163363828
2009-12-19,0.4157052181689632,-0.10196959357586889
2009-12-26,0.402653739806751,-0.1110374443976944
2010-01-02,0.17088707576031087,-0.07846720787258658
2010-01-09,0.4972361904646485,-0.04851313118842952
2010-01-16,0.5203876220217848,-0.033603762142282716
2010-01-23,0.46111533228295876,-0.011074129337389021
2010-01-30,0.4340480177887534,-0.01865792425943766
2010-02-06,0.39001812972249233,-0.00613982533069119
2010-02-13,0.3767409946559997,-0.044770548455760374
2010-02-20,0.17713293417379627,-0.07697693958084321
2010-02-27,0.11242140838769285,0.14380169467146464
2010-03-06,0.0890681762506474,0.15825096030301486
2010-03-13,0.10079590567986157,0.21981053444144127
2010-03-20,0.05570937562550605,0.19074455460145545
2010-03-27,-0.09695813161390117,0.1951144953615148
2010-04-03,-0.09710127229578902,0.18788717146846962
2010-04-10,-0.09980230051589685,0.18693831242338224
2010-04-17,0.18282492199510833,0.22003723498832867
2010-04-24,-0.3046115374975107,0.04537531528681655
2010-05-01,-0.3354105591383871,0.048114138947085945
2010-05-08,-0.31772872127649054,0.06443606535578023
2010-05-15,-0.2989468987958665,0.08662432353931353
