bin,n,p_mean,up_rate
"(-0.000999, 0.378]",351,0.23966524093368205,0.5584045584045584
"(0.378, 0.467]",350,0.4197121229470942,0.4742857142857143
"(0.467, 0.562]",352,0.5207785418379148,0.65625
"(0.562, 0.59]",349,0.5799855993089236,0.6389684813753582
"(0.59, 0.594]",350,0.592022553851517,0.6142857142857143
"(0.594, 0.611]",351,0.6018755376815695,0.5783475783475783
"(0.611, 0.624]",350,0.6166352713430862,0.5428571428571428
"(0.624, 0.642]",350,0.6319805495262799,0.5942857142857143
"(0.642, 0.722]",350,0.6716561997352255,0.5571428571428572
"(0.722, 1.0]",351,0.8489106663821883,0.5356125356125356
